기관,발행일,제목,원문,링크,수집일
OECD,2026-01-26,인공지능과 지역부채,Artificial intelligence and local debt,https://news.google.com/rss/articles/CBMilwFBVV95cUxQeHNkZ3E1VGcwWlljRVU1bHpSSUc5VmkxbTdjRkFMcWIxTW1LM0pic3JNak5iMHZTcTVIX0VZNk50dDg3OHotb2FYaExITDNCdExFSXFNU1ZadjRMZ1RRMXA5Ylk5Q1VEZHJ2V3Ria1ZTbUZoS0p1YjJ0elFDRXUyV0w5YmNRUmFaRzN2dG85d1NKSERjNG9n?oc=5,2026-01-30
OECD,2024-07-13,"인공지능 기업, 상품 및 서비스(EN)","Artificial intelligence companies, goods and services (EN)",https://news.google.com/rss/articles/CBMi4AFBVV95cUxNXzZHWkxCQ25CaGFoSTNJLVJYLVhEUW9FQlFDbnRhNFBNeWNhdmRyQThZdkRVaktMV0tkVGtFaEp0SV8xUzVVSF9yZ05OaDdVVVQwN1RxNUpheWtLNTMwME40bmgtWURmdDQxTXdXbkVOWFZUbzI0S1Y4UUY2cDI4bW82ekF4UEZ1QVhUdDhoVnBXa3NnLWlMSDREc2EyOGlqY19GRTZZR2FNOENpRUItem5TYnJPLVluUWNVbXB4Y3Jsei1ieEc5TUp6QnRXS0hVQnlqbC1RTjEtN0pabDlSOQ?oc=5,2026-01-30
OECD,2024-08-29,헝가리의 인공지능 전략,HUNGARY’S ARTIFICIAL INTELLIGENCE STRATEGY,https://news.google.com/rss/articles/CBMisAFBVV95cUxPYklXcDhKR0NTMGRrcjlqcVliY3RNVmFFMF9jSFJLbk5ILVU2cFh2STBybFhhbG5wdE5QMHlHRnNDYlRCQUN4RGJRb1E0ZGRnRFBKeEl4SGVSMzhlbThjeFRQbDRETHFYdkZPNmROTzBSQ0l6ejZkMkN6UDhqWDdNa0Y2RkpaUGxrQTdIYlJUZkNXc0pqYnZJLURPc3Jkc3RlVk1ZWDhJdU9nZmxVX1pyRw?oc=5,2026-01-30
OECD,2023-01-25,인공지능과 노동시장 매칭(EN),Artificial intelligence and labour market matching (EN),https://news.google.com/rss/articles/CBMi3gFBVV95cUxNWVZfa2NqdXNXQ3JJM0RpamZqalBVdmp4dkRnV3NkeU9KT2VGcWhnQkVIRXk0RjloemxFNUlsaklaWUFTNG1OalRPbUZmbVM4S3R1TEg3dDJrRkd1c0hPSkl1VVVyQXlTZFNvNnVOMXVXR3preTVzMUk2a2F5TXlKYWFPT3hYdU5FSEpjczFkbXQzQVR2bFAxdHhRUW9hbTQ1dWZ6Wk5xRXV6Y3FhMk16TkVfcW5OZ2dvQ0dpUzJVbDZEMWtTdzVnWEw4a2QwYjZXSkY1M1g1VlFiTHkxb0E?oc=5,2026-01-30
OECD,2024-10-30,인공 지능에 관한 아프리카 실무 그룹,AFRICAN WORKING GROUP ON ARTIFICIAL INTELLIGENCE,https://news.google.com/rss/articles/CBMirAFBVV95cUxOZW41d0p6RWNhSDVtbmx4WEFFc1pLWXMtRmJMZXpGT25FVDd5MFo3TU9fTFN6TjUtdjZ1VDlsZ04xYXNuZ0JUbVRmaWQ1SzNCcjg1dlJFWVZLeUFBNDhjc29YWVluTlZjSmtjakVFbXQzZ0tIRkpYbHVZZ0g3M1BWU0tLRnROdzBINjVTMkVfSU5OZ0lFdjFvdVppdjRCRXlKVjZITFYzTzV6MU9m?oc=5,2026-01-30
OECD,2023-02-23,노동 시장에서 인공 지능 기술 수요에 관한 6가지 질문,Six questions about the demand for artificial intelligence skills in labour markets,https://news.google.com/rss/articles/CBMi0wFBVV95cUxNTVBGcDBPQ19pQ1dNVXo1WE00eUk2LVBRU1g1VW96QXJiSXBRXzNjUVZRbk05eDhqRnEtOElDbnZrWUtxeTB0UEpPZm50dDBhM0xfMnJvQnVGZUVNLXJpVy1tY1dmWWNGa09JYWl3QkNuckliWmxMaWpZZWxhVE5LTU04Zlk2RmxxbjJZbFc5eWtmZGNZbkEyTHp3bTZTX3pvUmF0REN4WkxrdmFWVkJQdVp6Z0xvTDQ0WkRFU1o0OEVWTHlIcW1BV1JUdXdHbWwweURN?oc=5,2026-01-30
OECD,2024-07-09,AI와 일,AI and work,https://news.google.com/rss/articles/CBMiW0FVX3lxTE9zYk1jTHI3V2tJVWt5ZnhwVmxCbV9tcVBreGZ2UmphazRSckp3R0NTX3Rrci1ITEUyRHlmMGxJMXMyYVcxbzN3Z3VjTEdJTDJrUUxBN0RsRVlsa1k?oc=5,2026-01-30
OECD,2023-10-05,4년차 OECD AI 원칙 이행 현황(EN),The state of implementation of the OECD AI Principles four years on (EN),https://news.google.com/rss/articles/CBMi9AFBVV95cUxQMTlMTTZSaEZGV21tbHlDOFhqTlhkaU1iYnlWdmQ5ZHFXdDJ3Nm1ZeEZNUDlsMGF4Z05ja0dyaTd6cWY0ZWtiVHoyNlZXSkpsaUFOZUZMUm14MzRIRUpxcEF6WkNKSGttT1F6Z3cyUUljOGxEVmJIckp0Y3kxQ3RSenAwVldTQXI3Z3V5aWU1THlvOTljbkhrdnh5dEJHRHJfNk5MdUtzNEtadG5mc0x6dHlUeTk3eGhFS2lJZ3VDV2VlOHZlNzk0Zmh2MFBIUS0tVXJDUk5idUNPQklQeGlvOERqRjE5V1NfV3ozQzJRQVJNUVFf?oc=5,2026-01-30
OECD,2025-10-27,AI가 노동시장에 미치는 영향: 한국의 인공지능과 노동시장,The impact of AI on the labour market: Artificial Intelligence and the Labour Market in Korea,https://news.google.com/rss/articles/CBMi-wFBVV95cUxQcHYzakE4R1MtY2gwODQtcGlqamdjVVpwU1VUQWdBWjlKWTVadWwyTW1sWTQzZTl6WjZXOXB2YkN6MTUyRUpqOEVBSk0taU9SRGhMSjFsMjJMQVd3QkVqMlI1ajNmMDgtWGdWMDJFVXZ3ekdqb3BfM2VlcWVIZldlTE1ISEdGeUtXV0hlZ1MtUG1ZUlpXeFlJeWhoWlp2SVhuc3d6X29HYlBEdFMzYWhKTjkzc1R6Ukg4Z2VDaXZFblBXUVpXTEN4OWRESlVWOWFOOU5sZ3p2aFhrQmVOenRzUkF1R3E0b1ZHalBBai1ta0ZqZzQ1bUZlLVRwVQ?oc=5,2026-01-30
OECD,2025-11-10,인공 지능에 관한 유럽 연합 조정 계획 구현의 진행 상황(1권): 라트비아,Progress in Implementing the European Union Coordinated Plan on Artificial Intelligence (Volume 1): Latvia,https://news.google.com/rss/articles/CBMi_gFBVV95cUxNRnh5R1RYQktaQTRHLVNTdDlZbkZZeUJoT0Y4VGVlcS1hQUhkaEUybUZiOFh3WHBmV3VpTlRsMl8wS0pGcDlvVDVlSzRnMjViZ2hkbFFuTHZlbHVrWmZOcllya3k4NU1YdmZmVGFqbUVLVVpKTkh5aVY0ekVxRnUzM3U5Z2hyZW5PUU83VDFjTWR5Q1FlWkpvMFdPSV80NEVoOVFMR2tUZy14ZWh2NDFpS01BRTBjQkNITk9SMEloSFJfeHEweUxrSkVxUTRHZU5JNUxla2lyeFVVUXRrVE5QQVpwckRXN2g3aTdYY0dtYXVWU051RV92R3NBd0YxUQ?oc=5,2026-01-30
