국가,기관,발행일,제목,원문,링크,수집일
사우디,MCIT,2026-01-21,"Translations of Communications 장관, 글로벌 기술 기업 리더들과 만나 AI, 클라우드 컴퓨팅 및 데이터 분야 파트너십 발전 |통신정보기술부","Translations of Minister of Communications Meets Leaders of Global Technology Companies to Advance Partnerships in AI, Cloud Computing, and Data | Ministry of Communications and Information Technology",https://mcit.gov.sa/en/node/237783/translations,2026-02-04
스위스,WBF,2026-01-20,WEF 개회식 주소,WEF Opening address,https://www.wbf.admin.ch/en/newnsb/aXkc0ocr0Fq9ReieW9i-D,2026-02-04
대만,MOEA,2026-01-20,"경제부 '2026년 스마트혁신대상' 개막, 에이전트 기반 AI 새 시대 열고 다양한 산업 분야 AI 구현 가속화",經濟部「2026智慧創新大賞」開跑 啟動代理式AI新世代，加速AI落地百工百業,https://www.moea.gov.tw/MNS/populace/news/News.aspx?kind=1&menu_id=40&news_id=121644,2026-02-04
싱가포르,IMDA,2026-01-19,에이전트 AI를 위한 모델 AI 거버넌스 프레임워크,MODEL AI GOVERNANCE FRAMEWORK FOR AGENTIC AI,https://www.imda.gov.sg/-/media/imda/files/about/emerging-tech-and-research/artificial-intelligence/mgf-for-agentic-ai.pdf,2026-02-04
캐나다,ISED,2026-01-19,인공지능과 지적재산권,Artificial intelligence and intellectual property,https://ised-isde.canada.ca/site/canadian-intellectual-property-office/en/artificial-intelligence-and-ip,2026-02-04
아일랜드,DETE,2026-01-16,AI가 생성한 노골적인 이미지에 관한 X와의 만남 후 성명,Statement following meeting with X regarding AI generated explicit images,https://enterprise.gov.ie/en/news-and-events/department-news/2026/january/202616011.html,2026-02-04
아일랜드,DETE,2026-01-16,Smyth 장관은 AI가 생성한 비동의 친밀한 이미지에 관한 AI 자문위원회의 조언을 환영합니다.,Minister Smyth welcomes advice from AI Advisory Council regarding AI-generated non-consensual intimate images,https://enterprise.gov.ie/en/news-and-events/department-news/2026/january/202601162.html,2026-02-04
미국,DOC,2026-01-15,팩트시트: 대만과의 무역 및 투자 협정을 통해 미국 반도체 제조 리더십 회복,Fact Sheet: Restoring American Semiconductor Manufacturing Leadership Through an Agreement on Trade & Investment with Taiwan,https://www.commerce.gov/news/fact-sheets/2026/01/fact-sheet-restoring-american-semiconductor-manufacturing-leadership,2026-02-04
아일랜드,DETE,2026-01-15,AI가 생성한 노골적인 이미지에 관한 진술,Statement regarding AI-generated explicit images,https://enterprise.gov.ie/en/news-and-events/department-news/2026/january/20260115.html,2026-02-04
싱가포르,MDDI,2026-01-14,1월 14일 NUS AI 및 디지털 혁신 분야 총괄 마스터 출범식에서 MOS Jasmin Lau의 개회 연설,Opening Address by MOS Jasmin Lau at Launch of NUS Executive Master in AI and Digital Transformation on 14 Jan,https://www.mddi.gov.sg/newsroom/opening-address-by-mos-jasmin-lau-at-launch-of-nus-executive-master-in-ai-and-digital-transformation-on-14-jan/,2026-02-04
일본,디지털청,2026-01-13,제2차 첨단 AI 활용 자문위원회 안건,第２回 先進的 AI 利活用アドバイザリーボード 議事次第,https://www.digital.go.jp/assets/contents/node/basic_page/field_ref_resources/eb376409-664f-4f47-8bc9-cc95447908e4/079dc12a/20260113_meeting_ai-advisory_agenda_00.pdf,2026-02-04
UAE,TDRA,2026-01-12,ICT 규제 샌드박스,ICT Regulatory Sandbox,https://tdra.gov.ae/pages/-/media/ICT-Regulatory-Sandbox-Guidelines/ICT-Regulatory-Sandbox-Final-Ar.pdf,2026-02-04
캐나다,ISED,2026-01-09,"캐나다 혁신, 과학 및 경제 개발 |공식 사이트","Innovation, Science and Economic Development Canada | Official site",https://ised-isde.canada.ca/site/ised/en,2026-02-04
싱가포르,IMDA,2026-01-08,"NUS, Synapxe 및 IMDA는 AI 챌린지에서 180만 명의 싱가포르인에게 영향을 미치는 만성 질환을 목표로 합니다.","NUS, Synapxe and IMDA target chronic diseases affecting 1.8 million Singaporeans in AI Challenge",https://www.imda.gov.sg/resources/press-releases-factsheets-and-speeches/press-releases/2026/ai-solutions-combating-chronic-diseases,2026-02-04
이스라엘,IIA,2026-01-07,의료 분야의 획기적인 AI 기술을 위한 규제 샌드박스 요구,קול קורא לארגז חול רגולטורי לטכנולוגיות AI פורצות דרך בבריאות,https://innovationisrael.org.il/kol_kore/ai-in-health-sandbox/,2026-02-04
대만,moda,2026-01-05,Q&A |Botrun 에이전트 플랫폼,Q&A | Botrun Agent Platform,https://aiplaybook.moda.gov.tw/qa,2026-02-04
대만,moda,2025-12-23,대만 주권 AI 훈련 코퍼스(베타 버전),臺灣主權 AI 訓練語料庫 ( Beta 版),https://taic.moda.gov.tw/,2026-02-04
네덜란드,Digitalisation,2025-12-05,NDS 위원회,NDS Council,https://www.nldigitalgovernment.nl/netherlands-digitalisation-strategy-nds/nds-council/,2026-02-04
벨기에,연방혁신기술부,2025-11-27,인공지능과 지구관측: 혁신에서 서비스까지,Artificial intelligence and Earth Observation: from Innovation to Services,https://eo.belspo.be/nl/agenda/artificial-intelligence-and-earth-observation-innovation-services,2026-02-04
대한민국,산업통상자원부,2025-11-24,"서울대-M.AX 얼라이언스, AI 모델 개발, 제조 데이터 활용, 인력 양성 등 협력","서울대-M.AX 얼라이언스, AI 모델 개발, 제조 데이터 활용, 인력 양성 등 협력",https://motie.go.kr/kor/article/ATCL4fcf3d8c6/607/view,2026-02-04
오스트리아,BMAW,2025-11-18,TITE L EU|2024년 무역 연구 풀 주요 결과 주요 데이터 조사 질문 주요 시사점 방법,TITE L EU|Trade Studienpool 2024 WESENTLICHE ERGEBNISSE ECKDATEN FORSCHUNGSFRAGEN KEY TAKEAWAYS METHODE,https://www.bmwet.gv.at/dam/jcr:6edb4033-6bda-4b91-a7ec-1c7dfc76f2f8/Factsheet_K%C3%BCnstlicheIntelligenz_EcoAustria.pdf,2026-02-04
캐나다,TBS,2025-11-17,G7 GovAI 그랜드 챌린지 개시,Launch of the G7 GovAI Grand Challenge,https://www.canada.ca/en/treasury-board-secretariat/news/2025/11/launch-of-the-g7-govai-grand-challenge.html,2026-02-04
벨기에,BIPT,2025-11-11,1993~2023년: 활동 30년,1993-2023: 30 jaar van activiteit,https://www.bipt.be/consumenten/bipt/de-regulator/1993-2023-30-jaar-van-activiteit,2026-02-04
영국,DSIT,2025-11-10,"과학, 혁신 및 기술부","Department for Science, Innovation and Technology",https://www.gov.uk/government/organisations/department-for-science-innovation-and-technology?utm_content=EP/zh-CN/search/wordpress/page/6,2026-02-04
벨기에,BIPT,2025-11-07,네트워크 품질,Kwaliteit van de netwerken,https://www.bipt.be/operatoren/telecom/spectrum/dekking-van-de-mobiele-netwerken/kwaliteit-van-de-netwerken,2026-02-04
벨기에,연방혁신기술부,2025-10-15,제1회 지리공간 인공지능 국제학술대회(GeoAI 2026),1st International Conference on Geospatial Artificial Intelligence (GeoAI 2026),https://eo.belspo.be/nl/agenda/1st-international-conference-geospatial-artificial-intelligence-geoai-2026,2026-02-04
사우디,MCIT,2025-10-15,"체신부차관, 삼바노바 CEO 면담… AI 투자 활성화 및 국가역량 강화",Vice Minister of Communications Meets with SambaNova CEO to boost AI Investments and Build National Capabilities,https://www.mcit.gov.sa/en/node/196174,2026-02-04
중국,MIIT,2025-10-09,"통신엔지니어링 건설업체 주요 책임자, 프로젝트 리더, 안전생산 관리 전담 인력을 대상으로 한 안전생산 평가",通信工程施工企业主要负责人 项目负责人和专职安全生产管理人员安全生产考核,https://ythzxfw.miit.gov.cn/bssx/axy/dxly/art/2025/art_e676836d377e45b1830298079225c1da.html,2026-02-04
스위스,WBF,2025-09-25,Guy Parmelin 연방 의원이 싱가포르와 디지털 경제 계약을 체결했습니다.,Federal Councillor Guy Parmelin signs digital economy agreement with Singapore,https://www.wbf.admin.ch/en/newnsb/uOqLXUeRDpydWK9h8yFvY,2026-02-04
중국,CAC,2025-09-17,세계인터넷컨퍼런스 문화유산디지털포럼 디지털 기술은 세계문화유산의 보호와 계승을 가능하게 한다,世界互联网大会文化遗产数字化论坛 数字化技术赋能世界文化遗产保护传承,https://www.cac.gov.cn/2025-09/17/c_1759912938906714.htm,2026-02-04
노르웨이,KDD,2025-09-16,지방 정부 및 지역 개발부 장관 Bjørnar Selnes Skjæran(노동당),Minister of Local Government and Regional Development Bjørnar Selnes Skjæran (Labour Party),https://www.regjeringen.no/en/dep/kdd/organisation/minister-of-local-government-and-regional-development-bjornar-selnes-skjaran/id3119065/,2026-02-04
일본,METI,2025-09-11,Generative AI 기본 모델 개발 2차 결과물(모델/데이터 세트) 출시,生成AI基盤モデル開発 第2期 成果物(モデル・データセット)公開,https://www.meti.go.jp/policy/mono_info_service/geniac/selection_2/result_2/index.html,2026-02-04
대한민국,산업통상자원부,2025-09-10,제조 AX 최강국 위해 기업들 뭉쳤다.,제조 AX 최강국 위해 기업들 뭉쳤다.,https://www.motie.go.kr/attach/down/095a2dda9c864e1d90d751f7668a1117/550665af4421284d22eb4b5b4c5ea854,2026-02-04
스위스,OFCOM,2025-09-06,세계 국가 및 지역의 인공지능 규제 분석,Analysis of artificial intelligence regulation in countries and regions around the world,https://www.bakom.admin.ch/dam/en/sd-web/3DmSVH-UgRCm/analyse_laender.pdf,2026-02-04
네덜란드,EZK,2025-09-05,아르노 루테,Arno Rutte,https://www.government.nl/government/members-of-cabinet/arno-rutte,2026-02-04
대한민국,과학기술정보통신부,2025-08-23,장관 소개,장관 소개,https://www.msit.go.kr/user/mnstrSchdl/mnstr.do?mId=133,2026-02-04
핀란드,MEE,2025-08-01,2025년 8월 2일부터 EU 인공지능법 적용,Application of EU Artificial Intelligence Act to begin on 2 August 2025,https://tem.fi/en/-/application-of-eu-artificial-intelligence-act-to-begin-on-2-august-2025?languageId=fi_FI,2026-02-04
핀란드,MEE,2025-08-01,2025년 8월 2일부터 EU 인공지능 규정 적용 시작,EU:n tekoälyasetuksen soveltaminen alkaa 2.8.2025,https://tem.fi/-/eu-n-tekoalyasetuksen-soveltaminen-alkaa-2.8.2025?languageId=en_US,2026-02-04
이스라엘,IIA,2025-07-24,스윙 트랙 - 발사 빔,מסלול תנופה – קרן ההזנק,https://innovationisrael.org.il/programs/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C-%D7%AA%D7%A0%D7%95%D7%A4%D7%94-%D7%A7%D7%A8%D7%9F-%D7%94%D7%94%D7%96%D7%A0%D7%A7/,2026-02-04
네덜란드,Digitalisation,2025-07-16,공공행정의 클라우드 주권 강화,Strengthening Cloud Sovereignty of Public Administrations,https://www.nldigitalgovernment.nl/strengthening-cloud-sovereignty-of-public-administrations/,2026-02-04
벨기에,FPS Economy,2025-07-15,벨기에 중소기업의 첨단 디지털화,Geavanceerde digitalisering van Belgische kmo's,https://economie.fgov.be/nl/themas/ondernemingen/kmos-en-zelfstandigen-cijfers/digitalisering-van-kmos/geavanceerde-digitalisering,2026-02-04
미국,백악관,2025-06-30,미국의 젊은이들에 대한 서약,Pledge to America’s Youth,https://www.whitehouse.gov/edai/,2026-02-04
중국,MIIT,2025-06-27,- 산업정보기술부,- 工信部,https://wxdxsba.miit.gov.cn/qrCodeSelect.action?rowguid=a44beabd88f04a4b94e5c5fd603e1173,2026-02-04
스위스,OFCOM,2025-06-25,"스위스, 2027년 인공지능 글로벌 정상회의 개최",Switzerland to host a global summit on artificial intelligence in 2027,https://www.bakom.admin.ch/en/newnsb/qewY8BHWPhcMQEYV12fkr,2026-02-04
중국,CAC,2025-06-24,"[새로운 아이디어가 새로운 여정을 이끈다] 우리나라 인공지능 분야는 급속도로 발전하고 있으며, 고품질 발전에 새로운 모멘텀을 불어넣고 있다",【新思想引领新征程】我国人工智能领域快速发展 为高质量发展注入新动能,https://www.cac.gov.cn/2025-06/24/c_1752478244403643.htm,2026-02-04
미국,백악관,2025-05-23,국가 안보를 위한 첨단 원자로 기술 배치,DEPLOYING ADVANCED NUCLEAR REACTOR TECHNOLOGIES FOR NATIONAL SECURITY,https://www.whitehouse.gov/presidential-actions/2025/05/deploying-advanced-nuclear-reactor-technologies-for-national-security/,2026-02-04
UAE,TDRA,2025-05-19,학사 장학금,منحة البكالوريوس,https://tdra.gov.ae/ar/ictfund/education/scholarships-betha/bachelor-degree,2026-02-04
오스트리아,BMAW,2025-05-12,사업장으로서의 오스트리아에서 에너지 전환의 일환으로 디지털화,Digitalisierung im Rahmen der Energiewende am Wirtschaftsstandort Österreich,https://www.bmwet.gv.at/Themen/Wirtschaftsstandort-Oesterreich/Allgemeine-Wirtschaftspolitik/Energiewende.html,2026-02-04
독일,BMDV,2025-05-09,BMV 전류,BMV Aktuell,https://bmdv.bund.de/DE/Meta/BMV-Aktuell/bmv-aktuell.html?editorSupport=true%3FresourceId%3D14470%3FresourceId%3D14470%3FpageLocale%3Dde%3FresourceId%3D14470%3FresourceId%3D452902%3FpageLocale%3Dde&gtp=76124_liste%253D2&editorSupport=true%3FresourceId%3D14470%3FresourceId%3D14470%3FpageLocale%3Dde%3FresourceId%3D14470%3FresourceId%3D452902%3FpageLocale%3Dde,2026-02-04
핀란드,LVM,2025-04-28,보고서: 디지털화 및 데이터 경제 영향 평가 개발,Raportti: Digitalisaation ja datatalouden vaikutusarvioinnin kehittäminen,https://lvm.fi/-/raportti-digitalisaation-ja-datatalouden-vaikutusarvioinnin-kehittaminen,2026-02-04
오스트리아,BMF,2025-04-23,공제액이 포함된 엄청난 부담,Außergewöhnliche Belastungen mit Selbstbehalt,https://www.bmf.gv.at/themen/steuern/arbeitnehmerveranlagung/was-kann-ich-geltend-machen/aussergewoehnliche-belastungen/aussergewoehnliche-belastungen-mit-selbstbehalt.html,2026-02-04
네덜란드,EZK,2025-04-22,데이터 공유 이니셔티브를 위한 지속 가능한 수익 모델,Sustainable Revenue Models for Data Sharing Initiatives,https://www.government.nl/binaries/government/documenten/reports/2025/04/22/sustainable-revenue-models-for-data-sharing-initiatives/Report_Sustainable_Revenue_Models_for_Data_Sharing_Initiatives.pdf,2026-02-04
오스트리아,BMAW,2025-04-10,독립 기업의 연방 통일 목록,Bundeseinheitliche Liste der freien Gewerbe,https://www.bmwet.gv.at/Services/Publikationen/Bundeseinheitliche-Liste-der-freien-Gewerbe.html,2026-02-04
UAE,MoIAT,2025-03-24,인공지능 프로그램을 통한 혁신,برنامج الابتكار عبر الذكاء الاصطناعي,https://www.moiat.gov.ae/ar/ai-innovation-program-v2,2026-02-04
벨기에,FPS Economy,2025-03-23,인공지능 백서,Witboek over kunstmatige intelligentie,https://economie.fgov.be/nl/legislation/witboek-over-kunstmatige,2026-02-04
UAE,TDRA,2025-03-09,데이터 공개,البيانات المفتوحة,https://tdra.gov.ae/ar/open-data/data-sets,2026-02-04
캐나다,TBS,2025-03-04,"캐나다, 연방 공공 서비스를 위한 최초의 인공 지능 전략 출시",Canada launches first-ever Artificial Intelligence Strategy for the federal public service,https://www.canada.ca/en/treasury-board-secretariat/news/2025/03/canada-launches-first-ever-artificial-intelligence-strategy-for-the-federal-public-service.html,2026-02-04
캐나다,TBS,2025-03-04,재무부 의장은 연방 공공 서비스를 위한 인공 지능에 관해 발표할 예정입니다.,The President of the Treasury Board will make an announcement on artificial intelligence for the federal public service,https://www.canada.ca/en/treasury-board-secretariat/news/2025/03/the-president-of-the-treasury-board-will-make-an-announcement-on-artificial-intelligence-for-the-federal-public-service.html,2026-02-04
호주,DITRDCA,2025-02-26,인공지능 투명성 선언문,Artificial Intelligence Transparency Statement,https://www.infrastructure.gov.au/about-us/artificial-intelligence-transparency-statement,2026-02-04
벨기에,BIPT,2025-02-26,보편적 전기통신 서비스 모니터링에 관한 커뮤니케이션 2024,Mededeling met betrekking tot de monitoring van de universele dienst op telecommunicatiegebied 2024,https://www.bipt.be/operatoren/publicatie/mededeling-met-betrekking-tot-de-monitoring-van-de-universele-dienst-op-telecommunicatiegebied-2024,2026-02-04
호주,DITRDCA,2025-01-29,통신 산업의 인공 지능 채택에 관한 원칙 영국과 Au 간의 공동 성명,"Principles on Arfificial Intelligence Adopfion in the Telecommunicafions Industry Joint statement between the United Kingdom, Au",https://www.infrastructure.gov.au/sites/default/files/documents/gcot-ai-principles-final-version.pdf,2026-02-04
미국,백악관,2025-01-23,인공 지능 분야에서 미국의 리더십에 대한 장벽 제거,REMOVING BARRIERS TO AMERICAN LEADERSHIP IN ARTIFICIAL INTELLIGENCE,https://www.whitehouse.gov/presidential-actions/2025/01/removing-barriers-to-american-leadership-in-artificial-intelligence/,2026-02-04
미국,DOC,2025-01-16,생성적 인공 지능 및 개방형 데이터: 지침 및 모범 사례,Generative Artificial Intelligence and Open Data: Guidelines and Best Practices,https://www.commerce.gov/sites/default/files/2025-01/GenerativeAI-Open-Data.pdf,2026-02-04
벨기에,FPS Economy,2024-12-02,기업 내 AI: 벨기에가 선두 그룹,AI in bedrijven: België in de kopgroep,https://news.economie.fgov.be/244750-ai-in-bedrijven-belgie-in-de-kopgroep/,2026-02-04
핀란드,LVM,2024-11-18,제5차 Gaia-X Summit에는 유럽 최고의 데이터 경제 전문가들이 헬싱키에 모였습니다.,Viides Gaia-X Summit kokosi Euroopan johtavat datatalouden asiantuntijat Helsinkiin,https://lvm.fi/-/viides-gaia-x-summit-kokosi-euroopan-johtavat-datatalouden-asiantuntijat-helsinkiin?languageId=sv_SE,2026-02-04
UAE,MoIAT,2024-10-15,장관 각하에게 연락하세요,تواصل مع معالي الوزير,https://www.moiat.gov.ae/ar/contact-us/contact-minister,2026-02-04
UAE,MoIAT,2024-10-15,포토갤러리,معرض الصور,https://www.moiat.gov.ae/ar/media-center/photos-gallery,2026-02-04
스웨덴,Climate,2024-09-26,CV 사라 모딕,CV Sara Modig,https://www.government.se/government-of-sweden/ministry-of-climate-and-enterprise/ebba-busch/cv-sara-modig2/,2026-02-04
핀란드,LVM,2024-09-23,LVM의 관리 생산성 프로그램 출시,LVM:n hallinnonalan tuottavuusohjelma julkaistu,https://lvm.fi/-/lvm-n-hallinnonalan-tuottavuusohjelma-julkaistu,2026-02-04
대한민국,과학기술정보통신부,2024-09-22,정보통신 진흥 및 융합 활성화 기본계획 및 지능정보사회 종합계획 (2023년 ~ 2025년),정보통신 진흥 및 융합 활성화 기본계획 및 지능정보사회 종합계획 (2023년 ~ 2025년),https://www.msit.go.kr/publicinfo/view.do?mId=&publictSeqNo=240&publictListSeqNo=3,2026-02-04
핀란드,MEE,2024-09-11,유럽연합(EU)의 인공지능 규제와 핀란드에서의 시행,EU:n tekoälyasetus ja sen toimeenpano Suomessa,https://tem.fi/documents/1410877/224244145/AIA-sidosryhmatilaisuus_11092024.pdf/eb557f4c-be8a-587e-e90c-62df82f9d6a9/AIA-sidosryhmatilaisuus_11092024.pdf?t=1730194781621,2026-02-04
오스트리아,BMF,2024-08-09,"브루너: 재무부는 2023년 AI를 통해 약 1억 8,500만 유로의 세수를 창출했습니다.",Brunner: Finanzministerium erzielte 2023 rund 185 Mio. Euro Steuereinnahmen durch KI,https://www.bmf.gv.at/presse/pressemeldungen/2024/august/pacc-bilanz.html,2026-02-04
미국,NTIA,2024-08-02,인공 지능으로 9-1-1 운영 개선,Improving 9-1-1 Operations with Artificial Intelligence,https://www.ntia.gov/category/next-generation-911/improving-911-operations-with-artificial-intelligence,2026-02-04
중국,CAC,2024-07-08,"서비스 무역의 디지털화 속도가 빨라지고 있으며, 우리나라의 대외무역은 활력을 불어넣고 있습니다.",服务贸易数字化步伐加快 我国外贸释放澎湃活力,https://www.cac.gov.cn/2024-07/08/c_1722119034930372.htm,2026-02-04
호주,DITRDCA,2024-06-20,AI 및 디지털 정책 센터 온라인 안전법 2024년 6월 20일 인공 지능 1 AI 및 디지털 정책 센터,"Center for AI and Digital Policy Online Safety Act June 20, 2024 Artificial Intelligence 1 THE CENTER FOR AI AND DIGITAL POLICY",https://www.infrastructure.gov.au/sites/default/files/documents/osar-submission-71-centre-for-ai-and-digital-policy.pdf,2026-02-04
노르웨이,KDD,2024-06-11,전문가 그룹 – AI와 선거,Expert group – AI and elections,https://www.regjeringen.no/en/dep/kdd/organisation/styrer-rad-og-utvalg/expert-group-ai-and-elections/id3044410/,2026-02-04
