발행일,발행부처,문서종류,제목(영문),원문링크,문서번호
2025-12-31,Nuclear Regulatory Commission,Notice,"Duke Energy Progress, LLC; H. B. Robinson Steam Electric Plant, Unit No. 2; Exemption",https://www.federalregister.gov/documents/2025/12/31/2025-24119/duke-energy-progress-llc-h-b-robinson-steam-electric-plant-unit-no-2-exemption,2025-24119
2025-12-31,Nuclear Regulatory Commission,Notice,"Duke Energy Carolinas, LLC; Oconee Nuclear Station Units 1, 2, and 3; Exemption",https://www.federalregister.gov/documents/2025/12/31/2025-24118/duke-energy-carolinas-llc-oconee-nuclear-station-units-1-2-and-3-exemption,2025-24118
2025-12-31,Nuclear Regulatory Commission,Notice,"Duke Energy Carolinas, LLC; McGuire Nuclear Station, Unit 1; Exemption",https://www.federalregister.gov/documents/2025/12/31/2025-24117/duke-energy-carolinas-llc-mcguire-nuclear-station-unit-1-exemption,2025-24117
2025-12-31,"Treasury Department, Internal Revenue Service",Notice,"Agency Information Collection Activities; Comment Request on Interest Charge on DISC-Related Deferred Tax Liability, Form 8404",https://www.federalregister.gov/documents/2025/12/31/2025-24116/agency-information-collection-activities-comment-request-on-interest-charge-on-disc-related-deferred,2025-24116
2025-12-31,"Defense Department, Office of the Secretary",Notice,Submission for OMB Review; Comment Request,https://www.federalregister.gov/documents/2025/12/31/2025-24115/submission-for-omb-review-comment-request,2025-24115
2025-12-31,Education Department,Notice,Competition Announcement; Braille Training Program,https://www.federalregister.gov/documents/2025/12/31/2025-24114/competition-announcement-braille-training-program,2025-24114
2025-12-31,"Agriculture Department, Agricultural Marketing Service",Rule,Cotton Board Rules and Regulations: Adjusting Supplemental Assessment on Imports (2025 Amendments),https://www.federalregister.gov/documents/2025/12/31/2025-24113/cotton-board-rules-and-regulations-adjusting-supplemental-assessment-on-imports-2025-amendments,2025-24113
2025-12-31,"Commerce Department, Foreign-Trade Zones Board",Notice,"Foreign-Trade Zone (FTZ) 210, Notification of Proposed Production Activity; P.J. Wallbank Springs, Inc.; (Spring Pack Assemblies Used in Automotive Transmissions); Port Huron, Michigan",https://www.federalregister.gov/documents/2025/12/31/2025-24112/foreign-trade-zone-ftz-210-notification-of-proposed-production-activity-pj-wallbank-springs-inc,2025-24112
2025-12-31,"Transportation Department, Federal Motor Carrier Safety Administration",Notice,Commercial Driver's License Standards: Application for Exemption; Massachusetts Department of State Police,https://www.federalregister.gov/documents/2025/12/31/2025-24111/commercial-drivers-license-standards-application-for-exemption-massachusetts-department-of-state,2025-24111
2025-12-31,"Health and Human Services Department, National Institutes of Health",Notice,Center for Scientific Review; Amended Notice of Meeting,https://www.federalregister.gov/documents/2025/12/31/2025-24110/center-for-scientific-review-amended-notice-of-meeting,2025-24110
2025-12-31,"Health and Human Services Department, National Institutes of Health",Notice,Center for Scientific Review; Notice of Closed Meetings,https://www.federalregister.gov/documents/2025/12/31/2025-24109/center-for-scientific-review-notice-of-closed-meetings,2025-24109
2025-12-31,"Health and Human Services Department, National Institutes of Health",Notice,Center for Scientific Review; Notice of Closed Meeting,https://www.federalregister.gov/documents/2025/12/31/2025-24108/center-for-scientific-review-notice-of-closed-meeting,2025-24108
2025-12-31,"Health and Human Services Department, National Institutes of Health",Notice,Center for Scientific Review; Amended Notice of Meeting,https://www.federalregister.gov/documents/2025/12/31/2025-24107/center-for-scientific-review-amended-notice-of-meeting,2025-24107
2025-12-31,"Defense Department, Engineers Corps",Notice,Inland Waterways Users Board Third Request for Nominations; Correction,https://www.federalregister.gov/documents/2025/12/31/2025-24106/inland-waterways-users-board-third-request-for-nominations-correction,2025-24106
2025-12-31,"Health and Human Services Department, National Institutes of Health",Notice,Center for Scientific Review; Amended Notice of Meeting,https://www.federalregister.gov/documents/2025/12/31/2025-24105/center-for-scientific-review-amended-notice-of-meeting,2025-24105
2025-12-31,"Health and Human Services Department, National Institutes of Health",Notice,National Cancer Institute; Notice of Closed Meeting,https://www.federalregister.gov/documents/2025/12/31/2025-24104/national-cancer-institute-notice-of-closed-meeting,2025-24104
2025-12-31,"Health and Human Services Department, National Institutes of Health",Notice,Center for Scientific Review; Notice of Closed Meetings,https://www.federalregister.gov/documents/2025/12/31/2025-24103/center-for-scientific-review-notice-of-closed-meetings,2025-24103
2025-12-31,Environmental Protection Agency,Rule,Effluent Limitations Guidelines and Standards for the Steam Electric Power Generating Point Source Category-Deadline Extensions,https://www.federalregister.gov/documents/2025/12/31/2025-24102/effluent-limitations-guidelines-and-standards-for-the-steam-electric-power-generating-point-source,2025-24102
2025-12-31,Nuclear Regulatory Commission,Notice,"Constellation Energy Generation, LLC; Peach Bottom Atomic Power Station, Unit 1; Exemption",https://www.federalregister.gov/documents/2025/12/31/2025-24101/constellation-energy-generation-llc-peach-bottom-atomic-power-station-unit-1-exemption,2025-24101
2025-12-31,Justice Department,Notice,Notice of Proposed Settlement Agreement Under the Clean Air Act,https://www.federalregister.gov/documents/2025/12/31/2025-24100/notice-of-proposed-settlement-agreement-under-the-clean-air-act,2025-24100
2025-12-31,Health and Human Services Department,Notice,Agency Information Collection Request; 60-Day Public Comment Request,https://www.federalregister.gov/documents/2025/12/31/2025-24099/agency-information-collection-request-60-day-public-comment-request,2025-24099
2025-12-31,"Agriculture Department, Farm Service Agency",Notice,Information Collection Request; Organic Certification Cost Share Program,https://www.federalregister.gov/documents/2025/12/31/2025-24098/information-collection-request-organic-certification-cost-share-program,2025-24098
2025-12-31,Nuclear Regulatory Commission,Notice,"Constellation Energy Generation, LLC; LaSalle County Station, Units 1 and 2; License Amendment Request",https://www.federalregister.gov/documents/2025/12/31/2025-24097/constellation-energy-generation-llc-lasalle-county-station-units-1-and-2-license-amendment-request,2025-24097
2025-12-31,"Energy Department, Federal Energy Regulatory Commission",Notice,"Columbia Gas Transmission, LLC; Notice of Scoping Period Requesting Comments on Environmental Issues for the Proposed Hunt Storage Field Abandonment Project",https://www.federalregister.gov/documents/2025/12/31/2025-24096/columbia-gas-transmission-llc-notice-of-scoping-period-requesting-comments-on-environmental-issues,2025-24096
2025-12-31,"Energy Department, Federal Energy Regulatory Commission",Notice,Combined Notice of Filings,https://www.federalregister.gov/documents/2025/12/31/2025-24095/combined-notice-of-filings,2025-24095
2025-12-31,Postal Service,Rule,Claims Filing Date for Insured Mail,https://www.federalregister.gov/documents/2025/12/31/2025-24094/claims-filing-date-for-insured-mail,2025-24094
2025-12-31,"Energy Department, Federal Energy Regulatory Commission",Notice,Commission Information Collection Activities (FERC-551) Comment Request; Extension,https://www.federalregister.gov/documents/2025/12/31/2025-24093/commission-information-collection-activities-ferc-551-comment-request-extension,2025-24093
2025-12-31,"Energy Department, Federal Energy Regulatory Commission",Notice,Commission Information Collection Activities (FERC-915) Comment Request; Extension,https://www.federalregister.gov/documents/2025/12/31/2025-24092/commission-information-collection-activities-ferc-915-comment-request-extension,2025-24092
2025-12-31,"Health and Human Services Department, Health Resources and Services Administration",Notice,"Agency Information Collection Activities: Proposed Collection: Public Comment Request; Health Workforce Connector, OMB No. 0906-0031 Revision",https://www.federalregister.gov/documents/2025/12/31/2025-24091/agency-information-collection-activities-proposed-collection-public-comment-request-health-workforce,2025-24091
2025-12-31,"Energy Department, Federal Energy Regulatory Commission",Notice,Combined Notice of Filings #1,https://www.federalregister.gov/documents/2025/12/31/2025-24090/combined-notice-of-filings-1,2025-24090
2025-12-31,"Health and Human Services Department, Health Resources and Services Administration",Notice,"Agency Information Collection Activities: Proposed Collection: Public Comment Request; Information Collection Request Title: Ryan White HIV/AIDS Program: Expenditures Reports, OMB No. 0915-0390-Revision",https://www.federalregister.gov/documents/2025/12/31/2025-24089/agency-information-collection-activities-proposed-collection-public-comment-request-information,2025-24089
2025-12-31,"Energy Department, Federal Energy Regulatory Commission",Notice,"Columbia Gulf Transmission, LLC; Notice of Request Under Blanket Authorization and Establishing Intervention and Protest Deadline",https://www.federalregister.gov/documents/2025/12/31/2025-24088/columbia-gulf-transmission-llc-notice-of-request-under-blanket-authorization-and-establishing,2025-24088
2025-12-31,"Energy Department, Federal Energy Regulatory Commission",Notice,Commission Information Collection Activities (FERC-725N) Comment Request; Revision,https://www.federalregister.gov/documents/2025/12/31/2025-24087/commission-information-collection-activities-ferc-725n-comment-request-revision,2025-24087
2025-12-31,"Homeland Security Department, U.S. Customs and Border Protection",Notice,"Accreditation and Approval of King Inspection and Testing, Inc. (Carson, CA), as a Commercial Gauger and Laboratory",https://www.federalregister.gov/documents/2025/12/31/2025-24086/accreditation-and-approval-of-king-inspection-and-testing-inc-carson-ca-as-a-commercial-gauger-and,2025-24086
2025-12-31,"Homeland Security Department, U.S. Customs and Border Protection",Notice,"Approval of Altol Petroleum Products Services, Inc. (Ponce, PR) as a Commercial Gauger",https://www.federalregister.gov/documents/2025/12/31/2025-24085/approval-of-altol-petroleum-products-services-inc-ponce-pr-as-a-commercial-gauger,2025-24085
2025-12-31,Environmental Protection Agency,Rule,"Regulation of Fuels, Fuel Additives, and Regulated Blendstocks",https://www.federalregister.gov/documents/2025/12/31/2025-24084/regulation-of-fuels-fuel-additives-and-regulated-blendstocks,2025-24084
2025-12-31,"Homeland Security Department, U.S. Customs and Border Protection",Notice,"Approval of USA, Inc. (Wilmington, NC), as a Commercial Gauger",https://www.federalregister.gov/documents/2025/12/31/2025-24083/approval-of-usa-inc-wilmington-nc-as-a-commercial-gauger,2025-24083
2025-12-31,"Labor Department, Employee Benefits Security Administration",Notice,Delinquent Filer Voluntary Compliance Program,https://www.federalregister.gov/documents/2025/12/31/2025-24082/delinquent-filer-voluntary-compliance-program,2025-24082
2025-12-31,"Homeland Security Department, U.S. Customs and Border Protection",Notice,"Accreditation and Approval of Thionville Surveying Company, Inc. (Harahan, LA), as a Commercial Gauger and Laboratory",https://www.federalregister.gov/documents/2025/12/31/2025-24081/accreditation-and-approval-of-thionville-surveying-company-inc-harahan-la-as-a-commercial-gauger-and,2025-24081
2025-12-31,"Labor Department, Workers' Compensation Programs Office",Notice,Proposed Extension of Information Collection; Request for State or Federal Compensation Information,https://www.federalregister.gov/documents/2025/12/31/2025-24080/proposed-extension-of-information-collection-request-for-state-or-federal-compensation-information,2025-24080
2025-12-31,"Labor Department, Occupational Safety and Health Administration",Notice,Standard on Rigging Equipment for Material Handling; Extension of the Office of Management and Budget's (OMB) Approval of Information Collection (Paperwork) Requirements,https://www.federalregister.gov/documents/2025/12/31/2025-24079/standard-on-rigging-equipment-for-material-handling-extension-of-the-office-of-management-and,2025-24079
2025-12-31,"Labor Department, Occupational Safety and Health Administration",Notice,DEKRA Certification Inc.: Grant of Expansion of Recognition and Modification to the NRTL Program's List of Appropriate Test Standards,https://www.federalregister.gov/documents/2025/12/31/2025-24078/dekra-certification-inc-grant-of-expansion-of-recognition-and-modification-to-the-nrtl-programs-list,2025-24078
2025-12-31,"Labor Department, Occupational Safety and Health Administration",Notice,"Nemko North America, Inc.: Application for Expansion of Recognition",https://www.federalregister.gov/documents/2025/12/31/2025-24077/nemko-north-america-inc-application-for-expansion-of-recognition,2025-24077
2025-12-31,"Labor Department, Occupational Safety and Health Administration",Notice,UL LLC: Grant of Expansion of Recognition and Modification to the NRTL Program's List of Appropriate Test Standards,https://www.federalregister.gov/documents/2025/12/31/2025-24076/ul-llc-grant-of-expansion-of-recognition-and-modification-to-the-nrtl-programs-list-of-appropriate,2025-24076
2025-12-31,"Labor Department, Occupational Safety and Health Administration",Notice,Susan Harwood Training Grant Program; Extension of the Office of Management and Budget's (OMB) Approval of Information Collection (Paperwork) Requirements,https://www.federalregister.gov/documents/2025/12/31/2025-24075/susan-harwood-training-grant-program-extension-of-the-office-of-management-and-budgets-omb-approval,2025-24075
2025-12-31,"Labor Department, Workers' Compensation Programs Office",Notice,Proposed Extension of Information Collection; Certification by School Official,https://www.federalregister.gov/documents/2025/12/31/2025-24074/proposed-extension-of-information-collection-certification-by-school-official,2025-24074
2025-12-31,"Library of Congress, Copyright Royalty Board",Notice,Determination of Rates and Terms for Satellite Radio and “Preexisting” Subscription Services (SDARS IV),https://www.federalregister.gov/documents/2025/12/31/2025-24073/determination-of-rates-and-terms-for-satellite-radio-and-preexisting-subscription-services-sdars-iv,2025-24073
2025-12-31,"Library of Congress, Copyright Royalty Board",Notice,Determination of Rates and Terms for Public Broadcasting (PB V),https://www.federalregister.gov/documents/2025/12/31/2025-24072/determination-of-rates-and-terms-for-public-broadcasting-pb-v,2025-24072
2025-12-31,"Homeland Security Department, Coast Guard",Rule,"Safety Zone; Port of Long Beach, Long Beach, CA",https://www.federalregister.gov/documents/2025/12/31/2025-24071/safety-zone-port-of-long-beach-long-beach-ca,2025-24071
2025-12-31,"Homeland Security Department, Coast Guard",Rule,"Safety Zone; Hampton Roads Bridge-Tunnel Expansion Project, Hampton/Norfolk, VA",https://www.federalregister.gov/documents/2025/12/31/2025-24070/safety-zone-hampton-roads-bridge-tunnel-expansion-project-hamptonnorfolk-va,2025-24070
2025-12-31,"Commerce Department, International Trade Administration",Notice,Oil Country Tubular Goods From the People's Republic of China: Notice of Covered Merchandise Referral and Initiation of Covered Merchandise Inquiry,https://www.federalregister.gov/documents/2025/12/31/2025-24069/oil-country-tubular-goods-from-the-peoples-republic-of-china-notice-of-covered-merchandise-referral,2025-24069
2025-12-31,"Commerce Department, Foreign-Trade Zones Board",Notice,"Foreign-Trade Zone (FTZ) 84, Notification of Proposed Production Activity; Q-Edge Corporation; (Hardware/Modules Relating to Consumer Electronics and Servers); Houston, Texas",https://www.federalregister.gov/documents/2025/12/31/2025-24068/foreign-trade-zone-ftz-84-notification-of-proposed-production-activity-q-edge-corporation,2025-24068
2025-12-31,"Treasury Department, Foreign Assets Control Office",Notice,Notice of OFAC Sanctions Actions,https://www.federalregister.gov/documents/2025/12/31/2025-24067/notice-of-ofac-sanctions-actions,2025-24067
2025-12-31,"Defense Department, Office of the Secretary",Notice,Revised Non-Foreign Overseas Per Diem Rates,https://www.federalregister.gov/documents/2025/12/31/2025-24066/revised-non-foreign-overseas-per-diem-rates,2025-24066
2025-12-31,"Defense Department, Office of the Secretary",Notice,Submission for OMB Review; Comment Request,https://www.federalregister.gov/documents/2025/12/31/2025-24065/submission-for-omb-review-comment-request,2025-24065
2025-12-31,"Defense Department, Office of the Secretary",Notice,Proposed Collection; Comment Request,https://www.federalregister.gov/documents/2025/12/31/2025-24064/proposed-collection-comment-request,2025-24064
2025-12-31,"Defense Department, Navy Department",Notice,Proposed Collection; Comment Request,https://www.federalregister.gov/documents/2025/12/31/2025-24063/proposed-collection-comment-request,2025-24063
2025-12-31,"Defense Department, Air Force Department",Notice,Proposed Collection; Comment Request,https://www.federalregister.gov/documents/2025/12/31/2025-24062/proposed-collection-comment-request,2025-24062
2025-12-31,Veterans Affairs Department,Rule,Reproductive Health Services,https://www.federalregister.gov/documents/2025/12/31/2025-24061/reproductive-health-services,2025-24061
2025-12-31,"Agriculture Department, Farm Service Agency",Notice,Application Fast Track Pilot Program-Extension,https://www.federalregister.gov/documents/2025/12/31/2025-24060/application-fast-track-pilot-program-extension,2025-24060
2025-12-31,Securities and Exchange Commission,Notice,Self-Regulatory Organizations; LCH SA; Notice of Filing and Immediate Effectiveness of Proposed Rule Change Relating to Cash Spreads and Fees on Securities Collateral,https://www.federalregister.gov/documents/2025/12/31/2025-24059/self-regulatory-organizations-lch-sa-notice-of-filing-and-immediate-effectiveness-of-proposed-rule,2025-24059
2025-12-31,Securities and Exchange Commission,Notice,Joint Industry Plan; Notice of Filing of the Second Amendment to the Limited Liability Company Agreement of CT Plan LLC To Adopt a Fee Schedule,https://www.federalregister.gov/documents/2025/12/31/2025-24058/joint-industry-plan-notice-of-filing-of-the-second-amendment-to-the-limited-liability-company,2025-24058
2025-12-31,Securities and Exchange Commission,Notice,"Self-Regulatory Organizations; Boston Stock Exchange Clearing Corporation; Stock Clearing Corporation of Philadelphia; Notice of Filing of Amendment No. 1 and Order Granting Accelerated Approval of Proposed Rule Change, as Modified by Amendment No. 1, by Boston Stock Exchange Clearing Corporation and Stock Clearing Corporation of Philadelphia To Amend the Amended and Restated Certificate of Incorporation and By-Laws of Parent Corporation, Nasdaq, Inc.",https://www.federalregister.gov/documents/2025/12/31/2025-24057/self-regulatory-organizations-boston-stock-exchange-clearing-corporation-stock-clearing-corporation,2025-24057
2025-12-31,Securities and Exchange Commission,Notice,Self-Regulatory Organizations; The Options Clearing Corporation; Notice of Filing and Immediate Effectiveness of Proposed Rule Change by The Options Clearing Corporation Concerning a Change in the Maximum Contingent Operational Loss Fee Listed in OCC's Schedule of Fees in Accordance With OCC's Capital Management Policy,https://www.federalregister.gov/documents/2025/12/31/2025-24056/self-regulatory-organizations-the-options-clearing-corporation-notice-of-filing-and-immediate,2025-24056
2025-12-31,Securities and Exchange Commission,Notice,"Self-Regulatory Organizations; Cboe Exchange, Inc.; Order Instituting Proceedings To Determine Whether To Approve or Disapprove a Proposed Rule Change To Allow for Extended Trading of Multi-Listed Equity Options",https://www.federalregister.gov/documents/2025/12/31/2025-24055/self-regulatory-organizations-cboe-exchange-inc-order-instituting-proceedings-to-determine-whether,2025-24055
2025-12-31,Securities and Exchange Commission,Notice,"Self-Regulatory Organizations; Cboe Exchange, Inc.; Order Instituting Proceedings To Determine Whether To Approve or Disapprove a Proposed Rule Change To Amend Exchange Rule 5.4",https://www.federalregister.gov/documents/2025/12/31/2025-24054/self-regulatory-organizations-cboe-exchange-inc-order-instituting-proceedings-to-determine-whether,2025-24054
2025-12-31,Securities and Exchange Commission,Notice,"Self-Regulatory Organizations; Cboe C2 Exchange, Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Establish Fees for Its Market Data Feeds",https://www.federalregister.gov/documents/2025/12/31/2025-24053/self-regulatory-organizations-cboe-c2-exchange-inc-notice-of-filing-and-immediate-effectiveness-of-a,2025-24053
2025-12-31,Securities and Exchange Commission,Notice,Self-Regulatory Organizations; Nasdaq PHLX LLC; Order Instituting Proceedings To Determine Whether To Approve or Disapprove a Proposed Rule Change To List and Trade Nasdaq Bitcoin Index Options,https://www.federalregister.gov/documents/2025/12/31/2025-24052/self-regulatory-organizations-nasdaq-phlx-llc-order-instituting-proceedings-to-determine-whether-to,2025-24052
2025-12-31,Securities and Exchange Commission,Notice,"Self-Regulatory Organizations; Nasdaq ISE, LLC; Notice of Filing of Amendment No. 1 and Order Instituting Proceedings To Determine Whether To Approve or Disapprove a Proposed Rule Change, as Modified by Amendment No. 1, Regarding the Adoption of Listing Criteria for Options on a Commodity-Based Trust That Holds Multiple Crypto Assets",https://www.federalregister.gov/documents/2025/12/31/2025-24051/self-regulatory-organizations-nasdaq-ise-llc-notice-of-filing-of-amendment-no-1-and-order,2025-24051
2025-12-31,Securities and Exchange Commission,Notice,Joint Industry Plan; Notice of Filing of Amendment to the National Market System Plan Governing the Consolidated Audit Trail To Further Reduce the Costs of the Consolidated Audit Trail,https://www.federalregister.gov/documents/2025/12/31/2025-24050/joint-industry-plan-notice-of-filing-of-amendment-to-the-national-market-system-plan-governing-the,2025-24050
2025-12-31,Securities and Exchange Commission,Notice,Self-Regulatory Organizations; MEMX LLC; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Amend Rule 4.7 of the Exchange's CAT Compliance Rule,https://www.federalregister.gov/documents/2025/12/31/2025-24049/self-regulatory-organizations-memx-llc-notice-of-filing-and-immediate-effectiveness-of-a-proposed,2025-24049
2025-12-31,Securities and Exchange Commission,Notice,"Self-Regulatory Organizations; Financial Industry Regulatory Authority, Inc.; Notice of Filing and Immediate Effectiveness of a Proposed Rule Change To Amend FINRA Rule 6830 (Industry Member Data Reporting) Regarding the Bona Fide Market Making Exception Under SEC Regulation SHO",https://www.federalregister.gov/documents/2025/12/31/2025-24048/self-regulatory-organizations-financial-industry-regulatory-authority-inc-notice-of-filing-and,2025-24048
2025-12-31,Securities and Exchange Commission,Notice,"Self-Regulatory Organizations; Cboe BZX Exchange, Inc.; Notice of Filing of a Proposed Rule Change To Amend Exchange Rule 11.23(d)(2)(B) (Extending the Quote-Only Period for Initial Public Offering (“IPO”) Auctions)",https://www.federalregister.gov/documents/2025/12/31/2025-24047/self-regulatory-organizations-cboe-bzx-exchange-inc-notice-of-filing-of-a-proposed-rule-change-to,2025-24047
2025-12-31,Securities and Exchange Commission,Notice,Self-Regulatory Organizations; Investors Exchange LLC; Notice of Filing and Immediate Effectiveness of Proposed Rule Change To Adopt Common Criteria and Procedures for Halting and Resuming Trading in Equity Securities,https://www.federalregister.gov/documents/2025/12/31/2025-24046/self-regulatory-organizations-investors-exchange-llc-notice-of-filing-and-immediate-effectiveness-of,2025-24046
2025-12-31,"Library of Congress, Copyright Royalty Board",Notice,Determination of Rates and Terms for Making and Distributing Phonorecords (Phonorecords V),https://www.federalregister.gov/documents/2025/12/31/2025-24044/determination-of-rates-and-terms-for-making-and-distributing-phonorecords-phonorecords-v,2025-24044
2025-12-31,Securities and Exchange Commission,Notice,"Lafayette Square USA, Inc., et al.",https://www.federalregister.gov/documents/2025/12/31/2025-24042/lafayette-square-usa-inc-et-al,2025-24042
2025-12-31,Small Business Administration,Notice,Presidential Declaration of a Major Disaster for Public Assistance Only for the State of Kansas,https://www.federalregister.gov/documents/2025/12/31/2025-24041/presidential-declaration-of-a-major-disaster-for-public-assistance-only-for-the-state-of-kansas,2025-24041
2025-12-31,International Trade Commission,Notice,"Van-Type Trailers and Subassemblies From Canada, China, and Mexico; Revised Schedule for the Subject Proceeding",https://www.federalregister.gov/documents/2025/12/31/2025-24039/van-type-trailers-and-subassemblies-from-canada-china-and-mexico-revised-schedule-for-the-subject,2025-24039
2025-12-31,International Trade Commission,Notice,Nonfat Milk Solids: Competitive Conditions for the United States and Major Foreign Suppliers,https://www.federalregister.gov/documents/2025/12/31/2025-24038/nonfat-milk-solids-competitive-conditions-for-the-united-states-and-major-foreign-suppliers,2025-24038
2025-12-31,"Treasury Department, Internal Revenue Service",Notice,Electronic Tax Administration Advisory Committee; Request for Nominations,https://www.federalregister.gov/documents/2025/12/31/2025-24037/electronic-tax-administration-advisory-committee-request-for-nominations,2025-24037
2025-12-31,"Commerce Department, International Trade Administration",Notice,L-Lysine From the People's Republic of China: Postponement of Preliminary Determination in the Less-Than-Fair-Value Investigation,https://www.federalregister.gov/documents/2025/12/31/2025-24036/l-lysine-from-the-peoples-republic-of-china-postponement-of-preliminary-determination-in-the,2025-24036
2025-12-31,"Commerce Department, International Trade Administration",Notice,Carbazole Violet Pigment-23 From India: Final Results of Countervailing Duty Administrative Review; 2022,https://www.federalregister.gov/documents/2025/12/31/2025-24035/carbazole-violet-pigment-23-from-india-final-results-of-countervailing-duty-administrative-review,2025-24035
2025-12-31,"Commerce Department, International Trade Administration",Notice,Mobile Access Equipment From the People's Republic of China: Notice of Court Decision Not in Harmony With the Final Determination of Antidumping Investigation; Notice of Amended Final Determination,https://www.federalregister.gov/documents/2025/12/31/2025-24034/mobile-access-equipment-from-the-peoples-republic-of-china-notice-of-court-decision-not-in-harmony,2025-24034
2025-12-31,"Commerce Department, International Trade Administration",Notice,"Polypropylene Corrugated Boxes From the Socialist Republic of Vietnam: Preliminary Affirmative Determination of Sales at Less Than Fair Value, Preliminary Affirmative Determination of Critical Circumstances, In Part, Postponement of Final Determination, and Extension of Provisional Measures",https://www.federalregister.gov/documents/2025/12/31/2025-24033/polypropylene-corrugated-boxes-from-the-socialist-republic-of-vietnam-preliminary-affirmative,2025-24033
2025-12-31,"Commerce Department, International Trade Administration",Notice,Overhead Door Counterbalance Torsion Springs From India: Final Affirmative Countervailing Duty Determination and Final Affirmative Critical Circumstances Determination,https://www.federalregister.gov/documents/2025/12/31/2025-24032/overhead-door-counterbalance-torsion-springs-from-india-final-affirmative-countervailing-duty,2025-24032
2025-12-31,"Commerce Department, International Trade Administration",Notice,Overhead Door Counterbalance Torsion Springs From India: Final Affirmative Determination of Sales at Less Than Fair Value and Final Affirmative Determination of Critical Circumstances,https://www.federalregister.gov/documents/2025/12/31/2025-24031/overhead-door-counterbalance-torsion-springs-from-india-final-affirmative-determination-of-sales-at,2025-24031
2025-12-31,Homeland Security Department,Notice,Privacy Act of 1974; System of Records,https://www.federalregister.gov/documents/2025/12/31/2025-24030/privacy-act-of-1974-system-of-records,2025-24030
2025-12-31,"Commerce Department, National Oceanic and Atmospheric Administration",Notice,Fisheries of the Exclusive Economic Zone Off Alaska; North Pacific Halibut and Sablefish Individual Fishing Quota Cost Recovery Program,https://www.federalregister.gov/documents/2025/12/31/2025-24029/fisheries-of-the-exclusive-economic-zone-off-alaska-north-pacific-halibut-and-sablefish-individual,2025-24029
2025-12-31,"Energy Department, Federal Energy Regulatory Commission",Notice,"Igiugig Village Council; Notice Of Intent to File License Application, Filing of Pre-Application Document, And Approving Use of The Traditional Licensing Process",https://www.federalregister.gov/documents/2025/12/31/2025-24027/igiugig-village-council-notice-of-intent-to-file-license-application-filing-of-pre-application,2025-24027
