발행일,유형(Category),제목,원문링크
2025-12-18,기타 정책(General),INCREASING MEDICAL MARIJUANA AND CANNABIDIOL RESEARCH,https://www.whitehouse.gov/presidential-actions/2025/12/increasing-medical-marijuana-and-cannabidiol-research/
2025-12-16,기타 정책(General),Restricting and Limiting the Entry of Foreign Nationals to Protect the Security of the United States,https://www.whitehouse.gov/presidential-actions/2025/12/restricting-and-limiting-the-entry-of-foreign-nationals-to-protect-the-security-of-the-united-states/
2025-12-15,기타 정책(General),DESIGNATING FENTANYL AS A WEAPON OF MASS DESTRUCTION,https://www.whitehouse.gov/presidential-actions/2025/12/designating-fentanyl-as-a-weapon-of-mass-destruction/
2025-12-15,기타 정책(General),"Bill of Rights Day, 2025",https://www.whitehouse.gov/presidential-actions/2025/12/bill-of-rights-day-2025/
2025-11-13,기타 정책(General),Fostering the Future for American Children and Families,https://www.whitehouse.gov/presidential-actions/2025/11/fostering-the-future-for-american-children-and-families/
2025-11-06,기타 정책(General),Nomination Sent to the Senate,https://www.whitehouse.gov/presidential-actions/2025/11/nomination-sent-to-the-senate-7385/
2025-11-05,기타 정책(General),Nominations Sent to the Senate,https://www.whitehouse.gov/presidential-actions/2025/11/nominations-sent-to-the-senate-099e/
2025-11-04,기타 정책(General),Modifying Reciprocal Tariff Rates Consistent with the Economic and Trade Arrangement Between the United States and the People's Republic of China,https://www.whitehouse.gov/presidential-actions/2025/11/modifying-reciprocal-tariff-rates-consistent-with-the-economic-and-trade-arrangement-between-the-united-states-and-the-peoples-republic-of-china/
2025-11-04,기타 정책(General),Modifying Duties Addressing the Synthetic Opioid Supply Chain in the People's Republic of China,https://www.whitehouse.gov/presidential-actions/2025/11/modifying-duties-addressing-the-synthetic-opioid-supply-chain-in-the-peoples-republic-of-china/
2025-10-15,기타 정책(General),ENSURING CONTINUED ACCOUNTABILITY IN FEDERAL HIRING,https://www.whitehouse.gov/presidential-actions/2025/10/ensuring-continued-accountability-in-federal-hiring/
2025-10-09,기타 정책(General),"COLUMBUS DAY, 2025",https://www.whitehouse.gov/presidential-actions/2025/10/columbus-day-2025/
2025-10-09,기타 정책(General),"LEIF ERIKSON DAY, 2025",https://www.whitehouse.gov/presidential-actions/2025/10/leif-erikson-day-2025/
2025-10-08,기타 정책(General),CONSTRUCTION OF ARCTIC SECURITY CUTTERS,https://www.whitehouse.gov/presidential-actions/2025/10/construction-of-arctic-security-cutters/
2025-09-22,42. Manufacturing,DESIGNATING ANTIFA AS A DOMESTIC TERRORIST ORGANIZATION,https://www.whitehouse.gov/presidential-actions/2025/09/designating-antifa-as-a-domestic-terrorist-organization/
2025-09-22,기타 정책(General),"NATIONAL HISPANIC HERITAGE MONTH, 2025",https://www.whitehouse.gov/presidential-actions/2025/09/national-hispanic-heritage-month-2025/
2025-09-19,기타 정책(General),RESTRICTION ON ENTRY OF CERTAIN NONIMMIGRANT WORKERS,https://www.whitehouse.gov/presidential-actions/2025/09/restriction-on-entry-of-certain-nonimmigrant-workers/
2025-09-19,기타 정책(General),THE GOLD CARD,https://www.whitehouse.gov/presidential-actions/2025/09/the-gold-card/
2025-09-05,기타 정책(General),STRENGTHENING EFFORTS TO PROTECT U.S. NATIONALS FROM WRONGFUL DETENTION ABROAD,https://www.whitehouse.gov/presidential-actions/2025/09/strengthening-efforts-to-protect-u-s-nationals-from-wrongful-detention-abroad/
2025-08-21,기타 정책(General),IMPROVING OUR NATION THROUGH BETTER DESIGN,https://www.whitehouse.gov/presidential-actions/2025/08/improving-our-nation-through-better-design/
2025-08-07,기타 정책(General),GUARANTEEING FAIR BANKING FOR ALL AMERICANS,https://www.whitehouse.gov/presidential-actions/2025/08/guaranteeing-fair-banking-for-all-americans/
2025-07-31,기타 정책(General),FURTHER MODIFYING THE RECIPROCAL TARIFF RATES,https://www.whitehouse.gov/presidential-actions/2025/07/further-modifying-the-reciprocal-tariff-rates/
2025-07-31,기타 정책(General),"President's Council on Sports, Fitness, and Nutrition, and the Reesetablishment of the Presidential Fitness Test",https://www.whitehouse.gov/presidential-actions/2025/07/presidents-council-on-sports-fitness-and-nutrition-and-the-reesetablishment-of-the-presidential-fitness-test/
2025-07-24,기타 정책(General),ENDING CRIME AND DISORDER ON AMERICA’S STREETS,https://www.whitehouse.gov/presidential-actions/2025/07/ending-crime-and-disorder-on-americas-streets/
2025-07-23,기타 정책(General),PROMOTING THE EXPORT OF THE AMERICAN AI TECHNOLOGY STACK,https://www.whitehouse.gov/presidential-actions/2025/07/promoting-the-export-of-the-american-ai-technology-stack/
2025-06-30,기타 정책(General),NATIONAL SECURITY PRESIDENTIAL MEMORANDUM/NSPM-5,https://www.whitehouse.gov/presidential-actions/2025/06/national-security-presidential-memorandum-nspm-5/
2025-06-30,기타 정책(General),PROVIDING FOR THE REVOCATION OF SYRIA SANCTIONS,https://www.whitehouse.gov/presidential-actions/2025/06/providing-for-the-revocation-of-syria-sanctions/
2025-06-06,기타 정책(General),"Eliminating Waste, Fraud, and Abuse in Medicaid",https://www.whitehouse.gov/presidential-actions/2025/06/eliminating-waste-fraud-and-abuse-in-medicaid/
2025-06-06,기타 정책(General),RESTORING AMERICAN AIRSPACE SOVEREIGNTY,https://www.whitehouse.gov/presidential-actions/2025/06/restoring-american-airspace-sovereignty/
2025-06-06,기타 정책(General),LEADING THE WORLD IN SUPERSONIC FLIGHT,https://www.whitehouse.gov/presidential-actions/2025/06/leading-the-world-in-supersonic-flight/
2025-06-04,기타 정책(General),Restricting The Entry of Foreign Nationals to Protect the United States from Foreign Terrorists and Other National Security and Public Safety Threats,https://www.whitehouse.gov/presidential-actions/2025/06/restricting-the-entry-of-foreign-nationals-to-protect-the-united-states-from-foreign-terrorists-and-other-national-security-and-public-safety-threats/
2025-05-23,37. Energy/Utility,REINVIGORATING THE NUCLEAR INDUSTRIAL BASE,https://www.whitehouse.gov/presidential-actions/2025/05/reinvigorating-the-nuclear-industrial-base/
2025-05-12,기타 정책(General),MODIFYING RECIPROCAL TARIFF RATES TO REFLECT DISCUSSIONS WITH THE PEOPLE’S REPUBLIC OF CHINA,https://www.whitehouse.gov/presidential-actions/2025/05/modifying-reciprocal-tariff-rates-to-reflect-discussions-with-the-peoples-republic-of-china/
2025-05-09,기타 정책(General),"Mother’s Day, 2025",https://www.whitehouse.gov/presidential-actions/2025/05/mothers-day-2025/
2025-05-09,기타 정책(General),Keeping Promises to Veterans and Establishing a National Center for Warrior Independence,https://www.whitehouse.gov/presidential-actions/2025/05/keeping-promises-to-veterans-and-establishing-a-national-center-for-warrior-independence/
2025-05-05,42. Manufacturing,REGULATORY RELIEF TO PROMOTE DOMESTIC PRODUCTION OF CRITICAL MEDICINES,https://www.whitehouse.gov/presidential-actions/2025/05/regulatory-relief-to-promote-domestic-production-of-critical-medicines/
2025-04-28,기타 정책(General),Strengthening and Unleashing America's Law Enforcement to Pursue Criminals and Protect Innocent Citizens,https://www.whitehouse.gov/presidential-actions/2025/04/strengthening-and-unleashing-americas-law-enforcement-to-pursue-criminals-and-protect-innocent-citizens/
2025-04-23,기타 정책(General),RESTORING EQUALITY OF OPPORTUNITY AND MERITOCRACY,https://www.whitehouse.gov/presidential-actions/2025/04/restoring-equality-of-opportunity-and-meritocracy/
2025-04-23,기타 정책(General),Executive Orders – Page 5 of 15,https://www.whitehouse.gov/presidential-actions/executive-orders/page/5/
2025-04-23,기타 정책(General),"NATIONAL PARK WEEK, 2025",https://www.whitehouse.gov/presidential-actions/2025/04/national-park-week-2025/
2025-04-17,기타 정책(General),UNLEASHING AMERICAN COMMERCIAL FISHING IN THE PACIFIC,https://www.whitehouse.gov/fact-sheets/2025/04/unleashing-american-commercial-fishing-in-the-pacific/
2025-04-09,기타 정책(General),MAINTAINING ACCEPTABLE WATER PRESSURE IN SHOWERHEADS,https://www.whitehouse.gov/presidential-actions/2025/04/maintaining-acceptable-water-pressure-in-showerheads/
2025-04-09,기타 정책(General),ADDRESSING RISKS FROM SUSMAN GODFREY,https://www.whitehouse.gov/presidential-actions/2025/04/addressing-risks-from-susman-godfrey/
2025-04-03,기타 정책(General),"CANCER CONTROL MONTH, 2025",https://www.whitehouse.gov/presidential-actions/2025/04/cancer-control-month-2025/
2025-03-25,기타 정책(General),Modernizing Payments To and From America’s Bank Account,https://www.whitehouse.gov/presidential-actions/2025/03/modernizing-payments-to-and-from-americas-bank-account/
2025-03-25,기타 정책(General),"Protecting America’s Bank Account Against Fraud, Waste, and Abuse",https://www.whitehouse.gov/presidential-actions/2025/03/protecting-americas-bank-account-against-fraud-waste-and-abuse/
2025-03-06,기타 정책(General),AMENDMENT TO DUTIES TO ADDRESS THE FLOW OF ILLICIT DRUGS ACROSS OUR NORTHERN BORDER,https://www.whitehouse.gov/presidential-actions/2025/03/amendment-to-duties-to-address-the-flow-of-illicit-drugs-across-our-northern-border-0c3c/
2025-03-01,기타 정책(General),Designating English as the Official Language of The United States,https://www.whitehouse.gov/presidential-actions/2025/03/designating-english-as-the-official-language-of-the-united-states/
2025-03-01,기타 정책(General),Immediate Expansion of American Timber Production,https://www.whitehouse.gov/presidential-actions/2025/03/immediate-expansion-of-american-timber-production/
2025-02-18,기타 정책(General),Ensuring Accountability for All Agencies,https://www.whitehouse.gov/presidential-actions/2025/02/ensuring-accountability-for-all-agencies/
2025-02-16,기타 정책(General),President Donald J. Trump Approves Kentucky Emergency Declaration,https://www.whitehouse.gov/presidential-actions/2025/02/president-donald-j-trump-approves-kentucky-emergency-declaration/
2025-02-15,기타 정책(General),Keeping Education Accessible and Ending Covid-19 Vaccine Mandates in Schools,https://www.whitehouse.gov/presidential-actions/2025/02/keeping-education-accessible-and-ending-covid-19-vaccine-mandates-in-schools/
2025-02-13,기타 정책(General),ESTABLISHING THE PRESIDENT’S MAKE AMERICA HEALTHY AGAIN COMMISSION,https://www.whitehouse.gov/presidential-actions/2025/02/establishing-the-presidents-make-america-healthy-again-commission/
2025-02-11,기타 정책(General),Adjusting Imports of Aluminum into The United States,https://www.whitehouse.gov/presidential-actions/2025/02/adjusting-imports-of-aluminum-into-the-united-states/
2025-02-10,기타 정책(General),Pausing Foreign Corrupt Practices Act Enforcement to Further American Economic and National Security,https://www.whitehouse.gov/presidential-actions/2025/02/pausing-foreign-corrupt-practices-act-enforcement-to-further-american-economic-and-national-security/
2025-02-10,기타 정책(General),ELIMINATING THE FEDERAL EXECUTIVE INSTITUTE,https://www.whitehouse.gov/presidential-actions/2025/02/eliminating-the-federal-executive-institute/
2025-02-09,기타 정책(General),"Gulf of America Day, 2025",https://www.whitehouse.gov/presidential-actions/2025/02/gulf-of-america-day-2025/
2025-02-07,기타 정책(General),Establishment of The White House Faith Office,https://www.whitehouse.gov/presidential-actions/2025/02/establishment-of-the-white-house-faith-office/
2025-02-07,기타 정책(General),Protecting Second Amendment Rights,https://www.whitehouse.gov/presidential-actions/2025/02/protecting-second-amendment-rights/
2025-02-07,기타 정책(General),President Trump Announces Appointments to the White House Faith Office,https://www.whitehouse.gov/presidential-actions/2025/02/president-trump-announces-appointments-to-the-white-house-faith-office/
2025-02-06,기타 정책(General),IMPOSING SANCTIONS ON THE INTERNATIONAL CRIMINAL COURT,https://www.whitehouse.gov/presidential-actions/2025/02/imposing-sanctions-on-the-international-criminal-court/
2025-02-06,기타 정책(General),Eradicating Anti-Christian Bias,https://www.whitehouse.gov/presidential-actions/2025/02/eradicating-anti-christian-bias/
2025-02-03,기타 정책(General),Progress on the Situation At Our Southern Border,https://www.whitehouse.gov/presidential-actions/2025/02/progress-on-the-situation-at-our-southern-border/
2025-01-27,기타 정책(General),The Iron Dome for America,https://www.whitehouse.gov/presidential-actions/2025/01/the-iron-dome-for-america/
2025-01-24,기타 정책(General),Emergency Measures to Provide Water Resources in California and Improve Disaster Response in Certain Areas,https://www.whitehouse.gov/presidential-actions/2025/01/emergency-measures-to-provide-water-resources-in-california-and-improve-disaster-response-in-certain-areas/
2025-01-23,기타 정책(General),"Declassification of Records Concerning the Assassinations of President John F. Kennedy, Senator Robert F. Kennedy, and the Reverend Dr. Martin Luther King, Jr.",https://www.whitehouse.gov/presidential-actions/2025/01/declassification-of-records-concerning-the-assassinations-of-president-john-f-kennedy/
2025-01-22,기타 정책(General),Executive Grant of Clemency for Andrew Zabavsky,https://www.whitehouse.gov/presidential-actions/2025/01/executive-grant-of-clemency-for-andrew-zabavsky/
2025-01-21,기타 정책(General),ENDING ILLEGAL DISCRIMINATION AND RESTORING MERIT-BASED OPPORTUNITY,https://www.whitehouse.gov/presidential-actions/2025/01/ending-illegal-discrimination-and-restoring-merit-based-opportunity/
2025-01-20,기타 정책(General),WITHDRAWING THE UNITED STATES FROM THE WORLD HEALTH ORGANIZATION,https://www.whitehouse.gov/presidential-actions/2025/01/withdrawing-the-united-states-from-the-worldhealth-organization/
2025-01-20,기타 정책(General),Protecting The United States From Foreign Terrorists And Other National Security And Public Safety Threats,https://www.whitehouse.gov/presidential-actions/2025/01/protecting-the-united-states-from-foreign-terrorists-and-othernational-security-and-public-safety-threats/
2025-01-20,기타 정책(General),Unleashing American Energy,https://www.whitehouse.gov/presidential-actions/2025/01/unleashing-american-energy/
2025-01-20,기타 정책(General),PROTECTING THE AMERICAN PEOPLE AGAINST INVASION,https://www.whitehouse.gov/presidential-actions/2025/01/protecting-the-american-people-against-invasion/
2025-01-20,기타 정책(General),Application Of Protecting Americans From Foreign Adversary Controlled Applications Act To TikTok,https://www.whitehouse.gov/presidential-actions/2025/01/application-of-protecting-americans-from-foreign-adversary-controlled-applications-act-to-tiktok/
2025-01-20,기타 정책(General),Ending Radical And Wasteful Government DEI Programs And Preferencing,https://www.whitehouse.gov/presidential-actions/2025/01/ending-radical-and-wasteful-government-dei-programs-and-preferencing/
2025-01-20,기타 정책(General),CLARIFYING THE MILITARY’S ROLE IN PROTECTING THE TERRITORIAL INTEGRITY OF THE UNITED STATES,https://www.whitehouse.gov/presidential-actions/2025/01/clarifying-the-militarys-role-in-protecting-the-territorial-integrity-of-the-united-states/
2025-01-20,기타 정책(General),RESTORING ACCOUNTABILITY FOR CAREER SENIOR EXECUTIVES,https://www.whitehouse.gov/presidential-actions/2025/01/restoring-accountability-for-career-senior-executives/
2025-01-20,기타 정책(General),PUTTING AMERICA FIRST IN INTERNATIONAL ENVIRONMENTAL AGREEMENTS,https://www.whitehouse.gov/presidential-actions/2025/01/putting-america-first-in-international-environmental-agreements/
2025-01-20,기타 정책(General),Return to In-Person Work,https://www.whitehouse.gov/presidential-actions/2025/01/return-to-in-person-work/
2025-01-20,기타 정책(General),REFORMING THE FEDERAL HIRING PROCESS AND RESTORING MERIT TO GOVERNMENT SERVICE,https://www.whitehouse.gov/presidential-actions/2025/01/reforming-the-federal-hiring-process-and-restoring-merit-to-government-service/
2025-01-20,기타 정책(General),REALIGNING THE United States REFUGEE ADMISSIONS PROGRAM,https://www.whitehouse.gov/presidential-actions/2025/01/realigning-the-united-states-refugee-admissions-program/
2025-01-20,기타 정책(General),AMERICA FIRST POLICY DIRECTIVE TO THE SECRETARY OF STATE,https://www.whitehouse.gov/presidential-actions/2025/01/america-first-policy-directive-to-the-secretary-of-state/
2025-01-20,기타 정책(General),Hiring Freeze,https://www.whitehouse.gov/presidential-actions/2025/01/hiring-freeze/
