국가,기관,발행일,제목,원문,링크,수집일
스위스,OFCOM,2024-03-11,스위스의 디지털 거버넌스 및 인공 지능을 위한 Plateforme Tripartite,The Plateforme Tripartite for digital governance and artificial intelligence in Switzerland,https://www.bakom.admin.ch/en/the-plateforme-tripartite-for-digital-governance-and-artificial-intelligence-in-switzerland,2026-02-04
영국,DSIT,2024-02-10,eVisas: 온라인 이민 신분에 접근하고 사용하세요,eVisas: access and use your online immigration status,https://www.gov.uk/evisa,2026-02-04
미국,NTIA,2023-06-15,AI 책임 정책 접수된 의견,AI Accountability Policy Received Comments,https://www.ntia.gov/issues/artificial-intelligence/stakeholder-engagement/request-for-comments/received-comments,2026-02-04
대만,moda,2022-08-05,moda — 디지털부,moda — 數位發展部 Ministry of Digital Affairs,https://moda.gov.tw/,2026-02-04
UAE,TDRA,2022-01-24,로그인 |TDRA,تسجيل الدخول | TDRA,https://digital.tdra.gov.ae/ar/Auth/Login,2026-02-04
독일,BMWK,2022-01-18,연방경제기후보호부(BMWK),Bundesministerium für Wirtschaft und Klimaschutz (BMWK),https://www.bmwk.de/,2026-02-04
스웨덴,Finance,2021-11-30,"정부 변경, 2021년 11월 30일","Change of government, 30 November 2021",https://www.government.se/contentassets/21b65680561140aa8447fc90d995feaa/minister-for-schools-lina-axelsson-kihlblom-all-content-2021-2022.pdf,2026-02-04
일본,METI,2021-07-16,2020년도 전략근본기술 고도화 및 협업지원사업(중소기업 AI 활용촉진 연구사업),令和2年度戦略的基盤技術 高度化・連携支援事業 (中小企業のＡＩ活用促進に 関する調査事業),https://www.meti.go.jp/meti_lib/report/2020FY/000245.pdf,2026-02-04
중국,MIIT,2020-10-30,산업정보기술부,工信部,https://www.miit.gov.cn/,2026-02-04
사우디,MCIT,2020-09-09,홈 |미래 기술 포털,الرئيسية | بوابة مهارات المستقبل,https://futureskills.mcit.gov.sa/,2026-02-04
중국,MIIT,2019-04-15,ICP/IP 주소/도메인명 정보 등록 관리 시스템,ICP/IP地址/域名信息备案管理系统,https://beian.miit.gov.cn/,2026-02-04
대한민국,과학기술정보통신부,2017-09-12,과학기술정보통신부,과학기술정보통신부,https://www.msit.go.kr/,2026-02-04
핀란드,MEE,2016-11-07,핀란드 Kitkattomaa로 가는 21가지 경로,21 polkua Kitkattomaan Suomeen,https://tem.fi/documents/1410877/2864661/21+polkua+kitkattomaan+Suomeen+04032013.pdf,2026-02-04
네덜란드,EZK,2016-06-17,네덜란드 국외로 여행하는 미성년자를 위한 동의서 |형태,Consent letter for minors travelling outside the Netherlands | Form,https://www.government.nl/documents/forms/2016/06/17/consent-letter-for-minors-travelling-abroad,2026-02-04
미국,NTIA,2015-11-09,디지털경제 자문위원회 회의,Digital Economy Board of Advisors Meeting,https://www.ntia.gov/files/ntia/publications/niskanen_center_comments.pdf,2026-02-04
미국,DOC,2015-08-19,소식,News,https://www.commerce.gov/news,2026-02-04
미국,DOC,2006-10-20,미국 상무부,U.S. Department of Commerce,https://www.commerce.gov/,2026-02-04
