국가,기관,ICT 분류,발행일,제목,원문,링크,수집일
네덜란드,Digitalisation,기타 ICT 일반,2024-04-26,네덜란드의 디지털 기술 향상,Improving Digital Skills in the Netherlands,https://www.nldigitalgovernment.nl/news/improving-digital-skills-in-the-netherlands/,2026-02-04
네덜란드,Digitalisation,기타 ICT 일반,2025-01-09,가치 중심의 디지털화 작업 의제,Values-Driven Digitalisation Work Agenda,https://www.nldigitalgovernment.nl/wp-content/uploads/sites/11/2024/12/26234_77889_az_waardengedreven_digitaliseren_uk_v6.pdf,2026-02-04
네덜란드,Digitalisation,3-3. 플랫폼 및 권리,2025-02-27,누구나 디지털 시대 아카이브에 참여할 수 있어야 한다,Everyone Must Be Able to Participate in the Digital Age Archives,https://www.nldigitalgovernment.nl/dossiers/everyone-can-participate/,2026-02-04
네덜란드,Digitalisation,1-1. 인프라 및 네트워크,2026-01-26,EU는 디지털 네트워크에 대한 규칙을 단순화하기 위해 움직입니다.,EU moves to simplify rules for digital networks,https://www.nldigitalgovernment.nl/news/eu-moves-to-simplify-rules-for-digital-networks/,2026-02-04
네덜란드,Digitalisation,2-3. 정책 및 거버넌스,2026-01-27,은둔,Privacy,https://www.nldigitalgovernment.nl/privacy-3/,2026-02-04
네덜란드,EZK,2-3. 정책 및 거버넌스,2024-07-02,기후정책녹색성장부의 개인정보 보호정책,Privacy statement by the Ministry of Climate Policy and Green Growth,https://www.government.nl/ministries/ministry-of-climate-policy-and-green-growth/privacy,2026-02-04
네덜란드,EZK,2-3. 정책 및 거버넌스,2024-11-03,중앙정부 인사정책,Central government human resources policy,https://www.government.nl/topics/public-administration/central-government-human-resources-policy,2026-02-04
네덜란드,EZK,2-3. 정책 및 거버넌스,2025-05-16,기후정책녹색성장부,Ministry of Climate Policy and Green Growth,https://www.government.nl/ministries/ministry-of-climate-policy-and-green-growth,2026-02-04
네덜란드,EZK,2-3. 정책 및 거버넌스,2025-12-31,영향 보고서 2025 정책 개요,Impact Report 2025 Policy Brief,https://www.government.nl/documents/reports/2025/12/31/impact-report-2025-policy-brief,2026-02-04
네덜란드,EZK,2-3. 정책 및 거버넌스,2026-01-06,인간이 아닌 영장류와 관련된 연구: 네덜란드의 4가지 정책 시나리오,Research Involving Non-Human Primates: Four Policy Scenarios for the Netherlands,https://www.government.nl/documents/reports/2026/01/06/research-involving-non-human-primates-four-policy-scenarios-for-the-netherlands,2026-02-04
노르웨이,KDD,1-3. 산업 융합 및 미래 기술,2024-11-04,미래의 디지털 노르웨이,The Digital Norway of the Future,https://www.regjeringen.no/en/dokumenter/the-digital-norway-of-the-future/id3054645/?ch=3,2026-02-04
노르웨이,KDD,기타 ICT 일반,2025-02-11,"노르웨이, 지속 가능한 AI를 위한 국제 연합에 합류",Norway joins international coalition for sustainable AI,https://www.regjeringen.no/en/whats-new/norway-joins-international-coalition-for-sustainable-ai/id3087149/,2026-02-04
노르웨이,KDD,2-1. IT 솔루션 및 서비스,2025-03-13,"노르웨이, 신기술 및 인권 옹호자에 대한 결의안 제시",Norway presents resolution on new technology and human rights defenders,https://www.regjeringen.no/en/whats-new/norway-presents-resolution-on-new-technology-and-human-rights-defenders/id3091490/,2026-02-04
노르웨이,KDD,기타 ICT 일반,2025-10-21,정부의 외교부 기후 전략 2025~2030,The Government’s Climate Strategy for the Foreign Service 2025–2030,https://www.regjeringen.no/en/documents/regjeringens-klimastrategi-for-utenrikstjenesten-2025-2030/id3107757/?ch=4,2026-02-04
노르웨이,KDD,2-3. 정책 및 거버넌스,2025-11-03,문화정책,Cultural policy,https://www.regjeringen.no/en/topics/culture-sports-and-non-profit-work/innsiktsartikler/kulturpolitikken/id2001223/,2026-02-04
노르웨이,NFD,기타 ICT 일반,2024-06-11,전문가 그룹 – AI와 선거,Expert group – AI and elections,https://www.regjeringen.no/en/dep/kdd/organisation/styrer-rad-og-utvalg/expert-group-ai-and-elections/id3044410/,2026-02-04
노르웨이,NFD,기타 ICT 일반,2024-09-04,오슬로 최첨단 AI 세미나에서 국무총리 개회사,Opening address by the Prime Minister at the Cutting Edge AI seminar in Oslo,https://www.regjeringen.no/no/aktuelt/opening-address-bye-the-prime-minister-at-the-cutting-edge-ai-seminar-at-the-university-of-oslo/id3052991/,2026-02-04
노르웨이,NFD,기타 ICT 일반,2025-03-20,사회 디지털 취약성위원회,Committee of Digital Vulnerabilities in Society,https://www.regjeringen.no/en/dep/jd/organisation/councils-and-committees/tidligere-styrer-rad-og-utvalg/innstillinger-fra-utvalg/innstillinger-levert-i-2015/Committee-of-Digital-Vulnerabilities-in-Society/id764196/,2026-02-04
노르웨이,NFD,기타 ICT 일반,2025-10-21,우리의 새로운 디지털 세계,Our new digital world,https://www.regjeringen.no/en/documents/var-nye-digitale-kvardag/id2828388/?ch=2,2026-02-04
노르웨이,NFD,기타 ICT 일반,2025-10-21,하나의 디지털 공공 부문,One digital public sector,https://www.regjeringen.no/en/documents/one-digital-public-sector/id2653874/?ch=1,2026-02-04
대만,MOEA,1-2. 지능형 플랫폼 및 데이터,2024-10-07,"TTRI의 AI 자가학습 원단 검사 시스템, 2024 R&D 100 어워드 수상",TTRI's AI Self-Learning Fabric Inspecting System won 2024 R&D 100 Awards,https://www.moea.gov.tw/mns/english/videos/VideoRss.aspx?kind=P&menu_id=33228&video_id=20938,2026-02-04
대만,MOEA,기타 ICT 일반,2025-06-05,"MOEA, 5개의 금상, 6개의 은상, 3개의 동메달 Edison 상을 수상했습니다.산업 변혁을 촉진하기 위해 50개 AI 파일럿 라인 출시","MOEA Wins 5 Gold, 6 Silver, and 3 Bronze Edison Awards; 50 AI Pilot Lines Launched to Power Industrial Transformation",https://www.moea.gov.tw/MNS/english/news/News.aspx?kind=6&menu_id=176&news_id=119552,2026-02-04
대만,MOEA,기타 ICT 일반,2026-01-16,"MOEA, 대만-유럽 R&D 협력의 중요한 이정표를 세워 산업 가치 NT$420억 창출","MOEA Marks Major Milestone in Taiwan-Europe R&D Collaboration, Driving NT$42 Billion in Industrial Value",https://www.moea.gov.tw/MNS/English/videos/VideoRss.aspx?kind=P&menu_id=33228&video_id=21412,2026-02-04
대만,MOEA,기타 ICT 일반,2026-01-23,"MOEA, 2026년 최고의 AI 어워드 출시, 모든 산업 전반에 걸쳐 채택 가속화할 차세대 에이전트 AI 도입","MOEA Launches 2026 Best AI Awards, ushering in a New Generation of Agentic AI to Accelerate Adoption Across All Industries",https://www.moea.gov.tw/Mns/english/videos/VideoRss.aspx?kind=P&menu_id=33228&video_id=21414,2026-02-04
대만,MOEA,기타 ICT 일반,2026-01-30,BSMI는 정밀 측정 기술로 산업을 지원하고 공공 생계를 보호합니다.,BSMI Supports Industry and Safeguards Public Livelihoods with Precision Measurement Technology,https://www.moea.gov.tw/MNS/english/news/News.aspx?kind=6&menu_id=176&news_id=121761,2026-02-04
대만,moda,기타 ICT 일반,2025-12-08,"MODA, 정부의 디지털 복원력 강화를 위해 정부 기관의 AI 적용에 초점을 맞춘 2025년 국가 정보 관리자 공동 컨퍼런스 개최|보도 자료","MODA Hosts the 2025 National Information Manager Joint Conference, Focusing on the Application of AI in Government Agencies to Enhance the Government’s Digital Resilience｜Press Releases",https://moda.gov.tw/en/press/press-releases/18002,2026-02-04
대만,moda,2-1. IT 솔루션 및 서비스,2026-01-09,원격지 디지털 서비스 강화│주요시책│디지털부,Enhance Digital Services in Remote Areas｜Major Policies｜Ministry of Digital Affairs,https://moda.gov.tw/en/major-policies/reinforce-rural-services/1307.html,2026-02-04
대만,moda,기타 ICT 일반,2026-01-19,"MODA, 2025년 디지털 액세스 조사 보고서 발표, 가구 및 개인 인터넷 액세스에서 사상 최고치를 기록 | 보도 자료","MODA Releases 2025 Digital Access Survey Report, Showing Record Highs in Household and Individual Internet Access｜Press Releases",https://moda.gov.tw/en/press/press-releases/18674.html,2026-02-04
대만,moda,3-3. 플랫폼 및 권리,2026-01-21,"디지털 역량으로 세계와 연결하다: 통합외교 선진화를 위해 디지털부-외교부, 첫 합동장관회담 개최",Connecting with the World Through Digital Capabilities: Ministry of Digital Affairs and Ministry of Foreign Affairs Hold First Joint Ministerial Meeting to Advance Integrated Diplomacy,https://moda.gov.tw/en/press/press-releases/18726.html,2026-02-04
대만,moda,기타 ICT 일반,2026-01-29,"ADI, 스타트업 협업 및 애플리케이션 구현을 촉진하기 위해 대만 최초의 상업용 위성 애플리케이션 연구소 공개|보도 자료",ADI Unveils Taiwan’s First Commercial Satellite Application Laboratory to Drive Startup Collaboration and Application Implementation｜Press Releases,https://moda.gov.tw/en/ADI/news/latest-news/18798.html,2026-02-04
대한민국,과학기술정보통신부,기타 ICT 일반,2024-12-09,"Science, Technology and ICT [Newsletter] March 2024","Science, Technology and ICT [Newsletter] March 2024",https://www.msit.go.kr/engNewsletter/20240626/newsletter.html,2026-02-04
대한민국,과학기술정보통신부,기타 ICT 일반,2025-03-12,"Science, Technology and ICT [Newsletter] January 2025","Science, Technology and ICT [Newsletter] January 2025",https://www.msit.go.kr/engNewsletter/20250131/newsletter.html,2026-02-04
대한민국,과학기술정보통신부,2-2. 통신 인프라 및 단말기,2025-12-01,- 과학기술정보통신부 >,- 과학기술정보통신부 >,https://www.msit.go.kr/eng/bbs/view.do?bbsSeqNo=42&nttSeqNo=1139,2026-02-04
대한민국,과학기술정보통신부,기타 ICT 일반,2025-12-16,"Science, Technology and ICT [Newsletter] September 2025","Science, Technology and ICT [Newsletter] September 2025",https://www.msit.go.kr/engNewsletter/20251209/newsletter.html,2026-02-04
덴마크,Digitaliseringsstyrelsen,기타 ICT 일반,2024-12-25,디지털 경영을 향하여,På vej mod digital forvaltning,https://digst.dk/media/cdmk5aid/digitaliseringsstrategi-2001-2004.pdf,2026-02-04
덴마크,Digitaliseringsstyrelsen,1-1. 인프라 및 네트워크,2025-01-24,덴마크의 5G,5G in Denmark,https://en.digst.dk/telecom/telecom/5g-in-denmark/,2026-02-04
덴마크,Digitaliseringsstyrelsen,2-1. IT 솔루션 및 서비스,2025-07-07,EU/EEA에서 디지털 셀프 서비스 및 eID 사용,Using digital self-services and eID across the EU/EEA,https://en.digst.dk/systems/eid-and-single-digital-gateway/using-digital-self-services-and-eid-across-the-eueea/,2026-02-04
덴마크,Digitaliseringsstyrelsen,기타 ICT 일반,2025-10-31,Gaia-X Hub 덴마크에 오신 것을 환영합니다.,Welcome to Gaia-X Hub Denmark,https://en.digst.dk/policy/international-cooperation/gaia-x/,2026-02-04
덴마크,Digitaliseringsstyrelsen,1-1. 인프라 및 네트워크,2025-11-11,건축기술부,Division for Architecture and Technology,https://en.digst.dk/about-us/organisation/division-for-architecture-and-technology/,2026-02-04
덴마크,Erhvervsministeriet,기타 ICT 일반,2024-04-22,2018 산업통상자원부,"2018 Ministry of Industry, Business and Financial Affairs",https://www.eng.em.dk/media/15630/digital-growth-strategy-report_uk_web-2.pdf,2026-02-04
덴마크,Erhvervsministeriet,기타 ICT 일반,2024-04-24,인공지능을 위한 덴마크 국가 전략,Danish National Strategy for Artificial Intelligence,https://www.eng.em.dk/media/15561/18-04369-59-fakta-ark-kunstig-intelligens_uk-3065090_1_1.pdf,2026-02-04
덴마크,Erhvervsministeriet,기타 ICT 일반,2024-05-02,덴마크의 디지털 성장을 위한 전략,Strategy for Denmark’s digital growth,https://www.eng.em.dk/media/15536/digital-strategy-fact-sheet.pdf,2026-02-04
덴마크,Erhvervsministeriet,기타 ICT 일반,2024-05-09,Margrethe Vestager 디지털 시대에 적합한 유럽 담당 수석 부사장,Margrethe Vestager Executive Vice-President for a Europe fit for the Digital Age,https://www.em.dk/Media/638255233474773882/vestager-med-bilag.pdf,2026-02-04
덴마크,Erhvervsministeriet,기타 ICT 일반,2024-05-18,혁신적이고 신뢰할 수 있는 AI: 동전의 양면,Innivative and trustworthy AI: Two side of the same coin,https://www.em.dk/media/15214/non-paper-innovative-and-trustworthy-ai-two-side-of-the-same-coin.pdf,2026-02-04
미국,DOC,3-3. 플랫폼 및 권리,2024-04-25,"Biden-Harris 행정부, 수십 년 만에 처음으로 미국 내 최첨단 메모리 칩 생산을 위한 Micron과의 예비 계약 발표",Biden-Harris Administration Announces Preliminary Terms with Micron to Onshore Leading-Edge Memory Chip Production in U.S. for First Time in Decades,https://www.commerce.gov/news/press-releases/2024/04/biden-harris-administration-announces-preliminary-terms-micron-onshore,2026-02-04
미국,DOC,2-3. 정책 및 거버넌스,2025-05-21,"대통령, 우주 교통 관리 정책에 서명",President Signs Space Traffic Management Policy,https://space.commerce.gov/president-signs-space-traffic-management-policy/,2026-02-04
미국,DOC,3-3. 플랫폼 및 권리,2026-01-15,팩트시트: 대만과의 무역 및 투자 협정을 통해 미국 반도체 제조 리더십 회복,Fact Sheet: Restoring American Semiconductor Manufacturing Leadership Through an Agreement on Trade & Investment with Taiwan,https://www.commerce.gov/news/fact-sheets/2026/01/fact-sheet-restoring-american-semiconductor-manufacturing-leadership,2026-02-04
미국,DOC,기타 ICT 일반,2026-01-15,역사적인 미국-대만 무역 거래,Historic U.S.-Taiwan Trade Deal,https://www.commerce.gov/news/blog/tweets/historic-us-taiwan-trade-deal,2026-02-04
미국,DOC,1-1. 인프라 및 네트워크,2026-01-25,미국 상무부 국립표준기술연구소(NIST),U.S. Department of Commerce National Institute of Standards and Technology (NIST),https://www.commerce.gov/sites/default/files/2023-12/NIST%20162-01%20PTA%2005-24-2022.pdf,2026-02-04
미국,NTIA,2-3. 정책 및 거버넌스,2024-03-27,AI 책임 정책 보고서,AI Accountability Policy Report,https://www.ntia.gov/issues/artificial-intelligence/ai-accountability-policy-report,2026-02-04
미국,NTIA,기타 ICT 일반,2024-06-26,디지털 자산 개요,Digital Equity at a Glance,https://broadbandusa.ntia.gov/sites/default/files/2024-06/DE_Act_at_a_Glance_One_Pager.pdf,2026-02-04
미국,NTIA,기타 ICT 일반,2024-07-24,자금 조달 기회 공지 디지털 자산 경쟁 보조금 프로그램,Notice of Funding Opportunity Digital Equity Competitive Grant Program,https://www.ntia.gov/sites/default/files/2024-07/de-competitive-nofo-fy24.pdf,2026-02-04
미국,NTIA,기타 ICT 일반,2024-08-23,5장: 디지털 세대: 젊은이들이 컴퓨터와 인터넷을 어떻게 받아들였는가,Chapter 5: The Digital Generation: How Young People Have Embraced Computers And The Internet,https://www.ntia.gov/sites/default/files/data/dn/html/Chapter5.htm,2026-02-04
미국,NTIA,기타 ICT 일반,2024-09-05,디지털 자산 경쟁 보조금 프로그램 FAQ 버전 2.0,Digital Equity Competitive Grant Program FAQs Version 2.0,https://broadbandusa.ntia.gov/sites/default/files/2024-08/DE_Competitive_FAQs_v2.0.pdf,2026-02-04
미국,백악관,2-3. 정책 및 거버넌스,2025-07-10,미국의 AI 행동 계획,America’s AI Action Plan,https://www.whitehouse.gov/wp-content/uploads/2025/07/Americas-AI-Action-Plan.pdf,2026-02-04
미국,백악관,기타 ICT 일반,2026-01-29,"팩트 시트: 도널드 J. 트럼프 대통령, 중독 위기를 해결하기 위해 미국 대 회복 계획(Great American Recovery Initiative) 개시",Fact Sheet: President Donald J. Trump Launches the Great American Recovery Initiative to Address the Addiction Crisis,https://www.whitehouse.gov/fact-sheets/2026/01/fact-sheet-president-donald-j-trump-launches-the-great-american-recovery-initiative-to-address-the-addiction-crisis/,2026-02-04
미국,백악관,기타 ICT 일반,2026-01-29,미국의 위대한 회복 계획(Great American Recovery Initiative)을 통한 중독 해결,ADDRESSING ADDICTION THROUGH THE GREAT AMERICAN RECOVERY INITIATIVE,https://www.whitehouse.gov/presidential-actions/2026/01/addressing-addiction-through-the-great-american-recovery-initiative/,2026-02-04
미국,백악관,4-1. 이동수단 및 항공,2026-01-30,트럼프 대통령의 케빈 워시 연준의장 지명에 대한 큰 호평,Wide Acclaim for President Trump’s Nomination of Kevin Warsh as Fed Chair,https://www.whitehouse.gov/articles/2026/01/wide-acclaim-for-president-trumps-nomination-of-kevin-warsh-as-fed-chair/,2026-02-04
미국,백악관,기타 ICT 일반,2026-02-02,America 250: 멕시코-미국 전쟁 승리 기념일에 대한 대통령 메시지,America 250: Presidential Message on the Anniversary of Our Victory in the Mexican-American War,https://www.whitehouse.gov/briefings-statements/2026/02/america-250-presidential-message-on-the-anniversary-of-our-victory-in-the-mexican-american-war/,2026-02-04
벨기에,BIPT,2-2. 통신 인프라 및 단말기,2024-03-07,"가족 구성원 중 한 명이 소셜 인터넷 혜택을 받을 자격이 있고 이를 이용하고 싶어하는데, 나는 이미 통신 요금에 소셜 할인(""기존"" 소셜 요금제)을 적용하고 있습니다.지금은 무엇입니까?","A family member is eligible for the social Internet offer and wants to make use of it, but I already have a social discount on my telecom bill (“old” social tariff). What now?",https://www.bipt.be/consumers/faq/a-family-member-is-eligible-for-the-social-internet-offer-and-wants-to-make-use-of-it-but-i-already-have-a-social-discount-on-my-telecom-bill-old-social-tariff.-what-now,2026-02-04
벨기에,BIPT,2-1. IT 솔루션 및 서비스,2024-05-24,디지털 서비스법: 벨기에는 유럽 규정 브뤼셀의 조항을 시행하기 위해 4개의 관할 당국을 지정했습니다.,Digital Services Act: Belgium has designated its four competent authorities to enforce the provisions of the European regulation Brussels,https://www.bipt.be/consumers/publication/digital-services-act-belgium-has-designated-its-four-competent-authorities-to-enforce-the-provisions-of-the-european-regulation-brussels,2026-02-04
벨기에,BIPT,2-1. IT 솔루션 및 서비스,2025-10-19,온라인 중개 서비스 제공업체,Providers of online intermediary services,https://www.bipt.be/consumers/digital/the-digital-services-act-dsa/providers-of-online-intermediary-services,2026-02-04
벨기에,BIPT,2-2. 통신 인프라 및 단말기,2025-10-20,이사한 후에도 통신 요금(“기존” 사회 요금)에 대한 소셜 할인을 유지할 수 있나요?,Can I keep the social discount on my telecom bill (“old” social tariff) after I have moved?,https://www.bipt.be/consumers/faq/can-i-keep-the-social-discount-on-my-telecom-bill-old-social-tariff-after-i-have-moved,2026-02-04
벨기에,BIPT,3-3. 플랫폼 및 권리,2025-10-20,BIPT,BIPT,https://www.bipt.be/consumers/bipt/the-regulator/bipt,2026-02-04
벨기에,FPS Economy,3-3. 플랫폼 및 권리,2024-04-09,AI 및 저작권 사용 사례,The AI and Copyright Use Case,https://economie.fgov.be/sites/default/files/Files/About-SPF/events/ue2024/Copyright/The-AI-and-Copyright-Use-Case-Philippe-RIXHON.pdf,2026-02-04
벨기에,FPS Economy,기타 ICT 일반,2024-10-07,디지털 시장법(DMA),Digital Markets Act (DMA),https://economie.fgov.be/nl/themas/online/tussenhandeldiensten-en/digital-markets-act-dma-voor,2026-02-04
벨기에,FPS Economy,기타 ICT 일반,2025-05-08,프로젝트를 위한 CEF 디지털 통화,CEF Digital Calls for Projects,https://economie.fgov.be/en/themes/online/strategy-european-digital/connecting-europe-facility-cef/cef-digital-calls-projects,2026-02-04
벨기에,FPS Economy,3-1. 엔터테인먼트 및 플랫폼,2025-07-25,계약 체결 후 즉시 취소할 권리,Right to cancel immediately after taking out the contract,https://economie.fgov.be/en/themes/financial-services/insurance/insurance-contract/right-cancel-immediately-after,2026-02-04
벨기에,FPS Economy,2-3. 정책 및 거버넌스,2025-08-01,입원보험 해약,Cancellation of the hospitalisation insurance policy,https://economie.fgov.be/en/themes/financial-services/insurance/health-and-hospitalisation/cancellation-hospitalisation,2026-02-04
벨기에,연방혁신기술부,2-3. 정책 및 거버넌스,2024-04-25,"EU PolarNet 2, 극지 관측 분야의 국제 협력 강화를 위한 80가지 정책 권고 사항이 포함된 백서 출시",EU PolarNet 2 Releases White Paper with 80 Policy Recommendations to Strengthen International Collaboration in Polar Observation,https://www.belspo.be/belspo/organisation/actua/202404_White_Paper_with_80_Policy_Recommendations.pdf,2026-02-04
벨기에,연방혁신기술부,2-3. 정책 및 거버넌스,2024-08-23,OCMW/CPAS 및 신규 이민자/난민: 실제 정책의 블랙박스 열기: 연구 요약,OCMW/CPAS & NEW MIGRANTS/REFUGEES: OPENING THE BLACK BOX OF POLICY IN PRACTICE: RESEARCH SUMMARY,https://www.belspo.be/belspo/brain2-be/projects/FinalReports/BBOX_summ_en.pdf,2026-02-04
벨기에,연방혁신기술부,기타 ICT 일반,2025-11-19,자료표 1 |연구 보안,Factsheet 1 | Research Security,https://www.belspo.be/belspo/ResearchSecurity/Factsheet-1_en.stm,2026-02-04
벨기에,연방혁신기술부,2-3. 정책 및 거버넌스,2025-12-08,"경제적, 심리적 영향, 보다 효과적이고 인간적인 정책을 향한 길","Economic and Psychological Impacts, Pathways to a More Effective and Human Policy",https://www.belspo.be/belspo/brain2-be/projects/events/20251208_BESWEP-Flyer.pdf,2026-02-04
벨기에,연방혁신기술부,기타 ICT 일반,2026-01-06,연구의 맥락과 질문 주요 결과,Context and question(s) of research Main findings,https://www.belspo.be/belspo/brain2-be/projects/FinalReports/REGUIDE_PolicyBrief%203_WP6_Developing%20Sustained%20Restorative%20Approach_EN.pdf,2026-02-04
사우디,MCIT,2-2. 통신 인프라 및 단말기,2026-01-13,"통신장관, 미 국무부 경제차관과 회담",Communications Minister Meets U.S. Under Secretary of State for Economic Affairs,https://www.mcit.gov.sa/en/node/236614,2026-02-04
사우디,MCIT,1-1. 인프라 및 네트워크,2026-01-19,"Alswaha, 디지털 인프라와 AI 파트너십 강화를 위해 우주 기술 리더 만나","Alswaha Meets Space Technology Leaders to Strengthen Digital Infrastructure, AI Partnerships",https://www.mcit.gov.sa/en/node/237474,2026-02-04
사우디,MCIT,1-2. 지능형 플랫폼 및 데이터,2026-01-21,사우디 기술 포럼 해커톤(Saudi Tech Forum Hackathon)은 생성적 AI 솔루션을 위한 3개의 국가 대표팀을 시상하며 마무리되었습니다.,Saudi Tech Forum Hackathon Concludes with the Awarding of Three National Teams for Generative AI Solutions,https://mcit.gov.sa/en/node/237779/translations,2026-02-04
사우디,MCIT,2-2. 통신 인프라 및 단말기,2026-01-27,"사우디 통신정보기술부 장관, ""ICANN"" 회장과 만나 사우디 인터넷 도메인 산업 발전을 위한 협력 강화 논의 |통신정보기술부",Translations of Saudi Minister of Communications and Information Technology meets with “ICANN” President to discuss strengthening cooperation to develop Saudi Internet domains industry | Ministry of Communications and Information Technology,https://www.mcit.gov.sa/index.php/en/node/30692/translations,2026-02-04
사우디,MCIT,기타 ICT 일반,2026-01-29,"MCIT, 가상 기술 인재 허브 2026 종료",MCIT Concludes Virtual Tech Talents Hub 2026,https://www.mcit.gov.sa/en/node/239663,2026-02-04
사우디,MIM,2-1. IT 솔루션 및 서비스,2025-08-29,산업 투자자 여정의 디지털 서비스 플랫폼,Digital Services Platform of the Industrial Investor’s Journ,https://www.mim.gov.sa/en/initiatives-programs/industrial-sector-initiatives/digital-services-platform-of-the-industrial-investors-journey-initiative,2026-02-04
사우디,MIM,4-3. 제조 및 기계,2025-08-29,적층 제조 기술 통합 및 획득,Consolidating and Acquiring Technology of Additive Manufactu,https://www.mim.gov.sa/en/initiatives-programs/industrial-sector-initiatives/initiative-of-consolidating-and-acquiring-manufacturing-technology,2026-02-04
사우디,MIM,2-3. 정책 및 거버넌스,2025-09-28,제조 이니셔티브를 위한 무역 정책,Trade Policy for Manufacturing Initiative,https://www.mim.gov.sa/en/initiatives-programs/industrial-sector-initiatives/trade-policy-for-manufacturing-initiative,2026-02-04
사우디,MIM,4-3. 제조 및 기계,2025-09-30,"사우디아라비아, 첨단 제조 국산화 강화",Saudi Arabia Strengthens Localization of Advanced Manufactur,https://www.mim.gov.sa/en/media-center/news/Saudi-Arabia-Strengthens-Localization-of-Advanced-Manufacturing-Technologies-in-High-Level-Meetings-with-Chinese-Industry-Leaders,2026-02-04
사우디,MIM,2-3. 정책 및 거버넌스,2025-10-15,고객 파악(KYC) 정책,Know Your Customer (KYC) Policies,https://www.mim.gov.sa/en/knowledge-legislation/policies/know-your-customer,2026-02-04
스웨덴,Enterprise,2-3. 정책 및 거버넌스,2024-03-20,정부 정책 성명,Statement of Government Policy,https://www.government.se/contentassets/ae441755aa5141e7af64f44c22db1be7/statement-of-government-policy-following-swedens-accession-to-nato.pdf,2026-02-04
스웨덴,Enterprise,1-3. 산업 융합 및 미래 기술,2024-05-03,사이버 및 디지털 문제에 관한 스웨덴과 미국 간의 양자 대화,Bilateral dialogue between Sweden and the United States on cyber and digital issues,https://www.government.se/press-releases/2024/05/dialogue-between-sweden-and-the-united-states-on-cyber-and-digital-issues/,2026-02-04
스웨덴,Enterprise,3-3. 플랫폼 및 권리,2024-10-28,나이지리아 부통령의 스웨덴 방문에서 무역 파트너십 강화와 디지털 및 녹색 전환이 논의되었습니다.,Enhanced partnership in trade and the digital and green transition were discussed during Nigerian Vice President’s visit to Sweden,https://www.government.se/articles/2024/10/enhanced-partnership-in-trade-and-the-digital-and-green-transition-were-discussed-during-nigerian-vice-presidents-visit-to-sweden/,2026-02-04
스웨덴,Enterprise,기타 ICT 일반,2025-03-13,EU와 한국 간의 디지털 무역에 관한 새로운 협정,New agreement on digital trade between the EU and South Korea,https://www.government.se/press-releases/2025/03/new-agreement-on-digital-trade-between-the-eu-and-south-korea/,2026-02-04
