발행일,발행부처,문서종류,제목(한글),제목(영문),원문링크
2025-09-05,Environmental Protection Agency,최종규칙(Rule),항공 계획 승인; 미주리; 이산화황 배출규제 및 지정시설 및 오염물질에 대한 국가계획(부정선언) 승인 및 공포,Air Plan Approval; Missouri; Control of Sulfur Dioxide Emissions and Approval and Promulgation of State Plan (Negative Declaration) for Designated Facilities and Pollutants,https://www.federalregister.gov/documents/2025/09/05/2025-17028/air-plan-approval-missouri-control-of-sulfur-dioxide-emissions-and-approval-and-promulgation-of
2025-09-05,"Transportation Department, Federal Aviation Administration",최종규칙(Rule),"감항성 지침; MD 헬리콥터스, LLC","Airworthiness Directives; MD Helicopters, LLC",https://www.federalregister.gov/documents/2025/09/05/2025-17026/airworthiness-directives-md-helicopters-llc
2025-09-05,"Homeland Security Department, Coast Guard",최종규칙(Rule),"특별지방규정; 카일루아 베이, 아이언맨 월드 챔피언십, 하와이 카일루아 코나","Special Local Regulation; Kailua Bay, Ironman World Championship, Kailua-Kona, HI",https://www.federalregister.gov/documents/2025/09/05/2025-17016/special-local-regulation-kailua-bay-ironman-world-championship-kailua-kona-hi
2025-09-05,Surface Transportation Board,최종규칙(Rule),라이선스 및 관련 서비스와 관련하여 수행된 서비스에 대한 수수료 - 2025년 업데이트,Fees for Services Performed in Connection With Licensing and Related Services-2025 Update,https://www.federalregister.gov/documents/2025/09/05/2025-17006/fees-for-services-performed-in-connection-with-licensing-and-related-services-2025-update
2025-09-05,Federal Communications Commission,최종규칙(Rule),“차세대” 방송 텔레비전 표준의 허용적 사용 승인,Authorizing Permissive Use of the “Next Generation” Broadcast Television Standard,https://www.federalregister.gov/documents/2025/09/05/2025-16990/authorizing-permissive-use-of-the-next-generation-broadcast-television-standard
2025-09-05,Homeland Security Department,최종규칙(Rule),특정 미국 시민권 및 이민 서비스 법 집행 기관의 목록화,Codification of Certain U.S. Citizenship and Immigration Services Law Enforcement Authorities,https://www.federalregister.gov/documents/2025/09/05/2025-16978/codification-of-certain-us-citizenship-and-immigration-services-law-enforcement-authorities
2025-09-04,Executive Office of the President,대통령문서,적성교역법에 따른 특정 권한 행사의 지속,Continuation of the Exercise of Certain Authorities Under the Trading With the Enemy Act,https://www.federalregister.gov/documents/2025/09/04/2025-17036/continuation-of-the-exercise-of-certain-authorities-under-the-trading-with-the-enemy-act
2025-09-04,Federal Communications Commission,최종규칙(Rule),가격 상한선 비즈니스 데이터 서비스; 수익률 지역 교환 사업자에 대한 비즈니스 데이터 서비스 규정,Price Cap Business Data Services; Regulation of Business Data Services for Rate-of-Return Local Exchange Carriers,https://www.federalregister.gov/documents/2025/09/04/2025-16980/price-cap-business-data-services-regulation-of-business-data-services-for-rate-of-return-local
2025-09-04,Housing and Urban Development Department,최종규칙(Rule),섹션 184 인디언 주택 대출 보증 프로그램에 대한 거주 요건 개정,Revising Residency Requirements for the Section 184 Indian Housing Loan Guarantee Program,https://www.federalregister.gov/documents/2025/09/04/2025-16979/revising-residency-requirements-for-the-section-184-indian-housing-loan-guarantee-program
2025-09-04,Environmental Protection Agency,최종규칙(Rule),유해 및 고형 폐기물 관리 시스템: 전기 유틸리티의 석탄 연소 잔재물 처리; CCR 관리 부서 마감일 연장 규칙; 직접 최종 규칙의 철회,Hazardous and Solid Waste Management System: Disposal of Coal Combustion Residuals From Electric Utilities; CCR Management Unit Deadline Extension Rule; Withdrawal of Direct Final Rule,https://www.federalregister.gov/documents/2025/09/04/2025-16973/hazardous-and-solid-waste-management-system-disposal-of-coal-combustion-residuals-from-electric
2025-09-04,"Health and Human Services Department, Centers for Medicare & Medicaid Services",최종규칙(Rule),메디케어 프로그램; FY 2026 호스피스 임금 지수 및 지불률 업데이트 및 호스피스 품질 보고 프로그램 요구 사항; 보정,Medicare Program; FY 2026 Hospice Wage Index and Payment Rate Update and Hospice Quality Reporting Program Requirements; Correction,https://www.federalregister.gov/documents/2025/09/04/2025-16960/medicare-program-fy-2026-hospice-wage-index-and-payment-rate-update-and-hospice-quality-reporting
2025-09-04,"Health and Human Services Department, Food and Drug Administration",최종규칙(Rule),"인간이 섭취할 식품에 직접 첨가하도록 허용된 식품 첨가물; Lactobacillus delbrueckii, Subspecies bulgaricus 및 Streptococcus thermophilus로 발효된 요구르트 및 기타 배양 유제품의 비타민 D3","Food Additives Permitted for Direct Addition to Food for Human Consumption; Vitamin D3 in Yogurt and Other Cultured Dairy Products Fermented With Lactobacillus delbrueckii, Subspecies bulgaricus, and Streptococcus thermophilus",https://www.federalregister.gov/documents/2025/09/04/2025-16946/food-additives-permitted-for-direct-addition-to-food-for-human-consumption-vitamin-d3-in-yogurt-and
2025-09-04,"Homeland Security Department, Coast Guard",최종규칙(Rule),"특별지방규정; 쿠야호가 강, 오하이오주 클리블랜드","Special Local Regulation; Cuyahoga River, Cleveland, Ohio",https://www.federalregister.gov/documents/2025/09/04/2025-16917/special-local-regulation-cuyahoga-river-cleveland-ohio
2025-09-04,"Homeland Security Department, Coast Guard",최종규칙(Rule),특별 지역 규정; 찰스턴 항의 선장 내 해양 이벤트,Special Local Regulations; Marine Events Within the Captain of the Port of Charleston,https://www.federalregister.gov/documents/2025/09/04/2025-16916/special-local-regulations-marine-events-within-the-captain-of-the-port-of-charleston
2025-09-03,Executive Office of the President,대통령문서,미국 선거에 대한 외국의 간섭 또는 대중의 신뢰 훼손과 관련된 국가 비상사태 지속,Continuation of the National Emergency With Respect to Foreign Interference in or Undermining Public Confidence in United States Elections,https://www.federalregister.gov/documents/2025/09/03/2025-16943/continuation-of-the-national-emergency-with-respect-to-foreign-interference-in-or-undermining-public
2025-09-03,Executive Office of the President,대통령문서,특정 테러 공격과 관련된 국가 비상사태 지속,Continuation of the National Emergency With Respect to Certain Terrorist Attacks,https://www.federalregister.gov/documents/2025/09/03/2025-16941/continuation-of-the-national-emergency-with-respect-to-certain-terrorist-attacks
2025-09-03,Executive Office of the President,대통령문서,연방 수혜자의 불법 로비 및 당파적 정치 활동을 위한 예산 사용,Use of Appropriated Funds for Illegal Lobbying and Partisan Political Activity by Federal Grantees,https://www.federalregister.gov/documents/2025/09/03/2025-16935/use-of-appropriated-funds-for-illegal-lobbying-and-partisan-political-activity-by-federal-grantees
2025-09-03,Executive Office of the President,대통령문서,연방 건축을 다시 아름답게 만들기,Making Federal Architecture Beautiful Again,https://www.federalregister.gov/documents/2025/09/03/2025-16928/making-federal-architecture-beautiful-again
2025-09-03,Executive Office of the President,대통령문서,연방 노사 관계 프로그램에서 추가 제외 사항,Further Exclusions From the Federal Labor- Management Relations Program,https://www.federalregister.gov/documents/2025/09/03/2025-16924/further-exclusions-from-the-federal-labor--management-relations-program
2025-09-03,Executive Office of the President,대통령문서,2025년 노동절,"Labor Day, 2025",https://www.federalregister.gov/documents/2025/09/03/2025-16923/labor-day-2025
2025-09-03,Executive Office of the President,대통령문서,2025년 과다 복용 예방 주간,"Overdose Prevention Week, 2025",https://www.federalregister.gov/documents/2025/09/03/2025-16922/overdose-prevention-week-2025
2025-09-03,"Transportation Department, Federal Aviation Administration",최종규칙(Rule),"위조, 복제, 변조, 누락 또는 부정확한 기재","Falsification, Reproduction, Alteration, Omission, or Incorrect Statements",https://www.federalregister.gov/documents/2025/09/03/2025-16902/falsification-reproduction-alteration-omission-or-incorrect-statements
2025-09-03,"Health and Human Services Department, Food and Drug Administration",최종규칙(Rule),인간이 섭취하는 식품에 허용되는 2차 직접 식품 첨가물; 과산화수소,Secondary Direct Food Additives Permitted in Food for Human Consumption; Hydrogen Peroxide,https://www.federalregister.gov/documents/2025/09/03/2025-16898/secondary-direct-food-additives-permitted-in-food-for-human-consumption-hydrogen-peroxide
2025-09-03,"Transportation Department, Federal Aviation Administration",최종규칙(Rule),NM Cimarron 부근의 Jet Route J-96 개정,"Amendment of Jet Route J-96 in the Vicinity of Cimarron, NM",https://www.federalregister.gov/documents/2025/09/03/2025-16890/amendment-of-jet-route-j-96-in-the-vicinity-of-cimarron-nm
2025-09-03,"Transportation Department, Federal Aviation Administration",최종규칙(Rule),"미시간 주 킬러 부근의 VOR Federal Airways V-55, V-100 및 V-277 수정","Amendment of VOR Federal Airways V-55, V-100, and V-277 in the Vicinity of Keeler, MI",https://www.federalregister.gov/documents/2025/09/03/2025-16888/amendment-of-vor-federal-airways-v-55-v-100-and-v-277-in-the-vicinity-of-keeler-mi
2025-09-03,Environmental Protection Agency,최종규칙(Rule),청정수법(Clean Water Act) 육류 및 가금류 제품 점오염원 범주에 대한 배출 제한 지침 및 표준,Clean Water Act Effluent Limitations Guidelines and Standards for the Meat and Poultry Products Point Source Category,https://www.federalregister.gov/documents/2025/09/03/2025-16868/clean-water-act-effluent-limitations-guidelines-and-standards-for-the-meat-and-poultry-products
2025-09-03,"Transportation Department, Federal Aviation Administration",최종규칙(Rule),"제트 노선 및 국내 초고주파 전방향 범위(VOR) 연방항공로의 수정 및 VOR 연방항공의 폐지, 미국 동부",Amendment of Jet Routes and Domestic Very High Frequency Omnidirectional Range (VOR) Federal Airways and Revocation of VOR Federal Airway; Eastern United States,https://www.federalregister.gov/documents/2025/09/03/2025-16861/amendment-of-jet-routes-and-domestic-very-high-frequency-omnidirectional-range-vor-federal-airways
2025-09-03,"Commerce Department, Economic Analysis Bureau",최종규칙(Rule),"직접 투자 조사: BE-13, 미국의 신규 외국인 직접 투자 조사","Direct Investment Surveys: BE-13, Survey of New Foreign Direct Investment in the United States",https://www.federalregister.gov/documents/2025/09/03/2025-16832/direct-investment-surveys-be-13-survey-of-new-foreign-direct-investment-in-the-united-states
2025-09-02,Executive Office of the President,대통령문서,미네소타 주 미니애폴리스에서 발생한 비극의 희생자들을 추모합니다.,"Honoring the Victims of the Tragedy in Minneapolis, Minnesota",https://www.federalregister.gov/documents/2025/09/02/2025-16846/honoring-the-victims-of-the-tragedy-in-minneapolis-minnesota
2025-09-02,Homeland Security Department,최종규칙(Rule),부서 조치의 비준,Ratification of Department Action,https://www.federalregister.gov/documents/2025/09/02/2025-16809/ratification-of-department-action
2025-09-02,"Commerce Department, National Oceanic and Atmospheric Administration",최종규칙(Rule),알래스카 외곽의 배타적경제수역 어업; 알래스카 만 중앙 규제 지역에서 트롤 장비를 사용하는 포수선의 태평양 대구,Fisheries of the Exclusive Economic Zone Off Alaska; Pacific Cod by Catcher Vessels Using Trawl Gear in the Central Regulatory Area of the Gulf of Alaska,https://www.federalregister.gov/documents/2025/09/02/2025-16794/fisheries-of-the-exclusive-economic-zone-off-alaska-pacific-cod-by-catcher-vessels-using-trawl-gear
2025-09-02,"Labor Department, Employment and Training Administration",최종규칙(Rule),인력투자법 규정 폐지,Rescission of Workforce Investment Act Regulations,https://www.federalregister.gov/documents/2025/09/02/2025-16771/rescission-of-workforce-investment-act-regulations
2025-09-02,"Transportation Department, Federal Aviation Administration",최종규칙(Rule),감항성 지침; 에어버스 헬리콥터,Airworthiness Directives; Airbus Helicopters,https://www.federalregister.gov/documents/2025/09/02/2025-16761/airworthiness-directives-airbus-helicopters
2025-09-02,"Interior Department, Land Management Bureau",최종규칙(Rule),광업 청구권 지불에 관한 규정의 폐지; 철수,Rescission of Regulations Regarding Mining Claim Payments; Withdrawal,https://www.federalregister.gov/documents/2025/09/02/2025-16757/rescission-of-regulations-regarding-mining-claim-payments-withdrawal
2025-09-02,"Interior Department, Land Management Bureau",최종규칙(Rule),광업 청구에 대한 운영 계획에 관한 규정의 폐지,Rescission of Regulations Regarding Plans of Operations for Mining Claims,https://www.federalregister.gov/documents/2025/09/02/2025-16756/rescission-of-regulations-regarding-plans-of-operations-for-mining-claims
2025-09-02,"Interior Department, Land Management Bureau",최종규칙(Rule),"광업 청구 또는 현장 수수료 찾기, 기록 및 유지에 관한 규정 개정","Revisions to Regulations Regarding Locating, Recording, and Maintaining Mining Claims or Sites-Fees",https://www.federalregister.gov/documents/2025/09/02/2025-16755/revisions-to-regulations-regarding-locating-recording-and-maintaining-mining-claims-or-sites-fees
2025-09-02,"Interior Department, Land Management Bureau",최종규칙(Rule),"광업 주장 또는 현장의 위치 파악, 기록 및 유지에 관한 규정 개정 - 소개","Revisions to Regulations Regarding Locating, Recording, and Maintaining Mining Claims or Sites-Introduction",https://www.federalregister.gov/documents/2025/09/02/2025-16754/revisions-to-regulations-regarding-locating-recording-and-maintaining-mining-claims-or
2025-09-02,"Interior Department, Land Management Bureau",최종규칙(Rule),"광업 청구 또는 현장의 위치 파악, 기록 및 유지 관리에 관한 규정 개정 - 준수 실패","Revisions to Regulations Regarding Locating, Recording, and Maintaining Mining Claims or Sites-Failure To Comply",https://www.federalregister.gov/documents/2025/09/02/2025-16753/revisions-to-regulations-regarding-locating-recording-and-maintaining-mining-claims-or-sites-failure
2025-09-02,Environmental Protection Agency,최종규칙(Rule),폴리에테르 폴리올 생산 산업의 유해 대기 오염 물질에 대한 국가 배출 표준: 적극적 방어 제거,National Emission Standards for Hazardous Air Pollutants for the Polyether Polyols Production Industry: Removal of Affirmative Defense,https://www.federalregister.gov/documents/2025/09/02/2025-16744/national-emission-standards-for-hazardous-air-pollutants-for-the-polyether-polyols-production
2025-09-02,"Commerce Department, Industry and Security Bureau",최종규칙(Rule),중화인민공화국에서 검증된 최종 사용자 인증 취소,Revocation of Validated End-User Authorizations in the People's Republic of China,https://www.federalregister.gov/documents/2025/09/02/2025-16735/revocation-of-validated-end-user-authorizations-in-the-peoples-republic-of-china
2025-09-02,"Transportation Department, Federal Aviation Administration",최종규칙(Rule),감항성 지침; 에어버스 SAS 비행기,Airworthiness Directives; Airbus SAS Airplanes,https://www.federalregister.gov/documents/2025/09/02/2025-16728/airworthiness-directives-airbus-sas-airplanes
2025-09-02,"Commerce Department, Industry and Security Bureau",최종규칙(Rule),시리아 수출 통제 완화,Relaxing Export Controls for Syria,https://www.federalregister.gov/documents/2025/09/02/2025-16724/relaxing-export-controls-for-syria
2025-08-29,"Homeland Security Department, Coast Guard",최종규칙(Rule),"특별 지역 규정; 반복되는 해양 이벤트, 상트페테르부르크 부문","Special Local Regulations; Recurring Marine Events, Sector St. Petersburg",https://www.federalregister.gov/documents/2025/08/29/2025-16684/special-local-regulations-recurring-marine-events-sector-st-petersburg
2025-08-29,"Commerce Department, National Oceanic and Atmospheric Administration",최종규칙(Rule),미국 만의 어업; 2025년 Gulf Greater Amberjack 상업 폐쇄,Fisheries of the Gulf of America; 2025 Commercial Closure for Gulf Greater Amberjack,https://www.federalregister.gov/documents/2025/08/29/2025-16675/fisheries-of-the-gulf-of-america-2025-commercial-closure-for-gulf-greater-amberjack
2025-08-29,Federal Labor Relations Authority,최종규칙(Rule),지리적 관할권 및 사건 처리 절차 변경,Changes to Geographical Jurisdictions and in Case Handling Procedures,https://www.federalregister.gov/documents/2025/08/29/2025-16660/changes-to-geographical-jurisdictions-and-in-case-handling-procedures
2025-08-29,"Transportation Department, Federal Aviation Administration",최종규칙(Rule),뉴욕 엘미라(Elmira) 상공의 클래스 E4 공역 개정,"Amendment of Class E4 Airspace Over Elmira, NY",https://www.federalregister.gov/documents/2025/08/29/2025-16654/amendment-of-class-e4-airspace-over-elmira-ny
2025-08-29,Federal Communications Commission,최종규칙(Rule),"삭제, 삭제, 삭제; 불법 문자 메시지 타겟팅 및 제거 1991년 전화 소비자 보호법 시행 규칙 및 규정; 불법 자동녹음전화를 표적으로 삼고 제거하는 고급 방법","Delete, Delete, Delete; Targeting and Eliminating Unlawful Text Messages; Rules and Regulations Implementing of the Telephone Consumer Protection Act of 1991; Advanced Methods To Target and Eliminate Unlawful Robocalls",https://www.federalregister.gov/documents/2025/08/29/2025-16641/delete-delete-delete-targeting-and-eliminating-unlawful-text-messages-rules-and-regulations
2025-08-29,"Health and Human Services Department, Food and Drug Administration",최종규칙(Rule),자문위원회; 관절염 자문위원회; 종료; 상임위원회 목록에서 제거,Advisory Committee; Arthritis Advisory Committee; Termination; Removal From List of Standing Committees,https://www.federalregister.gov/documents/2025/08/29/2025-16629/advisory-committee-arthritis-advisory-committee-termination-removal-from-list-of-standing-committees
2025-08-29,"Homeland Security Department, Coast Guard",최종규칙(Rule),"고정 및 이동 안전 구역, M/V ZHEN HUA 29 주변; 프리포트 선박 채널, 프리포트, 텍사스","Fixed and Moving Safety Zone, Vicinity of the M/V ZHEN HUA 29; Freeport Ship Channel, Freeport, TX",https://www.federalregister.gov/documents/2025/08/29/2025-16617/fixed-and-moving-safety-zone-vicinity-of-the-mv-zhen-hua-29-freeport-ship-channel-freeport-tx
2025-08-28,Executive Office of the President,대통령문서,미국인을 보호하기 위해 무현금 보석금을 종료하는 조치를 취함,Taking Steps To End Cashless Bail To Protect Americans,https://www.federalregister.gov/documents/2025/08/28/2025-16618/taking-steps-to-end-cashless-bail-to-protect-americans
2025-08-28,Executive Office of the President,대통령문서,성조기 소각 기소,Prosecuting Burning of the American Flag,https://www.federalregister.gov/documents/2025/08/28/2025-16616/prosecuting-burning-of-the-american-flag
2025-08-28,Executive Office of the President,대통령문서,현금 없는 보석금을 종료하고 컬럼비아 특별구에서 법을 집행하기 위한 조치,Measures To End Cashless Bail and Enforce the Law in the District of Columbia,https://www.federalregister.gov/documents/2025/08/28/2025-16615/measures-to-end-cashless-bail-and-enforce-the-law-in-the-district-of-columbia
2025-08-28,Executive Office of the President,대통령문서,컬럼비아 특별구의 범죄 긴급 상황을 해결하기 위한 추가 조치,Additional Measures To Address the Crime Emergency in the District of Columbia,https://www.federalregister.gov/documents/2025/08/28/2025-16614/additional-measures-to-address-the-crime-emergency-in-the-district-of-columbia
2025-08-28,Executive Office of the President,대통령문서,"애비 게이트 공격 4주년, 2025년","Fourth Anniversary of the Attack at Abbey Gate, 2025",https://www.federalregister.gov/documents/2025/08/28/2025-16599/fourth-anniversary-of-the-attack-at-abbey-gate-2025
2025-08-28,"Justice Department, Executive Office for Immigration Review",최종규칙(Rule),임시 이민 판사의 지정,Designation of Temporary Immigration Judges,https://www.federalregister.gov/documents/2025/08/28/2025-16573/designation-of-temporary-immigration-judges
2025-08-28,"Homeland Security Department, Coast Guard",최종규칙(Rule),"안전지대; 탬파베이, 세인트피터즈버그, 플로리다","Safety Zone; Tampa Bay, St. Petersburg, FL",https://www.federalregister.gov/documents/2025/08/28/2025-16570/safety-zone-tampa-bay-st-petersburg-fl
2025-08-28,"Homeland Security Department, Coast Guard",최종규칙(Rule),"안전 구역; USCG 동부 지구(구 제5 해안경비대 지구)의 불꽃놀이 - 비치 헤이븐, 뉴저지","Safety Zones; Fireworks Displays in the USCG East District (Formerly the Fifth Coast Guard District)-Beach Haven, NJ",https://www.federalregister.gov/documents/2025/08/28/2025-16567/safety-zones-fireworks-displays-in-the-uscg-east-district-formerly-the-fifth-coast-guard
2025-08-28,"Commerce Department, National Oceanic and Atmospheric Administration",최종규칙(Rule),알래스카 외곽의 배타적경제수역 어업; 베링해 및 알류샨열도 관리지역 가자미류 교류,Fisheries of the Exclusive Economic Zone Off Alaska; Exchange of Flatfish in the Bering Sea and Aleutian Islands Management Area,https://www.federalregister.gov/documents/2025/08/28/2025-16539/fisheries-of-the-exclusive-economic-zone-off-alaska-exchange-of-flatfish-in-the-bering-sea-and
2025-08-28,"Defense Department, Defense Acquisition Regulations System",최종규칙(Rule),국방 연방 획득 규정 보충: 특정 고등 교육 기관에 대한 제한(DFARS 사례 2024-D023); 보정,Defense Federal Acquisition Regulation Supplement: Limitation on Certain Institutes of Higher Education (DFARS Case 2024-D023); Correction,https://www.federalregister.gov/documents/2025/08/28/2025-16518/defense-federal-acquisition-regulation-supplement-limitation-on-certain-institutes-of-higher
2025-08-28,"Transportation Department, Federal Aviation Administration",최종규칙(Rule),공역 지정; 참조에 의한 통합,Airspace Designations; Incorporation by Reference,https://www.federalregister.gov/documents/2025/08/28/2025-16493/airspace-designations-incorporation-by-reference
2025-08-28,"Labor Department, Office of the Secretary of Labor",최종규칙(Rule),인력투자법의 차별금지 및 기회균등 조항의 폐지,Rescission of Nondiscrimination and Equal-Opportunity Provisions of the Workforce Investment Act,https://www.federalregister.gov/documents/2025/08/28/2025-16492/rescission-of-nondiscrimination-and-equal-opportunity-provisions-of-the-workforce-investment-act
2025-08-28,Environmental Protection Agency,최종규칙(Rule),항공 계획 승인; 사우스다코타; 2차 시행기간 지역안개 계획,Air Plan Approval; South Dakota; Regional Haze Plan for the Second Implementation Period,https://www.federalregister.gov/documents/2025/08/28/2025-16468/air-plan-approval-south-dakota-regional-haze-plan-for-the-second-implementation-period
2025-08-28,Environmental Protection Agency,최종규칙(Rule),항공 계획 승인; 텍사스; 2010 SO2 NAAQS에 대한 주간 운송 요구 사항,Air Plan Approval; Texas; Interstate Transport Requirements for the 2010 SO2 NAAQS,https://www.federalregister.gov/documents/2025/08/28/2025-16467/air-plan-approval-texas-interstate-transport-requirements-for-the-2010-so2-naaqs
2025-08-28,Environmental Protection Agency,최종규칙(Rule),항공 계획 승인; 캘리포니아; 모하비 사막 대기 질 관리 지구; 내부 연소 엔진,Air Plan Approval; California; Mojave Desert Air Quality Management District; Internal Combustion Engines,https://www.federalregister.gov/documents/2025/08/28/2025-16466/air-plan-approval-california-mojave-desert-air-quality-management-district-internal-combustion
2025-08-28,"Interior Department, Fish and Wildlife Service",최종규칙(Rule),국립 야생동물 보호 시스템; 2025-2026 스테이션별 사냥 및 스포츠 낚시 규정,National Wildlife Refuge System; 2025-2026 Station-Specific Hunting and Sport Fishing Regulations,https://www.federalregister.gov/documents/2025/08/28/2025-16440/national-wildlife-refuge-system-2025-2026-station-specific-hunting-and-sport-fishing-regulations
2025-08-27,"Agriculture Department, Federal Crop Insurance Corporation",최종규칙(Rule),작물 보험 조항에 대한 구식 규정 제거,Removal of Obsolete Regulations for Crop Insurance Provisions,https://www.federalregister.gov/documents/2025/08/27/2025-16452/removal-of-obsolete-regulations-for-crop-insurance-provisions
2025-08-27,"Commerce Department, National Oceanic and Atmospheric Administration",최종규칙(Rule),알래스카 외곽의 배타적경제수역 어업; 베링해 및 알류샨 열도 관리 지역 내 태평양 대구 재배치,Fisheries of the Exclusive Economic Zone Off Alaska; Reallocation of Pacific Cod in the Bering Sea and Aleutian Islands Management Area,https://www.federalregister.gov/documents/2025/08/27/2025-16435/fisheries-of-the-exclusive-economic-zone-off-alaska-reallocation-of-pacific-cod-in-the-bering-sea
2025-08-27,Federal Trade Commission,최종규칙(Rule),텔레마케팅 판매 규칙 수수료,Telemarketing Sales Rule Fees,https://www.federalregister.gov/documents/2025/08/27/2025-16430/telemarketing-sales-rule-fees
2025-08-27,"Commerce Department, National Oceanic and Atmospheric Administration",최종규칙(Rule),알래스카 외곽의 배타적경제수역 어업; 베링해 및 알류샨 열도 관리 지역의 태평양 대구,Fisheries of the Exclusive Economic Zone Off Alaska; Pacific Cod in the Bering Sea and Aleutian Islands Management Area,https://www.federalregister.gov/documents/2025/08/27/2025-16428/fisheries-of-the-exclusive-economic-zone-off-alaska-pacific-cod-in-the-bering-sea-and-aleutian
2025-08-27,"Management and Budget Office, Federal Procurement Policy Office, Defense Department, General Services Administration, National Aeronautics and Space Administration",최종규칙(Rule),연방 획득 규정; 연방 획득 안내장 2025-06; 소규모 기업 규정 준수 가이드,Federal Acquisition Regulation; Federal Acquisition Circular 2025-06; Small Entity Compliance Guide,https://www.federalregister.gov/documents/2025/08/27/2025-16413/federal-acquisition-regulation-federal-acquisition-circular-2025-06-small-entity-compliance-guide
2025-08-27,"Management and Budget Office, Federal Procurement Policy Office, Defense Department, General Services Administration, National Aeronautics and Space Administration",최종규칙(Rule),연방 취득 규정: 취득 관련 임계값의 인플레이션 조정,Federal Acquisition Regulation: Inflation Adjustment of Acquisition-Related Thresholds,https://www.federalregister.gov/documents/2025/08/27/2025-16412/federal-acquisition-regulation-inflation-adjustment-of-acquisition-related-thresholds
2025-08-27,"Management and Budget Office, Federal Procurement Policy Office, Defense Department, General Services Administration, National Aeronautics and Space Administration",최종규칙(Rule),연방 획득 규정; 연방 획득 안내장 2025-06; 소개,Federal Acquisition Regulation; Federal Acquisition Circular 2025-06; Introduction,https://www.federalregister.gov/documents/2025/08/27/2025-16411/federal-acquisition-regulation-federal-acquisition-circular-2025-06-introduction
2025-08-27,"Agriculture Department, Agricultural Marketing Service",최종규칙(Rule),텍사스의 로어 리오 그란데 밸리에서 재배되는 오렌지와 자몽; 평가율 증가,Oranges and Grapefruit Grown in Lower Rio Grande Valley in Texas; Increased Assessment Rate,https://www.federalregister.gov/documents/2025/08/27/2025-16409/oranges-and-grapefruit-grown-in-lower-rio-grande-valley-in-texas-increased-assessment-rate
2025-08-27,"Transportation Department, Federal Aviation Administration",최종규칙(Rule),감항성 지침; 에어버스 SAS 비행기,Airworthiness Directives; Airbus SAS Airplanes,https://www.federalregister.gov/documents/2025/08/27/2025-16404/airworthiness-directives-airbus-sas-airplanes
2025-08-27,"Transportation Department, Federal Aviation Administration",최종규칙(Rule),감항성 지침; 에어버스 SAS 비행기,Airworthiness Directives; Airbus SAS Airplanes,https://www.federalregister.gov/documents/2025/08/27/2025-16403/airworthiness-directives-airbus-sas-airplanes
2025-08-27,"Transportation Department, Federal Aviation Administration",최종규칙(Rule),감항성 지침; 에어버스 SAS 비행기,Airworthiness Directives; Airbus SAS Airplanes,https://www.federalregister.gov/documents/2025/08/27/2025-16402/airworthiness-directives-airbus-sas-airplanes
2025-08-27,"Transportation Department, Federal Aviation Administration",최종규칙(Rule),감항성 지침; ATR-GIE Avions de Transport 지역 비행기,Airworthiness Directives; ATR-GIE Avions de Transport Régional Airplanes,https://www.federalregister.gov/documents/2025/08/27/2025-16401/airworthiness-directives-atr-gie-avions-de-transport-rgional-airplanes
2025-08-27,"Commerce Department, Census Bureau",최종규칙(Rule),해외 무역 규정(FTR): 운송 중 발송물 및 기타 FTR 조항에 관한 제출 요건 명시 보정,Foreign Trade Regulations (FTR): Clarification of Filing Requirements Regarding In-Transit Shipments and Other FTR Provisions; Correction,https://www.federalregister.gov/documents/2025/08/27/2025-16389/foreign-trade-regulations-ftr-clarification-of-filing-requirements-regarding-in-transit-shipments
2025-08-27,Environmental Protection Agency,최종규칙(Rule),"주, 부족 및 EPA 관리 지하 주입 통제 프로그램","State, Tribal, and EPA-Administered Underground Injection Control Programs",https://www.federalregister.gov/documents/2025/08/27/2025-16386/state-tribal-and-epa-administered-underground-injection-control-programs
2025-08-27,State Department,최종규칙(Rule),국제 무기 거래 규정: 미국 군수품 목록 대상 개정,International Traffic in Arms Regulations: U.S. Munitions List Targeted Revisions,https://www.federalregister.gov/documents/2025/08/27/2025-16382/international-traffic-in-arms-regulations-us-munitions-list-targeted-revisions
2025-08-27,Federal Communications Commission,최종규칙(Rule),위성 및 지구국 애플리케이션의 초기 처리를 가속화합니다. 공간혁신,Expediting Initial Processing of Satellite and Earth Station Applications; Space Innovation,https://www.federalregister.gov/documents/2025/08/27/2025-16375/expediting-initial-processing-of-satellite-and-earth-station-applications-space-innovation
2025-08-27,"Transportation Department, Federal Aviation Administration",최종규칙(Rule),"특수 조건: Gulfstream Aerospace Corporation, 모델 GVII-G400 비행기; 설계 다이빙 속도에 대한 자동 속도 보호(다이빙 속도 정의)","Special Conditions: Gulfstream Aerospace Corporation, Model GVII-G400 Airplane; Automatic Speed Protection for Design Dive Speed (Dive Speed Definition)",https://www.federalregister.gov/documents/2025/08/27/2025-16358/special-conditions-gulfstream-aerospace-corporation-model-gvii-g400-airplane-automatic-speed
2025-08-27,"Homeland Security Department, Coast Guard",최종규칙(Rule),"안전지대; Patapsco River, 볼티모어, MD","Safety Zone; Patapsco River, Baltimore, MD",https://www.federalregister.gov/documents/2025/08/27/2025-16353/safety-zone-patapsco-river-baltimore-md
