국가,기관,발행일,제목,원문,링크,수집일
노르웨이,KDD,2026-01-29,디지털 역량의 미래 필요성에 관한 새로운 보고서,Ny rapport om framtidens behov for digital kompetanse,https://www.regjeringen.no/no/aktuelt/ny-rapport-om-framtidens-behov-for-digital-kompetanse/id3147542/,2026-02-04
프랑스,Bercy,2026-01-29,초과 예약: 탑승이 거부된 경우 귀하의 권리는 무엇입니까?,Surréservation : quels sont vos droits si l'embarquement vous est refusé ?,https://www.economie.gouv.fr/particuliers/voyager-et-se-deplacer/surreservation-quels-sont-vos-droits-si-lembarquement-vous-est-refuse,2026-02-04
프랑스,Bercy,2026-01-29,온라인으로 안전하게 구매하는 방법은 무엇인가요?,Comment acheter sur internet en toute sécurité ?,https://www.economie.gouv.fr/files/files/directions_services/dgccrf/media-document/comment-acheter-sur-internet-securite-falc.pdf?v=1769589799,2026-02-04
일본,MIC,2026-01-28,제51대 중의원 총선거 후보자/목록 통보된 정당 등 정보 중의원에 등록된 정당 등의 명칭 및 약칭 목록(전체 선거구),第51回 衆議院議員総選挙 候補者・名簿届出政党等情報 衆議院名簿届出政党等（全選挙区）の名称及び略称の一覧表,https://www.soumu.go.jp/senkyo/51ge/hirei_all.html,2026-02-04
영국,DSIT,2026-01-28,생활과 업무를 위한 AI 기술: 요약 보고서,AI Skills for Life and Work: Summary report,https://www.gov.uk/government/publications/ai-skills-for-life-and-work-summary-report,2026-02-04
이스라엘,IIA,2026-01-28,인공지능이 첨단기술 고용에 미치는 영향,השפעת הבינה המלאכותית על התעסוקה בהייטק,https://innovationisrael.org.il/wp-content/uploads/2026/01/Employers-Survey-Repor-2026.pdf,2026-02-04
일본,MIC,2026-01-27,"디지털 인력을 체계적으로 확보·육성하고, 지자체 DX 추진을 위한 추진체계 구축에 대해",自治体DX推進に向けた計画的なデジタル人材の確 保・育成や推進体制の構築について,https://www.soumu.go.jp/main_content/001054177.pdf,2026-02-04
사우디,MCIT,2026-01-27,"Al-Swaha, 나이지리아 통신협력부 장관과 디지털 경제 분야 논의",Al-Swaha Discusses with Nigerian Minister of Communications Cooperation in Field of Digital Economy,https://www.mcit.gov.sa/index.php/en/node/74221/translations,2026-02-04
일본,MIC,2026-01-26,ICT 서비스 이용환경 개선을 위한 연구회(9차 회의),ICTサービスの利用環境の整備に関する研究会（第9回）,https://www.soumu.go.jp/main_sosiki/kenkyu/ICT_services/02kiban18_02000466.html,2026-02-04
노르웨이,KDD,2026-01-26,건축법규를 단순화하고 현대화해야 한다,Byggereglene skal forenkles og moderniseres,https://www.regjeringen.no/no/aktuelt/byggereglene-skal-forenkles-og-moderniseres/id3146883/,2026-02-04
UAE,TDRA,2026-01-25,ICT 펀드 소식 9월 22일,ICT Fund News Sep22,https://tdra.gov.ae/-/media/ICTFund/News/Newsletter/ICT-Fund-News-Sep22.ashx?c=newsletter&t=Newsletter+-+September+2022+%28Available+in+Arabic+Only%29,2026-02-04
사우디,MCIT,2026-01-24,"알 사와하(Al-Sawaha), 일본 디지털 혁신부 장관과 디지털 정부 및 인공지능 분야 파트너십 확대 논의",السواحه يناقش مع وزير التحول الرقمي في اليابان توسيع الشراكة في الحكومة الرقمية والذكاء الاصطناعي,https://www.mcit.gov.sa/ar/node/237475/translations,2026-02-04
사우디,MCIT,2026-01-24,"정보통신부 장관, LEAP22에서 글로벌 ICT 리더들과 간담회",Minister for Communications and Information Technology Holds Discussions with Global ICT Leaders at LEAP22,https://www.mcit.gov.sa/index.php/en/node/24799/translations,2026-02-04
싱가포르,IMDA,2026-01-23,사실 자료,Factsheet,https://www.imda.gov.sg/-/media/imda/files/news-and-events/media-room/media-releases/2026/01/factsheet-model-ai-governance-framework-for-agentic-ai.pdf,2026-02-04
일본,디지털청,2026-01-23,2026년 1월 29일부터 출산 후 필요한 수속을 질의 응답으로 좁힐 수 있게 됩니다 | 마이나포탈,2026年1月29日から、出産後に必要な手続を質問に答えて絞り込めるようになります | マイナポータル,https://services.digital.go.jp/mynaportal/news/20260123-01/,2026-02-04
일본,디지털청,2026-01-23,스마트폰 마이넘버카드,スマートフォンのマイナンバーカード,https://www.digital.go.jp/policies/mynumber/smartphone-certification,2026-02-04
핀란드,LVM,2026-01-23,위원회는 새로운 EU 사이버 보안 규칙 및 디지털 네트워크법에 대한 제안을 제시합니다.,Commission presents proposals for new EU cybersecurity rules and Digital Networks Act,https://lvm.fi/en/-/commission-presents-proposals-for-new-eu-cybersecurity-rules-and-digital-networks-act?languageId=fi_FI,2026-02-04
이스라엘,IIA,2026-01-23,기술 기사 및 리뷰,כתבות וסקירות טכנולוגיות,https://innovationisrael.org.il/importWinner/516262821/,2026-02-04
중국,CAC,2026-01-22,알고리즘 메커니즘 내용 공개 계획,拟公示算法机制机理内容,https://beian.cac.gov.cn/api/static/fileUpload/principalOrithm/additional/user_345f5b47-b205-4c29-90fb-c8d505ca399c_1e9c4c5d-ac83-4f0f-8bef-b641982984f1.pdf,2026-02-04
싱가포르,MDDI,2026-01-22,ASME(Association of Small and Medium Enterprises) AI 페스티벌 아시아 2026에서 MOS Jasmin Lau의 개회사,Opening Address by MOS Jasmin Lau at the Association of Small and Medium Enterprises (ASME)’s AI Festival Asia 2026,https://www.mddi.gov.sg/newsroom/opening-address-by-mos-jasmin-lau-at-the-association-of-small-and-medium-enterprises--asme--s-ai-festival-asia-2026/,2026-02-04
싱가포르,MDDI,2026-01-22,SMS Tan Kiat의 개회사 SCS 지속 가능 기술 포럼 2026 방법,Opening Address By SMS Tan Kiat How For SCS Sustainable Tech Forum 2026,https://www.mddi.gov.sg/newsroom/opening-address-by-sms-tan-kiat-how-for-scs-sustainable-tech-forum-2026/,2026-02-04
싱가포르,MDDI,2026-01-22,"싱가포르, Agentic AI를 위한 새로운 모델 AI 거버넌스 프레임워크 출시",Singapore Launches New Model AI Governance Framework for Agentic AI,https://www.mddi.gov.sg/newsroom/singapore-launches-new-model-ai-governance-framework-for-agentic-ai--/,2026-02-04
싱가포르,IMDA,2026-01-22,"IMDA, 새로운 실용적인 리소스로 기업의 디지털 지속 가능성 채택을 단순화",IMDA Simplifies Digital Sustainability Adoption for Businesses with New Practical Resources,https://www.imda.gov.sg/resources/press-releases-factsheets-and-speeches/press-releases/2026/imda-simplifies-digital-sustainability-adoption-for-businesses-with-new-practical-resources,2026-02-04
싱가포르,IMDA,2026-01-22,기술 향상을 통해 AI 혁신을 촉진하는 방법,How Upskilling Talent Powers AI Transformation,https://www.imda.gov.sg/resources/blog/blog-articles/2026/01/how-upskilling-talent-powers-ai-transformation,2026-02-04
노르웨이,KDD,2026-01-22,디지털 탄력성 향상을 위한 새로운 포털,Ny portal for økt digital motstandskraft,https://www.regjeringen.no/no/aktuelt/ny-portal-for-okt-digital-motstandskraft/id3146805/,2026-02-04
캐나다,ISED,2026-01-22,캐나다 상표 세부 정보: Firen World — 2451599 — 캐나다 상표 데이터베이스,Canadian Trademarks Details: Firen World — 2451599 — Canadian Trademarks Database,https://ised-isde.canada.ca/cipo/trademark-search/pdf/2451599?lang=eng,2026-02-04
호주,DISR,2026-01-22,AI와 내부 커뮤니케이션,AI and Internal Communication,https://www.industry.gov.au/national-artificial-intelligence-centre/ai-event-calendar/ai-and-internal-communication,2026-02-04
호주,DISR,2026-01-22,AI PowerEd: 학교 서밋의 책임 있는 AI,AI PowerEd: Responsible AI in Schools Summit,https://www.industry.gov.au/national-artificial-intelligence-centre/ai-event-calendar/ai-powered-responsible-ai-schools-summit,2026-02-04
호주,DISR,2026-01-22,국가 AI 및 사이버 보안 리더십 서밋 2026,National AI & Cybersecurity Leadership Summit 2026,https://www.industry.gov.au/national-artificial-intelligence-centre/ai-event-calendar/national-ai-cybersecurity-leadership-summit-2026,2026-02-04
일본,METI,2026-01-21,제1회 AI로봇 전략 검토 컨퍼런스,第1回 AIロボティクス戦略検討会議,https://www.meti.go.jp/shingikai/mono_info_service/ai_robotics_strategy/001.html,2026-02-04
일본,METI,2026-01-21,제1차 AI로봇 전략 검토 회의록 일시 : 2020년 1월 21일(목) 16:30~,第１回 AI ロボティクス戦略検討会議 議事要旨 日時：令和８年１月２１日（木）１６：３０～,https://www.meti.go.jp/shingikai/mono_info_service/ai_robotics_strategy/pdf/001_gijiyoshi.pdf,2026-02-04
일본,METI,2026-01-21,AI로봇전략검토협의회 설치에 관하여 2020년 1월 경제산업성 1. 본 연구회 개최 목적,AI ロボティクス戦略検討会議の設置について 令和８年１月 経済産業省 １．本検討会の開催趣,https://www.meti.go.jp/shingikai/mono_info_service/ai_robotics_strategy/pdf/001_01_00.pdf,2026-02-04
싱가포르,IMDA,2026-01-19,에이전트 AI를 위한 모델 AI 거버넌스 프레임워크,MODEL AI GOVERNANCE FRAMEWORK FOR AGENTIC AI,https://www.imda.gov.sg/-/media/imda/files/about/emerging-tech-and-research/artificial-intelligence/mgf-for-agentic-ai.pdf,2026-02-04
캐나다,ISED,2026-01-19,인공지능과 지적재산권,Artificial intelligence and intellectual property,https://ised-isde.canada.ca/site/canadian-intellectual-property-office/en/artificial-intelligence-and-ip,2026-02-04
싱가포르,IMDA,2026-01-16,사기 방지 가이드 및 강화된 케이블 가이드라인,Anti-Scam Guide and Enhanced Cable Guidelines,https://www.imda.gov.sg/resources/press-releases-factsheets-and-speeches/press-releases/2026/anti-scam-guide-and-enhanced-cable-guidelines,2026-02-04
미국,DOC,2026-01-15,팩트시트: 대만과의 무역 및 투자 협정을 통해 미국 반도체 제조 리더십 회복,Fact Sheet: Restoring American Semiconductor Manufacturing Leadership Through an Agreement on Trade & Investment with Taiwan,https://www.commerce.gov/news/fact-sheets/2026/01/fact-sheet-restoring-american-semiconductor-manufacturing-leadership,2026-02-04
싱가포르,IMDA,2026-01-15,디지털 연결 중단 시 해야 할 일,What to do during a Digital Connectivity Disruption,https://www.imda.gov.sg/user-and-set-up-guides/mobile-and-broadband/what-to-do-during-a-digital-connectivity-disruption,2026-02-04
캐나다,ISED,2026-01-15,대규모 주권 AI 데이터 센터 활성화,Enabling large-scale sovereign AI data centres,https://ised-isde.canada.ca/site/ised/en/enabling-large-scale-sovereign-ai-data-centres,2026-02-04
캐나다,ISED,2026-01-14,청소년 프로그램을 위한 디지털 기술,Digital Skills for Youth Program,https://ised-isde.canada.ca/site/ised/en/programs-and-initiatives/digital-skills-youth-program,2026-02-04
캐나다,ISED,2026-01-12,Horizon Europe 민감한 통화에서 캐나다의 우수성,Canadian Excellence in Horizon Europe Sensitive Calls,https://ised-isde.canada.ca/site/ised/en/canadian-excellence-horizon-europe-sensitive-calls,2026-02-04
캐나다,ISED,2026-01-09,"캐나다 혁신, 과학 및 경제 개발 |공식 사이트","Innovation, Science and Economic Development Canada | Official site",https://ised-isde.canada.ca/site/ised/en,2026-02-04
싱가포르,IMDA,2026-01-08,"NUS, Synapxe 및 IMDA는 AI 챌린지에서 180만 명의 싱가포르인에게 영향을 미치는 만성 질환을 목표로 합니다.","NUS, Synapxe and IMDA target chronic diseases affecting 1.8 million Singaporeans in AI Challenge",https://www.imda.gov.sg/resources/press-releases-factsheets-and-speeches/press-releases/2026/ai-solutions-combating-chronic-diseases,2026-02-04
이스라엘,IIA,2026-01-07,의료 분야의 획기적인 AI 기술을 위한 규제 샌드박스 요구,קול קורא לארגז חול רגולטורי לטכנולוגיות AI פורצות דרך בבריאות,https://innovationisrael.org.il/kol_kore/ai-in-health-sandbox/,2026-02-04
중국,CAC,2025-12-27,"""인공지능 의인화 인터랙티브 서비스 관리에 관한 임시조치(의견안)""에 관한 국민의견공개청취에 관한 국가인터넷정보처 고시",国家互联网信息办公室关于《人工智能拟人化互动服务管理暂行办法（征求意见稿）》公开征求意见的通知,https://www.cac.gov.cn/2025-12/27/c_1768571207311996.htm,2026-02-04
일본,METI,2025-12-26,“공급망 강화를 위한 보안대책 평가체계 구축 방안”(SCS 평가체계 구축 방안)이 공표되었습니다.,「サプライチェーン強化に向けたセキュリティ対策評価制度に関する制度構築方針（案）」（SCS評価制度の構築方針（案））を公表しました,https://www.meti.go.jp/press/2025/12/20251226001/20251226001.html,2026-02-04
대만,moda,2025-12-23,대만 주권 AI 훈련 코퍼스(베타 버전),臺灣主權 AI 訓練語料庫 ( Beta 版),https://taic.moda.gov.tw/,2026-02-04
대만,moda,2025-12-19,축제 달력,歲時節慶曆書,https://taic.moda.gov.tw/datasets/8e04670b-dc7e-4497-8ac5-47485918bebc,2026-02-04
일본,디지털청,2025-12-17,"마이넘버카드, 전자증명서 유효기간 및 갱신 안내",マイナンバーカードおよび電子証明書の有効期限・更新,https://www.digital.go.jp/policies/mynumber/expiration-date,2026-02-04
대만,moda,2025-12-06,코퍼스 데이터 세트,語料資料集,https://taic.moda.gov.tw/datasets?query=%E6%A8%82%E9%BD%A1%E9%81%8B%E5%8B%95,2026-02-04
대만,moda,2025-12-04,할일 캘린더 시스템,待辦事項行事曆系統,https://taic.moda.gov.tw/datasets/ad87e2f2-e35e-4f9e-9ec2-f4a8d9839ed3,2026-02-04
일본,디지털청,2025-12-02,공금수취계좌등록시스템,公金受取口座登録制度,https://www.digital.go.jp/policies/account_registration,2026-02-04
싱가포르,MDDI,2025-12-01,유럽연합 제2차 회의 공동성명 – 싱가포르 디지털 파트너십 협의회,Joint Statement of the Second Meeting of the European Union – Singapore Digital Partnership Council,https://www.mddi.gov.sg/newsroom/joint-statement-of-the-second-meeting-of-the-european-union---singapore-digital-partnership-council,2026-02-04
호주,DISR,2025-12-01,소개 |국가 AI 계획,Introduction | National AI Plan,https://www.industry.gov.au/publications/national-ai-plan/introduction,2026-02-04
대만,moda,2025-11-27,아미족의 전통해양지식 연구,阿美族傳統海洋知識研究,https://taic.moda.gov.tw/datasets/564c9de2-e50c-405b-9d34-b8591acffe86,2026-02-04
대만,moda,2025-11-25,진로안내(11208),職涯一本通(11208),https://taic.moda.gov.tw/datasets/263f0851-64aa-4c55-ae50-f2bcc9d5cb2a,2026-02-04
미국,백악관,2025-11-13,상호 무역에 관한 미국-과테말라 협정의 기본 틀에 관한 공동성명,JOINT STATEMENT ON FRAMEWORK FOR UNITED STATES-GUATEMALA AGREEMENT ON RECIPROCAL TRADE,https://www.whitehouse.gov/briefings-statements/2025/11/joint-statement-on-framework-for-united-states-guatemala-agreement-on-reciprocal-trade/,2026-02-04
스위스,OFCOM,2025-10-10,fög(2024) 저널리즘에서의 AI 거버넌스,fög (2024) Governance of AI in journalism,https://www.bakom.admin.ch/dam/en/sd-web/DKkrNPrXu9nK/governance-von-ki-im-journalismus-zusammenfassung.pdf,2026-02-04
일본,디지털청,2025-09-19,2026년 가을쯤 '안드로이드 마이넘버카드'로 업데이트될 예정이다.,2026年秋頃に「Androidのマイナンバーカード」へ刷新します,https://services.digital.go.jp/mynumbercard-android/news/0cfe138d7fb5927e4dc6d/,2026-02-04
스웨덴,Finance,2025-09-15,스웨덴과 핀란드가 폰 데어 라이엔 대통령에게 보낸 편지,Letter from Sweden and Finland to President von der Leyen,https://www.government.se/information-material/2025/09/letter-from-sweden-and-finland-to-president-von-der-leyen/,2026-02-04
일본,METI,2025-09-11,Generative AI 기본 모델 개발 2차 결과물(모델/데이터 세트) 출시,生成AI基盤モデル開発 第2期 成果物(モデル・データセット)公開,https://www.meti.go.jp/policy/mono_info_service/geniac/selection_2/result_2/index.html,2026-02-04
대한민국,산업통상자원부,2025-09-10,제조 AX 최강국 위해 기업들 뭉쳤다.,제조 AX 최강국 위해 기업들 뭉쳤다.,https://www.motie.go.kr/attach/down/095a2dda9c864e1d90d751f7668a1117/550665af4421284d22eb4b5b4c5ea854,2026-02-04
미국,NTIA,2025-09-08,콜로라도 주립대학교 푸에블로,Colorado State University Pueblo,https://broadbandusa.ntia.gov/funding-programs/connecting-minority-communities-program/awardee/adelante-connect,2026-02-04
미국,백악관,2025-08-21,더 나은 디자인을 통해 국가를 발전시키다,IMPROVING OUR NATION THROUGH BETTER DESIGN,https://www.whitehouse.gov/presidential-actions/2025/08/improving-our-nation-through-better-design/,2026-02-04
스위스,OFCOM,2025-08-05,소통 활성화 – 다양성 강화,Enabling communication – strengthening diversity,https://www.bakom.admin.ch/en,2026-02-04
핀란드,MEE,2025-08-01,2025년 8월 2일부터 EU 인공지능 규정 적용 시작,EU:n tekoälyasetuksen soveltaminen alkaa 2.8.2025,https://tem.fi/-/eu-n-tekoalyasetuksen-soveltaminen-alkaa-2.8.2025?languageId=en_US,2026-02-04
프랑스,Bercy,2025-08-01,에너지 점검의 혜택을 누리는 방법은 무엇입니까?,Comment bénéficier du chèque énergie ?,https://www.economie.gouv.fr/particuliers/gerer-mon-argent/comment-beneficier-du-cheque-energie,2026-02-04
스위스,OFCOM,2025-07-30,보도자료,Press releases,https://www.bakom.admin.ch/en/press-releases,2026-02-04
프랑스,Bercy,2025-07-29,소득세 신고 상태 통지를 받는 방법은 무엇입니까?,Comment obtenir votre avis de situation déclarative à l'impôt sur le revenu ?,https://www.economie.gouv.fr/particuliers/gerer-mon-impot-sur-le-revenu/comment-obtenir-votre-avis-de-situation-declarative,2026-02-04
이스라엘,IIA,2025-07-24,스윙 트랙 - 발사 빔,מסלול תנופה – קרן ההזנק,https://innovationisrael.org.il/programs/%D7%9E%D7%A1%D7%9C%D7%95%D7%9C-%D7%AA%D7%A0%D7%95%D7%A4%D7%94-%D7%A7%D7%A8%D7%9F-%D7%94%D7%94%D7%96%D7%A0%D7%A7/,2026-02-04
스위스,OFCOM,2025-07-10,2025년 봄 스위스의 무선 사용량,"Radio usage in Switzerland, spring 2025",https://www.bakom.admin.ch/en/radio-usage-in-switzerland-spring-2025,2026-02-04
대한민국,산업통상자원부,2025-07-02,AI 고속도로 구축 및 AI 3대 강국 도약 기반 마련,AI 고속도로 구축 및 AI 3대 강국 도약 기반 마련,https://motie.go.kr/kor/article/ATCL4fcf3d8c6/520/view,2026-02-04
미국,백악관,2025-06-30,미국의 젊은이들에 대한 서약,Pledge to America’s Youth,https://www.whitehouse.gov/edai/,2026-02-04
스위스,OFCOM,2025-06-25,"스위스, 2027년 인공지능 글로벌 정상회의 개최",Switzerland to host a global summit on artificial intelligence in 2027,https://www.bakom.admin.ch/en/newnsb/qewY8BHWPhcMQEYV12fkr,2026-02-04
일본,디지털청,2025-06-06,안드로이드 스마트폰용 디지털 인증서 설치 서비스,Androidスマホ用電子証明書搭載サービス,https://services.digital.go.jp/mynumbercard-android/,2026-02-04
대한민국,산업통상자원부,2025-05-26,AI 자율제조 사업에 기업들 몰린다,AI 자율제조 사업에 기업들 몰린다,https://motie.go.kr/kor/article/ATCL8764a1224/155118880/view,2026-02-04
미국,백악관,2025-05-23,국가 안보를 위한 첨단 원자로 기술 배치,DEPLOYING ADVANCED NUCLEAR REACTOR TECHNOLOGIES FOR NATIONAL SECURITY,https://www.whitehouse.gov/presidential-actions/2025/05/deploying-advanced-nuclear-reactor-technologies-for-national-security/,2026-02-04
대한민국,산업통상자원부,2025-05-20,찾아가 AI 전환 지원…‘산업단지 AX 카라반’ 출범,찾아가 AI 전환 지원…‘산업단지 AX 카라반’ 출범,https://motie.go.kr/kor/article/ATCL8764a1224/155118874/view,2026-02-04
영국,DSIT,2025-05-14,HMRC 온라인 서비스를 통한 기술 지원,Technical support with HMRC online services,https://www.gov.uk/find-hmrc-contacts/technical-support-with-hmrc-online-services,2026-02-04
미국,백악관,2025-04-14,끝없는 개척지 수련회에서 크라치오스 이사관의 발언,Remarks by Director Kratsios at the Endless Frontiers Retreat,https://www.whitehouse.gov/articles/2025/04/remarks-by-director-kratsios-at-the-endless-frontiers-retreat/,2026-02-04
노르웨이,KDD,2025-03-27,새로운 보고서는 디지털 인프라의 약점을 보여줍니다.,Ny rapport kartlegger svakheter i digital infrastruktur,https://www.regjeringen.no/no/aktuelt/ny-rapport-kartlegger-svakheter-i-digital-infrastruktur/id3094011/,2026-02-04
미국,백악관,2025-03-25,미국 은행 계좌와의 결제 현대화,Modernizing Payments To and From America’s Bank Account,https://www.whitehouse.gov/presidential-actions/2025/03/modernizing-payments-to-and-from-americas-bank-account/,2026-02-04
영국,DSIT,2025-03-19,영국 방문을 위한 전자 여행 허가(ETA) 받기: 개요,Get an electronic travel authorisation (ETA) to visit the UK: Overview,https://www.gov.uk/eta,2026-02-04
독일,BMWK,2025-03-06,AboserviceTitel,AboserviceTitel,https://www.bmwk.de/Redaktion/DE/Pressemitteilungen/2025/20250306-evaluation-zeigt-foerderprogramme-fuer-digitalisierung-des-mittelstands-wirken.html?view=renderNewsletterHtml,2026-02-04
중국,MIIT,2025-03-04,일반적인 사례 세부정보,典型案例详情,https://zjtx.miit.gov.cn/zxqySy/tzggView?type=classic&id=1a3d061a1da14a098d466dc22946a29a,2026-02-04
중국,CAC,2025-02-21,"중국 사이버 공간 관리국, 2025년 '청랑' 시리즈 특별 조치의 핵심 사항 발표_중앙사이버보안정보기술위원회 사무실",中央网信办发布2025年“清朗”系列专项行动整治重点_中央网络安全和信息化委员会办公室,https://www.cac.gov.cn/2025-02/21/c_1741837533079135.htm,2026-02-04
중국,MIIT,2025-02-21,전형적인 사례,典型案例,https://zjtx.miit.gov.cn/zxqySy/classicMain,2026-02-04
스위스,OFCOM,2025-02-12,일체 포함,AI,https://www.bakom.admin.ch/en/ai-guidelines,2026-02-04
프랑스,Bercy,2025-01-31,사이클링 보너스: 알아야 할 모든 것,Bonus vélo : tout ce qu’il faut savoir,https://www.economie.gouv.fr/particuliers/gerer-mon-argent/beneficier-daides-et-de-reductions-dimpots/bonus-velo-tout-ce-quil,2026-02-04
미국,백악관,2025-01-23,인공 지능 분야에서 미국의 리더십에 대한 장벽 제거,REMOVING BARRIERS TO AMERICAN LEADERSHIP IN ARTIFICIAL INTELLIGENCE,https://www.whitehouse.gov/presidential-actions/2025/01/removing-barriers-to-american-leadership-in-artificial-intelligence/,2026-02-04
대한민국,산업통상자원부,2025-01-14,2024년 연간 및 12월 정보통신산업(ICT) 수출입 동향,2024년 연간 및 12월 정보통신산업(ICT) 수출입 동향,https://www.motie.go.kr/attach/down/095a2dda9c864e1d90d751f7668a1117/e8af0c62932f6594701be733230f5688/9a9db098b587ee18b321c826f3707a49,2026-02-04
이스라엘,IIA,2025-01-02,2025년 당국 투자의 승자,הזוכים בהשקעות הרשות לשנת 2025,https://innovationisrael.org.il/invested-companies-2025/,2026-02-04
스웨덴,Finance,2025-01-01,2024년 말~2025년 초 발효 주요 법령,Key acts and ordinances entering into force in late 2024/early 2025,https://www.government.se/contentassets/5d152e5e9e3a4c748b07df0beb209ffd/key-acts-and-ordinances-entering-into-force-in-late-2024-early-2025.pdf,2026-02-04
이스라엘,IIA,2024-12-31,인공지능(AI) 연구를 가속화하기 위해 대형 모델을 훈련할 수 있는 실험실을 구축하고 제공합니다.,הקמת והנגשת מעבדה לאימון מודלים גדולים להאצת מחקרי בינה מלאכותית (AI),https://innovationisrael.org.il/event/gpu-cluster/,2026-02-04
핀란드,MEE,2024-12-10,핀란드의 디지털 혁신 허브가 만들어진 방법,How Finland’s Digital Innovation Hubs were created,https://tem.fi/en/how-finland-s-digital-innovation-hubs-were-created,2026-02-04
일본,디지털청,2024-11-20,마이나포탈을 통한 국민생활의 편리성 향상,マイナポータルを通じた国民生活の利便性向上,https://www.digital.go.jp/policies/myna_portal,2026-02-04
