국가,기관,ICT 분류,발행일,제목,원문,링크,수집일
덴마크,Erhvervsministeriet,기타 ICT 일반,2024-11-29,경쟁력 있고 번영하는 디지털 유럽,"A competitive, prosperous and digital Europe",https://www.em.dk/Media/638684669077969913/Joint%20letter%20on%20burden%20reduction%20PL-CY-DE-FR-DK.pdf,2026-02-04
노르웨이,KDD,기타 ICT 일반,2025-02-11,"노르웨이, 지속 가능한 AI를 위한 국제 연합에 합류",Norway joins international coalition for sustainable AI,https://www.regjeringen.no/en/whats-new/norway-joins-international-coalition-for-sustainable-ai/id3087149/,2026-02-04
노르웨이,NFD,기타 ICT 일반,2024-11-04,미래의 디지털 노르웨이,The Digital Norway of the Future,https://www.regjeringen.no/en/dokumenter/the-digital-norway-of-the-future/id3054645/?ch=3,2026-02-04
이스라엘,IIA,기타 ICT 일반,2026-01-29,고용주 설문 조사에 따르면 AI는 하이테크에 깊이 내장되어 있지만 고용에 미치는 영향은 제한적입니다.,"Employer Survey Finds AI Deeply Embedded in High-tech, While Employment Impact Remains Limited",https://innovationisrael.org.il/en/press_release/employers-survey-report-2026/,2026-02-04
이스라엘,MoC,기타 ICT 일반,2026-01-08,새로운 업데이트 |중국 디지털 입국 카드(CDAC),New Update | China’s Digital Arrival Card (CDAC),https://embassies.gov.il/beijing/en/announcements/new-update-chinas-digital-arrival-card-cdac-08-01-2026,2026-02-04
이스라엘,Economy,2-3. 정책 및 거버넌스,2026-01-12,의료 분야의 획기적인 AI 기술을 위한 규제 샌드박스 보건부,Regulatory Sandbox for Breakthrough AI Technologies in Healthcare Ministry of Health,https://www.gov.il/en/pages/ai-tech-health-reg,2026-02-04
캐나다,ISED,기타 ICT 일반,2026-02-02,캐나다의 다음 AI 전략에 대한 참여: 의견 요약,Engagements on Canada’s next AI Strategy: Summary of inputs,https://ised-isde.canada.ca/site/ised/en/public-consultations/engagements-canadas-next-ai-strategy-summary-inputs,2026-02-04
캐나다,TBS,기타 ICT 일반,2025-12-15,"사회보험번호 - SIN 확인 신청, 업데이트 또는 획득","Social Insurance Number – Apply, update or obtain a SIN confirmation",https://www.canada.ca/en/employment-social-development/services/sin/apply.html,2026-02-04
프랑스,Bercy,기타 ICT 일반,2025-09-04,디지털 시대의 주목 경제,The Attention Economy in the Digital Age,https://www.tresor.economie.gouv.fr/Articles/2025/09/04/the-attention-economy-in-the-digital-age,2026-02-04
프랑스,DG Entreprises,2-3. 정책 및 거버넌스,2024-11-28,AI 기여 요청 - 효율성 규칙 및 규정을 위한 AI 2024년 11월 28일 프랑스 AI부에서 f의 지원을 받아,"Call for AI Contributions – AI for Efficiency Rules & Regulations On 28/11/2024, the French Ministry of AI, with support f",https://www.entreprises.gouv.fr/files/files/Espace-entreprises/Aide-financement/2024/20241128%20-%20AI%20for%20Efficiency%20-%20Rules%20and%20Regulations.pdf,2026-02-04
호주,DITRDCA,기타 ICT 일반,2026-01-16,디지털 연결 표시기 매핑 도구에 대해 의견을 보내주세요,Have your say on the digital connectivity indicators mapping tool,https://www.infrastructure.gov.au/department/media/news/have-your-say-digital-connectivity-indicators-mapping-tool,2026-02-04
호주,DISR,기타 ICT 일반,2026-01-22,AI와 내부 커뮤니케이션,AI and Internal Communication,https://www.industry.gov.au/national-artificial-intelligence-centre/ai-event-calendar/ai-and-internal-communication,2026-02-04
아일랜드,DECC,3-3. 플랫폼 및 권리,2026-01-30,학교를 위한 디지털 전략 책임자,"Principal Officer, Digital Strategy for Schools",https://www.gov.ie/en/department-of-education/roles/principal-officer-digital-strategy-for-schools/,2026-02-04
아일랜드,DETE,기타 ICT 일반,2026-01-16,AI가 생성한 노골적인 이미지에 관한 X와의 만남 후 성명,Statement following meeting with X regarding AI generated explicit images,https://enterprise.gov.ie/en/news-and-events/department-news/2026/january/202616011.html,2026-02-04
오스트리아,BMF,기타 ICT 일반,2025-08-06,사이버보안 연구 Kybernet-Pass (K-PASS),Cybersecurity Research Kybernet-Pass (K-PASS),https://www.bmf.gv.at/en/topics/security-and-technology/Cybersecurity-Research-Kybernet-Pass-%28K-PASS%29.html,2026-02-04
벨기에,연방혁신기술부,기타 ICT 일반,2026-02-03,"AI가 과학을 만날 때: 연구 커뮤니티를 위한 기회, 위험 및 윤리","When AI meets science: opportunities, risks and ethics for research communities",https://eo.belspo.be/nl/agenda/when-ai-meets-science-opportunities-risks-and-ethics-research-communities,2026-02-04
벨기에,BIPT,2-3. 정책 및 거버넌스,2025-10-08,AI법 적용,Application of the AI Act,https://www.bipt.be/operators/digital/ia-act/application-of-the-ai-act,2026-02-04
벨기에,FPS Economy,기타 ICT 일반,2024-10-07,디지털 시장법(DMA),Digital Markets Act (DMA),https://economie.fgov.be/nl/themas/online/tussenhandeldiensten-en/digital-markets-act-dma-voor,2026-02-04
대만,moda,기타 ICT 일반,2026-01-19,"MODA, 2025년 디지털 액세스 조사 보고서 발표, 가구 및 개인 인터넷 액세스에서 사상 최고치를 기록 | 보도 자료","MODA Releases 2025 Digital Access Survey Report, Showing Record Highs in Household and Individual Internet Access｜Press Releases",https://moda.gov.tw/en/press/press-releases/18674.html,2026-02-04
대만,MOEA,기타 ICT 일반,2026-01-23,"MOEA, 2026년 최고의 AI 어워드 출시, 모든 산업 전반에 걸쳐 채택 가속화할 차세대 에이전트 AI 도입","MOEA Launches 2026 Best AI Awards, ushering in a New Generation of Agentic AI to Accelerate Adoption Across All Industries",https://www.moea.gov.tw/Mns/english/videos/VideoRss.aspx?kind=P&menu_id=33228&video_id=21414,2026-02-04
UAE,TDRA,기타 ICT 일반,2026-01-29,디지털 공유 도구 제공 요청,Request to Provide Digital Sharing Tools,https://tdra.gov.ae/api/sitecore/ServiceDGT/ExportPdf?id=36DVBJ6ZQRdk84C0CUunlvgBI7tWNWkmYpO_CrOT8ss&lang=en,2026-02-04
UAE,MoIAT,4-1. 이동수단 및 항공,2024-06-04,"UAE, EV 제조 허브가 되기 위해 글로벌 경쟁력 제고 MIITE 포럼 2024 개최",UAE raises global competitiveness to become hub for EV manufacturing hears MIITE Forum 2024,https://moiat.gov.ae/en/media-center/news/2024/06/04/uae-raises-global-competitiveness-to-become-hub-for-ev-manufacturing-hears-miite-forum-2024,2026-02-04
사우디,MCIT,2-2. 통신 인프라 및 단말기,2026-01-27,"사우디 통신정보기술부 장관, ""ICANN"" 회장과 만나 사우디 인터넷 도메인 산업 발전을 위한 협력 강화 논의 |통신정보기술부",Translations of Saudi Minister of Communications and Information Technology meets with “ICANN” President to discuss strengthening cooperation to develop Saudi Internet domains industry | Ministry of Communications and Information Technology,https://www.mcit.gov.sa/index.php/en/node/30692/translations,2026-02-04
사우디,MIM,3-1. 엔터테인먼트 및 플랫폼,2025-08-29,산업 투자자 여정의 디지털 서비스 플랫폼,Digital Services Platform of the Industrial Investor’s Journ,https://www.mim.gov.sa/en/initiatives-programs/industrial-sector-initiatives/digital-services-platform-of-the-industrial-investors-journey-initiative,2026-02-04
