발행일,문서종류,관련부처,제목(한글),제목(영문),원문링크
2025-12-10,Presidential Document,Executive Office of the President,식품 공급망 내 가격 담합 및 반경쟁 행위로 인한 보안 위험 해결,Addressing Security Risks From Price Fixing and Anti-Competitive Behavior in the Food Supply Chain,https://www.federalregister.gov/documents/2025/12/10/2025-22537/addressing-security-risks-from-price-fixing-and-anti-competitive-behavior-in-the-food-supply-chain
2025-12-10,Presidential Document,Executive Office of the President,2025년 국립 진주만 현충일,"National Pearl Harbor Remembrance Day, 2025",https://www.federalregister.gov/documents/2025/12/10/2025-22536/national-pearl-harbor-remembrance-day-2025
2025-12-09,Presidential Document,Executive Office of the President,웨스트버지니아 주 방위군 전문가 사라 벡스트롬(Sarah Beckstrom)을 기리며,"Honoring the Memory of Specialist Sarah Beckstrom, West Virginia Army National Guard",https://www.federalregister.gov/documents/2025/12/09/2025-22423/honoring-the-memory-of-specialist-sarah-beckstrom-west-virginia-army-national-guard
2025-12-03,Presidential Document,Executive Office of the President,2025년 추수감사절,"Thanksgiving Day, 2025",https://www.federalregister.gov/documents/2025/12/03/2025-21910/thanksgiving-day-2025
2025-11-28,Presidential Document,Executive Office of the President,제네시스 미션 시작,Launching the Genesis Mission,https://www.federalregister.gov/documents/2025/11/28/2025-21665/launching-the-genesis-mission
2025-11-28,Presidential Document,Executive Office of the President,특정 무슬림 형제단 지부를 외국 테러 조직 및 특별히 지정된 글로벌 테러리스트로 지정,Designation of Certain Muslim Brotherhood Chapters as Foreign Terrorist Organizations and Specially Designated Global Terrorists,https://www.federalregister.gov/documents/2025/11/28/2025-21664/designation-of-certain-muslim-brotherhood-chapters-as-foreign-terrorist-organizations-and-specially
2025-11-26,Presidential Document,Executive Office of the President,미국 코크스 오븐 가공 보안을 촉진하기 위한 특정 고정 소스에 대한 규제 완화,Regulatory Relief for Certain Stationary Sources To Promote American Coke Oven Processing Security,https://www.federalregister.gov/documents/2025/11/26/2025-21418/regulatory-relief-for-certain-stationary-sources-to-promote-american-coke-oven-processing-security
2025-11-26,Presidential Document,Executive Office of the President,브라질 정부에 대한 관세 범위 수정,Modifying the Scope of Tariffs on the Government of Brazil,https://www.federalregister.gov/documents/2025/11/26/2025-21417/modifying-the-scope-of-tariffs-on-the-government-of-brazil
2025-11-25,Presidential Document,Executive Office of the President,특정 농산물에 대한 상호관세 범위 수정,Modifying the Scope of the Reciprocal Tariffs With Respect to Certain Agricultural Products,https://www.federalregister.gov/documents/2025/11/25/2025-21203/modifying-the-scope-of-the-reciprocal-tariffs-with-respect-to-certain-agricultural-products
2025-11-20,Presidential Document,Executive Office of the President,2025년 전국 입양의 달,"National Adoption Month, 2025",https://www.federalregister.gov/documents/2025/11/20/2025-20570/national-adoption-month-2025
2025-11-19,Presidential Document,Executive Office of the President,미국 어린이와 가족을 위한 미래 육성,Fostering the Future for American Children and Families,https://www.federalregister.gov/documents/2025/11/19/2025-20406/fostering-the-future-for-american-children-and-families
2025-11-14,Presidential Document,Executive Office of the President,2025년 재향군인의 날,"Veterans Day, 2025",https://www.federalregister.gov/documents/2025/11/14/2025-19995/veterans-day-2025
2025-11-14,Presidential Document,Executive Office of the President,미국 해병대 창설 250주년,250th Anniversary of the Founding of the United States Marine Corps,https://www.federalregister.gov/documents/2025/11/14/2025-19994/250th-anniversary-of-the-founding-of-the-united-states-marine-corps
2025-11-14,Presidential Document,Executive Office of the President,2020년 대통령 선거와 관련된 특정 범죄에 대한 사면 부여,Granting Pardons for Certain Offenses Related to the 2020 Presidential Election,https://www.federalregister.gov/documents/2025/11/14/2025-19928/granting-pardons-for-certain-offenses-related-to-the-2020-presidential-election
2025-11-13,Presidential Document,Executive Office of the President,2025년 반공 주간,"Anti-Communism Week, 2025",https://www.federalregister.gov/documents/2025/11/13/2025-19892/anti-communism-week-2025
2025-11-07,Presidential Document,Executive Office of the President,미국과 중화인민공화국 간의 경제 및 무역 협정에 부합하도록 상호 관세율을 수정합니다.,Modifying Reciprocal Tariff Rates Consistent With the Economic and Trade Arrangement Between the United States and the People's Republic of China,https://www.federalregister.gov/documents/2025/11/07/2025-19826/modifying-reciprocal-tariff-rates-consistent-with-the-economic-and-trade-arrangement-between-the
2025-11-07,Presidential Document,Executive Office of the President,중화인민공화국의 합성 오피오이드 공급망에 관한 임무 수정,Modifying Duties Addressing the Synthetic Opioid Supply Chain in the People's Republic of China,https://www.federalregister.gov/documents/2025/11/07/2025-19825/modifying-duties-addressing-the-synthetic-opioid-supply-chain-in-the-peoples-republic-of-china
2025-11-03,Presidential Document,Executive Office of the President,미국 광물 안보를 촉진하기 위한 특정 고정 자원에 대한 규제 완화,Regulatory Relief for Certain Stationary Sources To Promote American Mineral Security,https://www.federalregister.gov/documents/2025/11/03/2025-19775/regulatory-relief-for-certain-stationary-sources-to-promote-american-mineral-security
2025-10-31,Presidential Document,Executive Office of the President,미국 초기 난민 재정착 프로그램 이전에 대한 대통령 결정,Presidential Determination on Transferring the United States Program of Initial Refugee Resettlement,https://www.federalregister.gov/documents/2025/10/31/2025-19753/presidential-determination-on-transferring-the-united-states-program-of-initial-refugee-resettlement
2025-10-31,Presidential Document,Executive Office of the President,2026회계연도 난민인정에 관한 대통령 결정,Presidential Determination on Refugee Admissions for Fiscal Year 2026,https://www.federalregister.gov/documents/2025/10/31/2025-19752/presidential-determination-on-refugee-admissions-for-fiscal-year-2026
2025-10-22,Presidential Document,Executive Office of the President,2025년 국가 에너지 지배의 달,"National Energy Dominance Month, 2025",https://www.federalregister.gov/documents/2025/10/22/2025-19641/national-energy-dominance-month-2025
2025-10-22,Presidential Document,Executive Office of the President,2025년 국가 사이버 보안 인식의 달,"National Cybersecurity Awareness Month, 2025",https://www.federalregister.gov/documents/2025/10/22/2025-19640/national-cybersecurity-awareness-month-2025
2025-10-22,Presidential Document,Executive Office of the President,"미국으로의 중형 및 대형 차량, 중형 및 대형 차량 부품, 버스 수입 조정","Adjusting Imports of Medium- and Heavy-Duty Vehicles, Medium- and Heavy-Duty Vehicle Parts, and Buses Into the United States",https://www.federalregister.gov/documents/2025/10/22/2025-19639/adjusting-imports-of-medium--and-heavy-duty-vehicles-medium--and-heavy-duty-vehicle-parts-and-buses
2025-10-20,Presidential Document,Executive Office of the President,연방 채용에 대한 지속적인 책임 보장,Ensuring Continued Accountability in Federal Hiring,https://www.federalregister.gov/documents/2025/10/20/2025-19614/ensuring-continued-accountability-in-federal-hiring
2025-10-17,Presidential Document,Executive Office of the President,찰리 커크 국가 추모의 날,National Day of Remembrance for Charlie Kirk,https://www.federalregister.gov/documents/2025/10/17/2025-19594/national-day-of-remembrance-for-charlie-kirk
2025-10-16,Presidential Document,Executive Office of the President,미 해군 창설 250주년,250th Anniversary of the Founding of the United States Navy,https://www.federalregister.gov/documents/2025/10/16/2025-19586/250th-anniversary-of-the-founding-of-the-united-states-navy
2025-10-16,Presidential Document,Executive Office of the President,"풀라스키 장군 현충일, 2025년","General Pulaski Memorial Day, 2025",https://www.federalregister.gov/documents/2025/10/16/2025-19585/general-pulaski-memorial-day-2025
2025-10-14,Presidential Document,Executive Office of the President,2025년 콜럼버스의 날,"Columbus Day, 2025",https://www.federalregister.gov/documents/2025/10/14/2025-19563/columbus-day-2025
2025-10-14,Presidential Document,Executive Office of the President,"레이프 에릭슨 데이, 2025","Leif Erikson Day, 2025",https://www.federalregister.gov/documents/2025/10/14/2025-19561/leif-erikson-day-2025
2025-10-09,Presidential Document,Executive Office of the President,2025년 화재 예방 주간,"Fire Prevention Week, 2025",https://www.federalregister.gov/documents/2025/10/09/2025-19534/fire-prevention-week-2025
2025-10-07,Presidential Document,Executive Office of the President,2025년 전국 제조업의 날,"National Manufacturing Day, 2025",https://www.federalregister.gov/documents/2025/10/07/2025-19497/national-manufacturing-day-2025
2025-10-07,Presidential Document,Executive Office of the President,인공지능으로 소아암 치료제 개발,Unlocking Cures for Pediatric Cancer With Artificial Intelligence,https://www.federalregister.gov/documents/2025/10/07/2025-19495/unlocking-cures-for-pediatric-cancer-with-artificial-intelligence
2025-10-06,Presidential Document,Executive Office of the President,특정 연방 자문위원회의 지속,Continuance of Certain Federal Advisory Committees,https://www.federalregister.gov/documents/2025/10/06/2025-19485/continuance-of-certain-federal-advisory-committees
2025-10-06,Presidential Document,Executive Office of the President,카타르 국가의 안보 보장,Assuring the Security of the State of Qatar,https://www.federalregister.gov/documents/2025/10/06/2025-19483/assuring-the-security-of-the-state-of-qatar
2025-10-06,Presidential Document,Executive Office of the President,"미국으로의 목재, 목재 및 그 파생 제품의 수입 조정","Adjusting Imports of Timber, Lumber, and Their Derivative Products Into the United States",https://www.federalregister.gov/documents/2025/10/06/2025-19482/adjusting-imports-of-timber-lumber-and-their-derivative-products-into-the-united-states
2025-09-30,Presidential Document,Executive Office of the President,국가 안보를 보호하면서 TikTok을 구합니다,Saving TikTok While Protecting National Security,https://www.federalregister.gov/documents/2025/09/30/2025-19139/saving-tiktok-while-protecting-national-security
2025-09-30,Presidential Document,Executive Office of the President,2025년 금성 어머니 가정의 날,"Gold Star Mother's and Family's Day, 2025",https://www.federalregister.gov/documents/2025/09/30/2025-19138/gold-star-mothers-and-familys-day-2025
2025-09-25,Presidential Document,Executive Office of the President,2025년 국립 히스패닉 문화유산의 달,"National Hispanic Heritage Month, 2025",https://www.federalregister.gov/documents/2025/09/25/2025-18708/national-hispanic-heritage-month-2025
2025-09-24,Presidential Document,Executive Office of the President,골드 카드,The Gold Card,https://www.federalregister.gov/documents/2025/09/24/2025-18602/the-gold-card
2025-09-24,Presidential Document,Executive Office of the President,특정 비이민 근로자의 입국 제한,Restriction on Entry of Certain Nonimmigrant Workers,https://www.federalregister.gov/documents/2025/09/24/2025-18601/restriction-on-entry-of-certain-nonimmigrant-workers
2025-09-24,Presidential Document,Executive Office of the President,2025년 국가 포로/실종자 표창의 날,"National POW/MIA Recognition Day, 2025",https://www.federalregister.gov/documents/2025/09/24/2025-18600/national-powmia-recognition-day-2025
2025-09-23,Presidential Document,Executive Office of the President,2025년 헌법 주간,"Constitution Week, 2025",https://www.federalregister.gov/documents/2025/09/23/2025-18485/constitution-week-2025
2025-09-23,Presidential Document,Executive Office of the President,TikTok 시행 지연 추가 연장,Further Extending the TikTok Enforcement Delay,https://www.federalregister.gov/documents/2025/09/23/2025-18482/further-extending-the-tiktok-enforcement-delay
2025-09-23,Presidential Document,Executive Office of the President,Long Island Rail Road Company와 특정 노동 조합이 대표하는 특정 직원 사이의 분쟁을 조사하기 위한 비상 위원회 설립,Establishing an Emergency Board To Investigate Disputes Between the Long Island Rail Road Company and Certain of Its Employees Represented by Certain Labor Organizations,https://www.federalregister.gov/documents/2025/09/23/2025-18479/establishing-an-emergency-board-to-investigate-disputes-between-the-long-island-rail-road-company
2025-09-17,Presidential Document,Executive Office of the President,2026 회계연도의 주요 약물 운송 또는 주요 불법 약물 생산 국가에 대한 대통령 결정,Presidential Determination on Major Drug Transit or Major Illicit Drug Producing Countries for Fiscal Year 2026,https://www.federalregister.gov/documents/2025/09/17/2025-18078/presidential-determination-on-major-drug-transit-or-major-illicit-drug-producing-countries-for
2025-09-16,Presidential Document,Executive Office of the President,2025년 9·11테러 24주년 애국절,"Patriot Day 2025, the 24th Anniversary of the September 11 Terrorist Attacks",https://www.federalregister.gov/documents/2025/09/16/2025-17966/patriot-day-2025-the-24th-anniversary-of-the-september-11-terrorist-attacks
2025-09-15,Presidential Document,Executive Office of the President,찰리 커크를 기리며,Honoring the Memory of Charlie Kirk,https://www.federalregister.gov/documents/2025/09/15/2025-17860/honoring-the-memory-of-charlie-kirk
2025-09-10,Presidential Document,Executive Office of the President,미국 국민을 해외에서 부당하게 구금되지 않도록 보호하기 위한 노력 강화,Strengthening Efforts To Protect U.S. Nationals From Wrongful Detention Abroad,https://www.federalregister.gov/documents/2025/09/10/2025-17509/strengthening-efforts-to-protect-us-nationals-from-wrongful-detention-abroad
2025-09-10,Presidential Document,Executive Office of the President,미국 전쟁부 복원,Restoring the United States Department of War,https://www.federalregister.gov/documents/2025/09/10/2025-17508/restoring-the-united-states-department-of-war
2025-09-10,Presidential Document,Executive Office of the President,상호 관세 범위 수정 및 무역 및 안보 협정 이행을 위한 절차 수립,Modifying the Scope of Reciprocal Tariffs and Establishing Procedures for Implementing Trade and Security Agreements,https://www.federalregister.gov/documents/2025/09/10/2025-17507/modifying-the-scope-of-reciprocal-tariffs-and-establishing-procedures-for-implementing-trade-and
2025-09-09,Presidential Document,Executive Office of the President,미일협정 이행,Implementing the United States-Japan Agreement,https://www.federalregister.gov/documents/2025/09/09/2025-17389/implementing-the-united-states-japan-agreement
2025-09-04,Presidential Document,Executive Office of the President,적성교역법에 따른 특정 권한 행사의 지속,Continuation of the Exercise of Certain Authorities Under the Trading With the Enemy Act,https://www.federalregister.gov/documents/2025/09/04/2025-17036/continuation-of-the-exercise-of-certain-authorities-under-the-trading-with-the-enemy-act
2025-09-03,Presidential Document,Executive Office of the President,연방 수혜자의 불법 로비 및 당파적 정치 활동을 위한 적정 자금 사용,Use of Appropriated Funds for Illegal Lobbying and Partisan Political Activity by Federal Grantees,https://www.federalregister.gov/documents/2025/09/03/2025-16935/use-of-appropriated-funds-for-illegal-lobbying-and-partisan-political-activity-by-federal-grantees
2025-09-03,Presidential Document,Executive Office of the President,연방 건축을 다시 아름답게 만들기,Making Federal Architecture Beautiful Again,https://www.federalregister.gov/documents/2025/09/03/2025-16928/making-federal-architecture-beautiful-again
2025-09-03,Presidential Document,Executive Office of the President,연방 노사 관계 프로그램에서 추가 제외 사항,Further Exclusions From the Federal Labor- Management Relations Program,https://www.federalregister.gov/documents/2025/09/03/2025-16924/further-exclusions-from-the-federal-labor--management-relations-program
2025-09-03,Presidential Document,Executive Office of the President,2025년 노동절,"Labor Day, 2025",https://www.federalregister.gov/documents/2025/09/03/2025-16923/labor-day-2025
2025-09-03,Presidential Document,Executive Office of the President,2025년 과다 복용 예방 주간,"Overdose Prevention Week, 2025",https://www.federalregister.gov/documents/2025/09/03/2025-16922/overdose-prevention-week-2025
2025-09-02,Presidential Document,Executive Office of the President,미네소타 주 미니애폴리스에서 발생한 비극의 희생자들을 추모합니다.,"Honoring the Victims of the Tragedy in Minneapolis, Minnesota",https://www.federalregister.gov/documents/2025/09/02/2025-16846/honoring-the-victims-of-the-tragedy-in-minneapolis-minnesota
2025-08-28,Presidential Document,Executive Office of the President,미국인을 보호하기 위해 무현금 보석금을 종료하는 조치를 취함,Taking Steps To End Cashless Bail To Protect Americans,https://www.federalregister.gov/documents/2025/08/28/2025-16618/taking-steps-to-end-cashless-bail-to-protect-americans
2025-08-28,Presidential Document,Executive Office of the President,성조기 소각 기소,Prosecuting Burning of the American Flag,https://www.federalregister.gov/documents/2025/08/28/2025-16616/prosecuting-burning-of-the-american-flag
2025-08-28,Presidential Document,Executive Office of the President,현금 없는 보석금을 종료하고 컬럼비아 특별구에서 법을 집행하기 위한 조치,Measures To End Cashless Bail and Enforce the Law in the District of Columbia,https://www.federalregister.gov/documents/2025/08/28/2025-16615/measures-to-end-cashless-bail-and-enforce-the-law-in-the-district-of-columbia
2025-08-28,Presidential Document,Executive Office of the President,컬럼비아 특별구의 범죄 긴급 상황을 해결하기 위한 추가 조치,Additional Measures To Address the Crime Emergency in the District of Columbia,https://www.federalregister.gov/documents/2025/08/28/2025-16614/additional-measures-to-address-the-crime-emergency-in-the-district-of-columbia
2025-08-28,Presidential Document,Executive Office of the President,"애비 게이트 공격 4주년, 2025년","Fourth Anniversary of the Attack at Abbey Gate, 2025",https://www.federalregister.gov/documents/2025/08/28/2025-16599/fourth-anniversary-of-the-attack-at-abbey-gate-2025
2025-08-26,Presidential Document,Executive Office of the President,더 나은 디자인을 통해 국가를 발전시키다,Improving Our Nation Through Better Design,https://www.federalregister.gov/documents/2025/08/26/2025-16396/improving-our-nation-through-better-design
2025-08-19,Presidential Document,Executive Office of the President,사회보장법 제정 90주년,90th Anniversary of the Social Security Act,https://www.federalregister.gov/documents/2025/08/19/2025-15827/90th-anniversary-of-the-social-security-act
2025-08-19,Presidential Document,Executive Office of the President,경쟁에 관한 행정명령의 취소,Revocation of Executive Order on Competition,https://www.federalregister.gov/documents/2025/08/19/2025-15824/revocation-of-executive-order-on-competition
2025-08-19,Presidential Document,Executive Office of the President,전략적 활성 제약 성분 비축량을 채워 미국 제약 공급망 탄력성 보장,Ensuring American Pharmaceutical Supply Chain Resilience by Filling the Strategic Active Pharmaceutical Ingredients Reserve,https://www.federalregister.gov/documents/2025/08/19/2025-15823/ensuring-american-pharmaceutical-supply-chain-resilience-by-filling-the-strategic-active
2025-08-19,Presidential Document,Executive Office of the President,상업용 우주산업의 경쟁 활성화,Enabling Competition in the Commercial Space Industry,https://www.federalregister.gov/documents/2025/08/19/2025-15822/enabling-competition-in-the-commercial-space-industry
2025-08-15,Presidential Document,Executive Office of the President,국제 평화와 번영을 위한 트럼프 루트 구축 실무그룹,Establishing a Trump Route for International Peace and Prosperity Working Group,https://www.federalregister.gov/documents/2025/08/15/2025-15683/establishing-a-trump-route-for-international-peace-and-prosperity-working-group
2025-08-15,Presidential Document,Executive Office of the President,아제르바이잔 정부에 대한 지원과 관련하여 FREEDOM 지원법 907항의 면제 확대,Extension of Waiver of Section 907 of the FREEDOM Support Act with Respect to Assistance to the Government of Azerbaijan,https://www.federalregister.gov/documents/2025/08/15/2025-15682/extension-of-waiver-of-section-907-of-the-freedom-support-act-with-respect-to-assistance-to-the
2025-08-15,Presidential Document,Executive Office of the President,2008년 소년병방지법에 관한 대통령 결정 및 인증,Presidential Determination and Certification with Respect to the Child Soldiers Prevention Act of 2008,https://www.federalregister.gov/documents/2025/08/15/2025-15680/presidential-determination-and-certification-with-respect-to-the-child-soldiers-prevention-act-of
2025-08-15,Presidential Document,Executive Office of the President,콜롬비아 정부에 대한 미국의 마약 금지 지원 지속,Continuation of U.S. Drug Interdiction Assistance to the Government of Colombia,https://www.federalregister.gov/documents/2025/08/15/2025-15679/continuation-of-us-drug-interdiction-assistance-to-the-government-of-colombia
2025-08-15,Presidential Document,Executive Office of the President,2008년 아동 군인 예방법 404(c)항에 따른 권한 위임,Delegation of Authority Under Section 404 (c) of the Child Soldiers Prevention Act of 2008,https://www.federalregister.gov/documents/2025/08/15/2025-15656/delegation-of-authority-under-section-404-c-of-the-child-soldiers-prevention-act-of-2008
2025-08-14,Presidential Document,Executive Office of the President,중화인민공화국과의 지속적인 논의를 반영하기 위해 상호 관세율 추가 수정,Further Modifying Reciprocal Tariff Rates To Reflect Ongoing Discussions With the People's Republic of China,https://www.federalregister.gov/documents/2025/08/14/2025-15554/further-modifying-reciprocal-tariff-rates-to-reflect-ongoing-discussions-with-the-peoples-republic
2025-08-14,Presidential Document,Executive Office of the President,컬럼비아 특별구에 범죄 비상사태 선포,Declaring a Crime Emergency in the District of Columbia,https://www.federalregister.gov/documents/2025/08/14/2025-15550/declaring-a-crime-emergency-in-the-district-of-columbia
2025-08-12,Presidential Document,Executive Office of the President,연방 보조금 지급에 대한 감독 개선,Improving Oversight of Federal Grantmaking,https://www.federalregister.gov/documents/2025/08/12/2025-15344/improving-oversight-of-federal-grantmaking
2025-08-12,Presidential Document,Executive Office of the President,모든 미국인을 위한 공정한 은행 업무 보장,Guaranteeing Fair Banking for All Americans,https://www.federalregister.gov/documents/2025/08/12/2025-15341/guaranteeing-fair-banking-for-all-americans
2025-08-12,Presidential Document,Executive Office of the President,401(k) 투자자를 위한 대체 자산에 대한 접근 민주화,Democratizing Access to Alternative Assets for 401(k) Investors,https://www.federalregister.gov/documents/2025/08/12/2025-15340/democratizing-access-to-alternative-assets-for-401k-investors
2025-08-12,Presidential Document,Executive Office of the President,2025년 국립 퍼플 하트 데이,"National Purple Heart Day, 2025",https://www.federalregister.gov/documents/2025/08/12/2025-15339/national-purple-heart-day-2025
2025-08-12,Presidential Document,Executive Office of the President,쿠바에 대한 미국의 정책 강화에 관한 국가 안보 대통령 각서 5의 재발행 및 수정,Reissuance of and Amendments to National Security Presidential Memorandum 5 on Strengthening the Policy of the United States Toward Cuba,https://www.federalregister.gov/documents/2025/08/12/2025-15338/reissuance-of-and-amendments-to-national-security-presidential-memorandum-5-on-strengthening-the
2025-08-11,Presidential Document,Executive Office of the President,러시아 연방 정부의 미국에 대한 위협 해결,Addressing Threats to the United States by the Government of the Russian Federation,https://www.federalregister.gov/documents/2025/08/11/2025-15267/addressing-threats-to-the-united-states-by-the-government-of-the-russian-federation
2025-08-08,Presidential Document,Executive Office of the President,2028년 하계 올림픽을 위한 백악관 태스크포스 설립,Establishing the White House Task Force on the 2028 Summer Olympics,https://www.federalregister.gov/documents/2025/08/08/2025-15193/establishing-the-white-house-task-force-on-the-2028-summer-olympics
2025-08-06,Presidential Document,Executive Office of the President,"스포츠, 피트니스, 영양에 관한 대통령 위원회와 대통령 체력 테스트의 재설립","President's Council on Sports, Fitness, and Nutrition, and the Reestablishment of the Presidential Fitness Test",https://www.federalregister.gov/documents/2025/08/06/2025-15011/presidents-council-on-sports-fitness-and-nutrition-and-the-reestablishment-of-the-presidential
2025-08-06,Presidential Document,Executive Office of the President,상호관세율 추가 수정,Further Modifying the Reciprocal Tariff Rates,https://www.federalregister.gov/documents/2025/08/06/2025-15010/further-modifying-the-reciprocal-tariff-rates
2025-08-06,Presidential Document,Executive Office of the President,북부 국경을 통과하는 불법 약물 흐름을 해결하기 위한 의무 개정,Amendment to Duties To Address the Flow of Illicit Drugs Across Our Northern Border,https://www.federalregister.gov/documents/2025/08/06/2025-14999/amendment-to-duties-to-address-the-flow-of-illicit-drugs-across-our-northern-border
2025-08-05,Presidential Document,Executive Office of the President,모든 국가에 대한 면세품 취급 중단,Suspending Duty-Free De Minimis Treatment for All Countries,https://www.federalregister.gov/documents/2025/08/05/2025-14897/suspending-duty-free-de-minimis-treatment-for-all-countries
2025-08-05,Presidential Document,Executive Office of the President,브라질 정부의 미국에 대한 위협 해결,Addressing Threats to the United States by the Government of Brazil,https://www.federalregister.gov/documents/2025/08/05/2025-14896/addressing-threats-to-the-united-states-by-the-government-of-brazil
2025-08-05,Presidential Document,Executive Office of the President,미국으로의 구리 수입 조정,Adjusting Imports of Copper Into the United States,https://www.federalregister.gov/documents/2025/08/05/2025-14893/adjusting-imports-of-copper-into-the-united-states
2025-08-01,Presidential Document,Executive Office of the President,2025년 미국 제작 주간,"Made in America Week, 2025",https://www.federalregister.gov/documents/2025/08/01/2025-14692/made-in-america-week-2025
2025-08-01,Presidential Document,Executive Office of the President,2025년 포로 국가 주간,"Captive Nations Week, 2025",https://www.federalregister.gov/documents/2025/08/01/2025-14691/captive-nations-week-2025
2025-07-31,Presidential Document,Executive Office of the President,미국 글로벌 개발 정책에 대한 PPD-6 철회,Revoking PPD-6 on U.S. Global Development Policy,https://www.federalregister.gov/documents/2025/07/31/2025-14587/revoking-ppd-6-on-us-global-development-policy
2025-07-29,Presidential Document,Executive Office of the President,대학 스포츠 절약,Saving College Sports,https://www.federalregister.gov/documents/2025/07/29/2025-14392/saving-college-sports
2025-07-29,Presidential Document,Executive Office of the President,미국 거리의 범죄와 무질서 종식,Ending Crime and Disorder on America's Streets,https://www.federalregister.gov/documents/2025/07/29/2025-14391/ending-crime-and-disorder-on-americas-streets
2025-07-28,Presidential Document,Executive Office of the President,미국 AI 기술스택 수출 촉진,Promoting the Export of the American AI Technology Stack,https://www.federalregister.gov/documents/2025/07/28/2025-14218/promoting-the-export-of-the-american-ai-technology-stack
2025-07-28,Presidential Document,Executive Office of the President,연방 정부의 Woke AI 방지,Preventing Woke AI in the Federal Government,https://www.federalregister.gov/documents/2025/07/28/2025-14217/preventing-woke-ai-in-the-federal-government
2025-07-28,Presidential Document,Executive Office of the President,데이터 센터 인프라에 대한 연방 허가 가속화,Accelerating Federal Permitting of Data Center Infrastructure,https://www.federalregister.gov/documents/2025/07/28/2025-14212/accelerating-federal-permitting-of-data-center-infrastructure
2025-07-23,Presidential Document,Executive Office of the President,예외 서비스에서 스케줄 G 생성,Creating Schedule G in the Excepted Service,https://www.federalregister.gov/documents/2025/07/23/2025-13925/creating-schedule-g-in-the-excepted-service
